bar,beat,note,chord,replaced,original_value
1,1,52,Ab,True,50
1,2,45,Ab,True,50
1,3,50,Ab,True,47
1,4,35,Ab,True,42
2,1,41,Ab,True,51
2,2,42,Ab,False,
2,3,46,Ab,True,47
2,4,48,Ab,True,42
3,1,47,Ab,True,50
3,2,40,Ab,True,50
3,3,41,Ab,True,51
3,4,42,Ab,True,40
4,1,36,Ab,True,42
4,2,46,Ab,True,50
4,3,42,Ab,False,
4,4,49,Ab,True,50
5,1,51,Ab,True,50
5,2,40,Ab,True,51
5,3,42,Ab,True,51
5,4,49,Ab,True,38
6,1,50,Ab,False,
6,2,41,Ab,True,50
6,3,52,Ab,True,52
6,4,51,Ab,False,
7,1,34,Eb7,True,42
7,2,50,Eb7,False,
7,3,46,Eb7,True,50
7,4,41,Eb7,True,50
8,1,50,Eb7,True,50
8,2,51,Eb7,True,42
8,3,47,Eb7,False,
8,4,43,Eb7,True,47
9,1,44,Eb7,True,47
9,2,42,Eb7,True,42
9,3,40,Eb7,True,34
9,4,42,Eb7,False,
10,1,41,Eb7,True,42
10,2,47,Eb7,False,
10,3,42,Eb7,False,
10,4,42,Eb7,False,
11,1,46,Eb7,True,50
11,2,44,Eb7,True,51
11,3,51,Eb7,True,51
11,4,49,Eb7,True,51
12,1,50,Eb7,True,47
12,2,46,Eb7,True,42
12,3,39,Eb7,True,47
12,4,48,Eb7,True,42
13,1,47,Eb7,True,34
13,2,51,Eb7,True,51
13,3,39,Eb7,True,50
13,4,39,Eb7,True,50
14,1,40,Eb7,True,42
14,2,47,Eb7,False,
14,3,46,Eb7,True,50
14,4,42,Eb7,False,
15,1,50,Ab,False,
15,2,51,Ab,True,51
15,3,51,Ab,False,
15,4,42,Ab,False,
16,1,36,Ab,True,41
16,2,49,Ab,True,41
16,3,35,Ab,True,41
16,4,40,Ab,True,42
17,1,51,Ab,False,
17,2,47,Ab,True,51
17,3,51,Ab,False,
17,4,42,Ab,True,39
18,1,41,Ab,True,51
18,2,41,Ab,True,50
18,3,43,Ab,True,42
18,4,41,Ab,True,42
19,1,50,Ab,True,50
19,2,48,Ab,True,51
19,3,35,Ab,True,42
19,4,39,Ab,True,40
20,1,45,Ab,True,50
20,2,48,Ab,True,50
20,3,48,Ab,True,51
20,4,36,Ab,True,42
21,1,38,Ab7,True,42
21,2,44,Ab7,True,51
21,3,42,Ab7,False,
21,4,42,Ab7,False,
22,1,37,Ab7,True,47
22,2,50,Ab7,True,42
22,3,41,Ab7,True,42
22,4,37,Ab7,True,34
23,1,42,Db,False,
23,2,48,Db,True,34
23,3,41,Db,True,47
23,4,38,Db,False,
24,1,35,Db,True,51
24,2,34,Db,True,51
24,3,48,Db,True,42
24,4,42,Db,False,
25,1,40,Db,True,34
25,2,48,Db,True,34
25,3,42,Db,False,
25,4,35,Db,True,42
26,1,34,Db-,False,
26,2,46,Db-,True,40
26,3,48,Db-,True,42
26,4,37,Db-,True,47
27,1,47,Ab,False,
27,2,40,Ab,False,
27,3,49,Ab,True,47
27,4,38,Ab,False,
28,1,51,F7,False,
28,2,44,F7,True,42
28,3,47,F7,False,
28,4,44,F7,True,42
29,1,36,Bb7,True,34
29,2,34,Bb7,True,50
29,3,50,Bb7,False,
29,4,50,Bb7,False,
30,1,38,Eb7,True,38
30,2,51,Eb7,True,38
30,3,38,Eb7,True,47
30,4,45,Eb7,True,50
31,1,52,Ab,True,51
31,2,51,Ab,False,
31,3,47,Ab,True,47
31,4,38,Ab,True,51
32,1,35,Ab,True,42
32,2,39,Ab,True,45
32,3,41,Ab,True,45
32,4,36,Ab,True,42
33,1,46,Ab,True,34
33,2,47,Ab,False,
33,3,51,Ab,True,42
33,4,38,Ab,True,40
34,1,34,Ab,True,50
34,2,48,Ab,True,50
34,3,46,Ab,True,40
