bar,beat,note,chord,replaced,original_value
1,1,37,Eb,True,42
1,2,45,Eb,True,42
1,3,43,Eb,True,43
1,4,50,Eb,True,42
2,1,43,Eb,True,42
2,2,40,Eb,True,42
2,3,49,Eb,True,47
2,4,44,Eb,True,43
3,1,47,Eb,False,
3,2,43,Eb,True,47
3,3,45,Eb,True,42
3,4,45,Eb,True,42
4,1,37,Eb7,True,42
4,2,40,Eb7,True,47
4,3,47,Eb7,False,
4,4,47,Eb7,False,
5,1,42,Ab,False,
5,2,43,Ab,True,47
5,3,46,Ab,True,42
5,4,42,Ab,False,
6,1,46,Ab,True,51
6,2,42,Ab,True,47
6,3,47,Ab,True,47
6,4,49,Ab,True,47
7,1,50,G7,True,50
7,2,44,G7,True,47
7,3,45,G7,True,45
7,4,40,G7,True,45
8,1,39,G7,True,50
8,2,42,G7,True,48
8,3,48,G7,False,
8,4,49,G7,True,48
9,1,38,Eb,True,49
9,2,49,Eb,True,48
9,3,51,Eb,True,42
9,4,49,Eb,True,48
10,1,48,Eb,True,42
10,2,48,Eb,False,
10,3,51,Eb,True,42
10,4,47,Eb,False,
11,1,47,Eb,False,
11,2,47,Eb7,False,
11,3,44,D7,False,
11,4,41,Db7,True,44
12,1,43,C7,False,
12,2,42,C7,False,
12,3,41,C7,True,50
12,4,43,C7,False,
13,1,41,F-7,True,47
13,2,37,F-7,True,48
13,3,40,F-7,True,48
13,4,47,F-7,False,
14,1,39,Bb7,True,47
14,2,47,Bb7,False,
14,3,44,Bb7,True,42
14,4,46,Bb7,True,47
15,1,50,Eb,True,47
15,2,37,Eb,False,
15,3,39,Eb,True,48
15,4,44,Eb,True,47
16,1,37,Bb7,True,48
16,2,51,Bb7,True,37
16,3,48,Bb7,False,
16,4,43,Bb7,True,47
17,1,46,Eb,True,47
17,2,49,Eb,True,48
17,3,42,Eb,False,
