bar,beat,note,chord,replaced,original_value
1,1,44,C-7,True,40
1,2,48,C-7,True,40
1,3,45,C-7,True,45
1,4,46,C-7,True,45
2,1,51,C-7,True,45
2,2,46,C-7,True,50
2,3,45,C-7,False,
2,4,39,C-7,True,47
3,1,40,C-7,True,42
3,2,37,C-7,True,47
3,3,47,C-7,False,
3,4,51,C-7,True,33
4,1,50,C-7,True,45
4,2,33,C-7,False,
4,3,42,C-7,True,47
4,4,47,C-7,False,
5,1,47,F-7,False,
5,2,44,F-7,True,48
5,3,42,F-7,True,50
5,4,42,F-7,True,47
6,1,48,F-7,True,50
6,2,50,F-7,True,48
6,3,44,F-7,True,34
6,4,51,F-7,True,47
7,1,37,C-7,True,45
7,2,37,C-7,True,33
7,3,44,C-7,True,45
7,4,47,C-7,False,
8,1,49,C-7,True,42
8,2,45,C-7,True,40
8,3,50,C-7,True,47
8,4,38,C-7,True,47
9,1,43,Ab7,False,
9,2,40,Ab7,True,34
9,3,52,Ab7,True,34
9,4,38,Ab7,True,47
10,1,50,G7,True,51
10,2,51,G7,False,
10,3,42,G7,True,48
10,4,47,G7,False,
11,1,41,C-7,True,45
11,2,45,C-7,False,
11,3,44,C-7,False,
11,4,50,C-7,True,48
12,1,45,G7,False,
12,2,48,G7,False,
12,3,47,G7,True,47
12,4,45,G7,False,
13,1,42,C-7,True,42
13,2,39,C-7,True,42
13,3,47,C-7,True,50
13,4,47,C-7,False,
14,1,48,C-7,False,
14,2,37,C-7,True,45
14,3,40,C-7,True,34
14,4,47,C-7,True,33
15,1,37,C-7,True,40
15,2,40,C-7,True,51
15,3,44,C-7,True,47
15,4,48,C-7,False,
16,1,38,C7,True,45
16,2,45,C7,True,40
16,3,43,C7,True,33
16,4,47,C7,False,
17,1,42,F-7,True,47
17,2,42,F-7,True,47
17,3,48,F-7,True,42
17,4,37,F-7,True,42
18,1,41,F-7,True,42
18,2,52,F-7,True,47
18,3,48,F-7,True,47
18,4,51,F-7,True,47
19,1,47,C-7,False,
19,2,37,C-7,True,47
19,3,42,C-7,False,
19,4,41,C-7,True,47
20,1,42,C-7,False,
20,2,38,C-7,True,47
20,3,42,C-7,True,47
20,4,40,C-7,True,47
21,1,51,C-7,True,47
21,2,44,C-7,True,42
21,3,40,C-7,True,41
