bar,beat,note,chord,replaced,original_value
1,1,48,F6,False,
1,2,42,F6,False,
1,3,42,F6,True,41
1,4,43,F6,False,
2,1,48,Abo,True,42
2,2,43,Abo,True,42
2,3,48,Abo,True,47
2,4,43,Abo,True,47
3,1,49,G-7,True,50
3,2,45,G-7,True,45
3,3,41,G-7,False,
3,4,41,G-7,True,38
4,1,43,C7,False,
4,2,44,C7,False,
4,3,39,C7,True,40
4,4,45,C7,False,
5,1,41,G-7,True,50
5,2,48,G-7,True,41
5,3,45,G-/F,False,
5,4,44,G-/F,True,47
6,1,46,Gm7b5,True,34
6,2,42,Gm7b5,True,42
6,3,38,C7,True,42
6,4,38,C7,True,41
7,1,40,F6,True,41
7,2,45,F6,True,48
7,3,37,F6,True,38
7,4,37,F6,True,45
8,1,42,E7,True,43
8,2,38,E7,True,42
8,3,48,A7,True,38
8,4,48,A7,True,44
9,1,40,D-7,True,45
9,2,45,D-7,False,
9,3,48,D-7,True,44
9,4,39,D-7,True,44
10,1,40,Bm7b5,True,43
10,2,41,Bm7b5,True,43
10,3,39,E7,True,42
10,4,44,E7,True,47
11,1,40,A-7,False,
11,2,41,A-7,True,47
11,3,46,A-7,True,43
11,4,47,A-7,True,44
12,1,45,Fm7b5,False,
12,2,39,Fm7b5,True,41
12,3,44,F-7,True,38
12,4,48,F-7,True,38
13,1,46,E-7,True,50
13,2,39,E-7,True,47
13,3,42,A7,True,40
13,4,42,A7,True,44
14,1,48,D-7,True,45
14,2,47,D-7,True,45
14,3,50,G7,False,
14,4,43,G7,True,42
15,1,49,C7,True,38
15,2,48,C7,True,41
15,3,42,C7,True,50
15,4,50,C7,False,
16,1,44,G-7,False,
16,2,44,G-7,True,41
16,3,39,C7,True,44
16,4,37,C7,True,49
17,1,39,F6,True,48
17,2,49,F6,True,43
17,3,47,F6,True,42
17,4,43,F6,True,41
18,1,42,Abo,False,
18,2,38,Abo,True,42
18,3,47,Abo,True,47
18,4,42,Abo,True,47
19,1,41,G-7,True,50
19,2,38,G-7,True,45
19,3,43,G-7,True,41
19,4,38,G-7,False,
20,1,43,C7,False,
20,2,44,C7,False,
20,3,42,C7,True,40
20,4,45,C7,False,
21,1,41,G-7,True,50
21,2,48,G-7,True,41
21,3,45,G-7/F,True,45
21,4,38,G-7/F,True,47
22,1,43,Gm7b5,True,42
22,2,42,Gm7b5,False,
22,3,40,C7,True,42
22,4,41,C7,True,37
23,1,43,F6,True,48
23,2,39,F6,True,43
23,3,44,D-7,True,40
23,4,41,D-7,True,41
24,1,39,C-7,True,43
24,2,45,C-7,False,
24,3,46,F7,True,42
24,4,43,F7,True,42
25,1,49,Bbj7,True,41
25,2,45,Bbj7,False,
25,3,37,Bbj7,True,48
25,4,41,Bbj7,False,
26,1,40,Em7b5,False,
26,2,44,Em7b5,False,
26,3,47,A79b,False,
26,4,46,A79b,True,42
27,1,45,D-7,False,
27,2,46,D-7,True,45
27,3,42,D-7,True,44
27,4,39,D-7,True,43
28,1,44,Bm7b5,True,42
28,2,46,Bm7b5,True,42
28,3,41,Bb-7,False,
28,4,38,Bb-7,True,42
29,1,47,A-7,True,44
29,2,44,A-7,True,42
29,3,48,D7,True,41
29,4,49,D7,True,48
30,1,37,G-79b,True,41
30,2,38,G-79b,True,44
30,3,46,C79b,True,43
30,4,40,C79b,True,37
31,1,43,A-7,True,41
31,2,42,A-7,True,41
31,3,45,D7,True,45
31,4,42,D7,True,49
32,1,47,G-7,True,50
32,2,46,G-7,True,41
32,3,44,C7,False,
32,4,49,C7,True,44
33,1,37,F6,False,
33,2,39,F6,True,42
33,3,42,F6,True,41
