bar,beat,note,chord,replaced,original_value
1,1,49,Gj7,True,50
1,2,50,Gj7,True,48
1,3,47,Gj7,False,
1,4,34,Gj7,False,
2,1,51,Gj7,True,45
2,2,51,Gj7,True,47
2,3,38,Gj7,True,45
2,4,43,Gj7,False,
3,1,39,Gj7,True,43
3,2,52,Gj7,True,43
3,3,43,Gj7,True,43
3,4,48,Gj7,True,44
4,1,50,Gj7,False,
4,2,51,Gj7,True,40
4,3,45,Gj7,True,41
4,4,46,Gj7,True,45
5,1,47,G-7,True,50
5,2,40,G-7,False,
5,3,45,G-7,True,52
5,4,42,G-7,True,44
6,1,38,G-7,True,50
6,2,48,G-7,True,45
6,3,52,G-7,True,45
6,4,45,G-7,False,
7,1,43,G-7,True,45
7,2,43,G-7,True,51
7,3,51,G-7,True,41
7,4,41,G-7,True,38
8,1,49,G-7,True,50
8,2,47,G-7,True,52
8,3,42,G-7,True,37
8,4,50,G-7,False,
9,1,51,A-7,True,52
9,2,47,A-7,False,
9,3,43,A-7,False,
9,4,47,A-7,True,44
10,1,44,D7,False,
10,2,46,D7,True,48
10,3,47,D7,True,37
10,4,44,D7,False,
11,1,43,Bm7b5,False,
11,2,40,Bm7b5,True,49
11,3,38,Bm7b5,True,49
11,4,41,Bm7b5,True,48
12,1,52,E79b,True,47
12,2,45,E79b,True,44
12,3,43,E79b,True,37
12,4,51,E79b,True,47
13,1,41,A-7,True,52
13,2,47,A-7,False,
13,3,49,A-7,True,44
13,4,46,A-7,True,44
14,1,40,D7,True,45
14,2,42,D7,True,48
14,3,45,D7,True,52
14,4,52,D7,True,44
15,1,50,Gj7,True,50
15,2,42,Gj7,False,
15,3,42,Gj7,False,
15,4,43,Gj7,True,47
16,1,51,Gj7,True,44
16,2,44,Gj7,True,45
16,3,50,Gj7,False,
16,4,38,Gj7,True,50
17,1,51,C-7,True,43
17,2,52,C-7,True,44
17,3,43,C-7,True,45
17,4,51,C-7,True,50
18,1,38,F7,True,48
18,2,52,F7,False,
18,3,50,F7,False,
18,4,50,F7,True,51
19,1,48,Bbj7,True,38
19,2,49,Bbj7,True,52
19,3,50,Bbj7,False,
19,4,44,Bbj7,True,48
20,1,39,Bbj7,True,44
20,2,43,Bbj7,False,
20,3,43,Bbj7,False,
20,4,50,Bbj7,True,45
21,1,43,C-7,False,
21,2,43,C-7,True,45
21,3,39,C-7,True,45
21,4,46,C-7,True,50
22,1,43,F7,True,44
22,2,44,F7,False,
22,3,40,F7,True,44
22,4,52,F7,True,42
23,1,37,Bbj7,False,
23,2,45,Bbj7,True,50
23,3,41,Bbj7,True,48
23,4,38,Bbj7,True,47
24,1,51,Bbj7,True,45
24,2,52,Bbj7,True,44
24,3,52,Bbj7,True,44
24,4,44,Bbj7,False,
25,1,40,A-7,False,
25,2,43,A-7,True,43
25,3,47,A-7,True,43
25,4,39,A-7,True,47
26,1,45,D7,True,38
26,2,42,D7,True,40
26,3,47,D7,True,45
26,4,41,D7,True,44
27,1,47,Gj7,True,50
27,2,42,Gj7,False,
27,3,51,Gj7,True,47
27,4,42,Gj7,False,
28,1,45,Gj7,True,45
28,2,52,Gj7,False,
28,3,51,Gj7,True,50
28,4,51,Gj7,True,37
29,1,51,F#-7,True,37
29,2,44,F#-7,False,
29,3,44,F#-7,False,
29,4,43,F#-7,True,44
30,1,51,F#-7,True,44
30,2,47,F#-7,True,49
30,3,50,F#-7,True,49
30,4,48,F#-7,True,48
31,1,46,Ej7,True,47
31,2,44,Ej7,False,
31,3,42,Ej7,False,
31,4,40,Ej7,True,42
32,1,52,Ej7,False,
32,2,47,Ej7,True,47
32,3,47,Ej7,True,44
32,4,41,Ej7,True,44
33,1,50,Gj7,True,52
33,2,47,Gj7,True,45
33,3,41,Gj7,True,45
33,4,44,Gj7,False,
34,1,42,Gj7,False,
34,2,51,Gj7,True,38
34,3,42,Gj7,False,
34,4,42,Gj7,True,42
35,1,45,Gj7,False,
35,2,46,Gj7,True,45
35,3,40,Gj7,True,38
35,4,40,Gj7,True,38
36,1,45,Gj7,True,50
36,2,45,Gj7,False,
36,3,42,Gj7,True,45
36,4,50,Gj7,True,45
37,1,39,G-7,True,45
37,2,33,G-7,False,
37,3,45,G-7,True,42
37,4,45,G-7,False,
38,1,40,G-7,True,44
