bar,beat,note,chord,replaced,original_value
1,1,36,Bb7,True,41
1,2,45,Bb7,True,41
1,3,41,Bb7,True,50
1,4,45,Bb7,True,50
2,1,40,Bb7,True,49
2,2,48,Bb7,True,50
2,3,35,Bb7,True,48
2,4,37,Bb7,True,37
3,1,47,Bb7,True,50
3,2,49,Bb7,True,50
3,3,48,Bb7,False,
3,4,43,Bb7,True,48
4,1,49,Bb7,True,37
4,2,34,Bb7,True,37
4,3,39,Bb7,True,37
4,4,34,Bb7,True,41
5,1,42,Eb7,True,42
5,2,43,Eb7,True,50
5,3,41,Eb7,False,
5,4,38,Eb7,True,50
6,1,35,Eb7,True,50
6,2,40,Eb7,True,50
6,3,37,Eb7,True,50
6,4,48,Eb7,True,50
7,1,45,Bb7,True,41
7,2,35,Bb7,True,42
7,3,48,Bb7,False,
7,4,41,Bb7,True,47
8,1,48,Bb7,True,48
8,2,50,Bb7,True,34
8,3,45,Bb7,False,
8,4,45,Bb7,False,
9,1,37,C-7,True,43
9,2,43,C-7,True,41
9,3,38,C-7,True,42
9,4,39,C-7,True,50
10,1,34,F7,True,48
10,2,41,F7,True,50
10,3,36,F7,True,48
10,4,43,F7,True,43
11,1,34,Bb7,True,41
11,2,42,Bb7,False,
11,3,43,Bb7,True,42
11,4,35,Bb7,True,49
12,1,40,Bb7,True,50
12,2,36,Bb7,True,50
12,3,40,Bb7,True,50
12,4,41,Bb7,True,49
13,1,34,Bb7,True,50
13,2,36,Bb7,True,50
13,3,37,Bb7,True,37
13,4,39,Bb7,True,37
14,1,50,Bb7,True,38
14,2,38,Bb7,True,38
14,3,49,Bb7,True,37
14,4,46,Bb7,True,37
15,1,50,Bb7,True,50
15,2,44,Bb7,True,38
15,3,35,Bb7,True,50
15,4,37,Bb7,True,50
16,1,50,Bb7,False,
16,2,38,Bb7,False,
16,3,50,Bb7,True,37
16,4,43,Bb7,True,38
17,1,42,Eb7,False,
17,2,34,Eb7,False,
17,3,37,Eb7,False,
17,4,42,Eb7,True,37
18,1,47,Eb7,True,50
18,2,48,Eb7,True,37
18,3,46,Eb7,True,37
18,4,44,Eb7,True,37
19,1,37,Bb7,False,
19,2,39,Bb7,False,
19,3,37,Bb7,False,
19,4,42,Bb7,True,50
20,1,47,Bb7,True,37
20,2,45,Bb7,True,37
20,3,40,Bb7,True,37
20,4,43,Bb7,True,37
21,1,45,C-7,True,37
21,2,46,C-7,True,45
21,3,37,C-7,True,45
21,4,47,C-7,False,
22,1,47,F7,False,
22,2,47,F7,False,
22,3,41,F7,True,37
22,4,43,F7,False,
23,1,41,Bb7,True,50
23,2,50,Bb7,True,50
23,3,44,Bb7,True,37
23,4,37,Bb7,False,
24,1,38,Bb7,False,
24,2,49,Bb7,True,37
24,3,45,Bb7,True,37
24,4,42,Bb7,True,37
25,1,49,Bb7,False,
25,2,50,Bb7,False,
