bar,beat,note,chord,replaced,original_value
1,1,34,Gm7b5,False,
1,2,50,Gm7b5,True,34
1,3,44,Gm7b5,True,41
1,4,52,Gm7b5,True,41
2,1,35,C79b,True,51
2,2,39,C79b,True,51
2,3,37,C79b,True,50
2,4,47,C79b,False,
3,1,43,Fj7,True,48
3,2,48,Fj7,False,
3,3,47,Fj7,False,
3,4,52,Fj7,True,42
4,1,42,Fj7,False,
4,2,47,Fj7,True,40
4,3,49,Fj7,True,47
4,4,44,Fj7,True,40
5,1,38,G-7,True,42
5,2,38,G-7,True,41
5,3,49,G-7,True,42
5,4,41,G-7,True,41
6,1,51,C7,False,
6,2,50,C7,True,40
6,3,40,C7,False,
6,4,46,C7,True,43
7,1,41,Fj7,True,37
7,2,42,Fj7,True,37
7,3,40,Fj7,False,
7,4,46,Fj7,True,45
8,1,47,Fj7,True,43
8,2,50,Fj7,True,43
8,3,45,Fj7,True,37
8,4,38,Fj7,True,40
9,1,51,Gm7b5,True,41
9,2,42,Gm7b5,True,41
9,3,34,Gm7b5,False,
9,4,47,Gm7b5,True,41
10,1,43,C79b,True,51
10,2,49,C79b,True,51
10,3,50,C79b,True,50
10,4,47,C79b,False,
11,1,49,Fj7,True,48
11,2,39,Fj7,True,48
11,3,40,Fj7,False,
11,4,42,Fj7,True,45
12,1,44,B-7,True,43
12,2,38,B-7,True,43
12,3,50,E7,True,42
12,4,47,E7,False,
13,1,40,Aj7,True,40
13,2,40,Aj7,False,
13,3,50,Aj7,True,40
13,4,49,Aj7,True,40
14,1,47,B-7,False,
14,2,45,B-7,True,47
14,3,44,E7,True,47
14,4,47,E7,False,
15,1,38,Aj7,True,40
15,2,40,Aj7,False,
15,3,47,Aj7,False,
15,4,37,Aj7,True,47
16,1,36,Aj7,True,47
16,2,46,Aj7,True,47
16,3,52,Aj7,True,47
16,4,45,Aj7,False,
17,1,52,G-7,True,44
17,2,44,G-7,False,
17,3,51,G-7,True,44
17,4,48,G-7,True,44
18,1,37,C7,False,
18,2,48,C7,True,50
18,3,49,C7,True,45
18,4,43,C7,True,43
19,1,37,Fj7,False,
19,2,39,Fj7,True,40
19,3,36,Fj7,True,45
19,4,45,Fj7,True,44
20,1,34,Fj7,True,44
20,2,40,Fj7,True,48
20,3,34,Fj7,True,44
20,4,46,Fj7,True,37
21,1,44,Am7b5,False,
21,2,34,Am7b5,True,44
21,3,44,Am7b5,False,
21,4,43,Am7b5,False,
22,1,45,D79b,True,50
22,2,41,D79b,True,52
22,3,45,D79b,False,
22,4,51,D79b,True,51
23,1,50,G7,False,
23,2,37,G7,True,48
23,3,40,G7,True,47
23,4,45,G7,False,
24,1,42,C7,True,50
24,2,41,C7,False,
24,3,48,C7,True,47
24,4,47,C7,True,50
25,1,52,Gm7b5,True,34
25,2,34,Gm7b5,True,41
25,3,49,Gm7b5,True,41
25,4,36,Gm7b5,True,34
26,1,46,C79b,True,41
26,2,41,C79b,False,
26,3,42,C79b,True,34
26,4,50,C79b,True,41
27,1,52,Fj7,False,
27,2,39,Fj7,True,40
27,3,42,Fj7,True,51
27,4,52,Fj7,True,51
28,1,34,Am7b5,False,
28,2,38,Am7b5,True,34
28,3,38,D7,True,51
28,4,38,D7,True,41
29,1,47,G7,True,43
29,2,43,G7,False,
29,3,38,G7,True,47
29,4,40,G7,True,40
30,1,51,G-7,True,38
30,2,43,G-7,True,38
30,3,43,C7,False,
30,4,45,C7,True,47
31,1,46,F6,True,48
31,2,41,F6,True,40
31,3,52,F6,True,45
31,4,44,F6,True,47
32,1,51,F6,True,48
32,2,37,F6,True,47
32,3,35,F6,True,45
32,4,37,F6,True,47
33,1,43,Gm7b5,True,47
33,2,43,Gm7b5,True,50
33,3,45,Gm7b5,True,43
33,4,52,Gm7b5,True,44
34,1,37,C79b,False,
34,2,50,C79b,True,37
34,3,37,C79b,True,37
34,4,38,C79b,True,37
35,1,38,Fj7,True,37
35,2,35,Fj7,True,37
35,3,51,Fj7,True,44
35,4,39,Fj7,True,37
36,1,41,Fj7,True,50
36,2,40,Fj7,False,
36,3,39,Fj7,True,47
36,4,50,Fj7,True,40
37,1,42,G-7,False,
37,2,34,G-7,False,
37,3,41,G-7,False,
37,4,51,G-7,True,51
38,1,44,C7,True,50
38,2,34,C7,True,48
38,3,48,C7,True,34
38,4,47,C7,True,47
39,1,38,Fj7,True,48
39,2,40,Fj7,False,
39,3,39,Fj7,True,44
39,4,44,Fj7,False,
40,1,52,Fj7,False,
40,2,50,Fj7,True,50
40,3,48,Fj7,True,48
40,4,36,Fj7,True,47
41,1,41,Gm7b5,True,34
41,2,43,Gm7b5,True,50
41,3,50,Gm7b5,True,41
41,4,43,Gm7b5,True,52
42,1,34,C79b,True,51
42,2,47,C79b,True,50
42,3,48,C79b,False,
42,4,46,C79b,True,47
43,1,48,Fj7,False,
43,2,48,Fj7,True,40
43,3,46,Fj7,True,45
43,4,42,Fj7,True,41
44,1,50,B-7,True,52
44,2,35,B-7,True,50
44,3,52,E7,True,48
44,4,47,E7,False,
45,1,49,Aj7,True,40
45,2,35,Aj7,True,40
45,3,44,Aj7,True,47
45,4,50,Aj7,True,47
46,1,48,B-7,True,47
46,2,47,B-7,True,47
46,3,44,E7,True,45
46,4,34,E7,True,42
47,1,50,Aj7,True,40
47,2,51,Aj7,True,43
47,3,51,Aj7,True,44
47,4,45,Aj7,True,47
48,1,40,Aj7,False,
48,2,50,Aj7,True,40
48,3,42,Aj7,False,
48,4,42,Aj7,True,44
49,1,51,G-7,True,50
49,2,49,G-7,True,52
49,3,41,G-7,True,37
49,4,36,G-7,True,50
50,1,48,C7,True,37
50,2,37,C7,False,
50,3,47,C7,True,37
50,4,39,C7,True,37
51,1,44,Fj7,False,
51,2,40,Fj7,False,
51,3,37,Fj7,True,45
51,4,48,Fj7,True,43
52,1,44,Fj7,True,37
52,2,47,Fj7,True,40
52,3,41,Fj7,True,45
52,4,47,Fj7,False,
53,1,42,Am7b5,True,48
53,2,39,Am7b5,True,47
53,3,45,Am7b5,False,
53,4,49,Am7b5,True,44
54,1,37,D79b,False,
54,2,40,D79b,False,
54,3,35,D79b,True,45
54,4,47,D79b,True,52
55,1,48,G7,True,50
55,2,42,G7,False,
55,3,43,G7,False,
55,4,41,G7,True,40
56,1,41,C7,False,
56,2,45,C7,True,45
