bar,beat,note,chord,replaced,original_value
1,1,50,F,True,37
1,2,39,F,True,37
1,3,42,F,True,37
1,4,41,F,True,41
2,1,39,F,True,37
2,2,36,F,True,37
2,3,44,F,True,37
2,4,49,F,True,38
3,1,50,F-7,True,38
3,2,46,F-7,True,37
3,3,35,F-7,True,42
3,4,37,F-7,False,
4,1,41,Bb7,False,
4,2,41,Bb7,True,37
4,3,47,Bb7,True,50
4,4,48,Bb7,True,37
5,1,50,G-7,False,
5,2,37,G-7,False,
5,3,41,G-7,False,
5,4,50,G-7,False,
6,1,47,C7913,True,37
6,2,51,C7913,True,41
6,3,37,C7913,False,
6,4,36,C7913,True,50
7,1,48,A-7,False,
7,2,35,A-7,True,47
7,3,42,Abo,False,
7,4,49,Abo,True,37
8,1,50,G-7,False,
8,2,47,G-7,True,41
8,3,43,Gb7,True,37
8,4,50,Gb7,False,
9,1,50,F,True,37
9,2,37,F,True,44
9,3,51,F,True,44
9,4,40,F,True,47
10,1,41,F,True,37
10,2,43,F,True,50
10,3,37,F,False,
10,4,43,F,True,37
11,1,37,F-7,False,
11,2,46,F-7,True,37
11,3,45,F-7,True,51
11,4,50,F-7,False,
12,1,45,Bb7,True,48
12,2,39,Bb7,True,47
12,3,45,Bb7,True,48
12,4,50,Bb7,True,51
13,1,41,G-7,True,50
13,2,43,G-7,True,41
13,3,41,G-7,False,
13,4,51,G-7,True,42
14,1,44,C7,True,37
14,2,44,C7,True,39
14,3,38,C7,True,37
14,4,47,C7,True,37
15,1,50,F-7,True,37
15,2,35,F-7,True,37
15,3,34,Bb-7,True,48
15,4,48,Bb-7,True,41
16,1,42,Eb-7,False,
16,2,42,Eb-7,False,
16,3,46,Ab7/D,True,37
16,4,35,Ab7/D,True,44
17,1,43,Db,True,44
17,2,34,Db,True,48
17,3,44,Db,False,
17,4,36,Db,True,37
18,1,37,D-7,True,37
18,2,35,D-7,True,48
18,3,47,D-7,True,47
18,4,44,D-7,False,
19,1,43,Eb-7,True,42
19,2,41,Eb-7,True,48
19,3,34,Eb-7,True,50
19,4,46,Eb-7,True,41
20,1,37,F-7,False,
20,2,38,F-7,True,37
20,3,44,B7913,True,37
20,4,37,B7913,True,37
21,1,42,F-7,False,
21,2,50,F-7,True,37
21,3,36,Bb79#13,True,47
21,4,50,Bb79#13,True,42
22,1,45,Eb-7,True,41
22,2,42,Eb-7,False,
22,3,47,Ab79#,True,37
22,4,42,Ab79#,False,
23,1,47,Db,True,42
23,2,42,Db,True,41
23,3,48,Db,True,42
23,4,51,Db,True,37
24,1,46,C7alt,True,43
24,2,36,C7alt,True,37
24,3,45,C7alt,True,37
24,4,48,C7alt,True,37
25,1,35,F,True,38
25,2,37,F,True,38
25,3,38,F,True,38
25,4,39,F,True,37
26,1,37,F,False,
26,2,41,F,True,41
26,3,40,F,True,37
26,4,34,F,True,50
27,1,43,F-7,True,51
27,2,38,F-7,True,37
27,3,37,F-7,False,
27,4,35,F-7,True,48
28,1,50,Bb7,True,37
28,2,50,Bb7,True,43
28,3,47,Bb7,True,43
28,4,38,Bb7,True,42
29,1,38,G-7,True,50
29,2,34,G-7,True,41
29,3,46,G-7,True,37
29,4,47,G-7,True,41
30,1,42,C7913,True,37
30,2,36,C7913,True,50
30,3,38,C7913,True,50
30,4,35,C7913,True,50
31,1,51,A-7,True,48
31,2,47,A-7,False,
31,3,34,Abo,True,47
31,4,41,Abo,True,37
32,1,50,G-7,True,50
32,2,39,G-7,True,41
32,3,45,Gb7,True,37
32,4,48,Gb7,True,37
33,1,51,F,True,37
33,2,38,F,True,37
33,3,37,F,False,
33,4,34,F,True,38
34,1,42,F,True,37
34,2,43,F,True,42
34,3,50,F,False,
34,4,51,F,True,41
35,1,50,F-7,False,
35,2,51,F-7,False,
35,3,50,F-7,False,
35,4,48,F-7,True,48
36,1,39,Bb7,True,50
36,2,51,Bb7,False,
36,3,48,Bb7,False,
36,4,40,Bb7,True,47
37,1,34,G-7,True,50
37,2,50,G-7,True,38
37,3,36,G-7,True,50
37,4,41,G-7,False,
38,1,42,C7913,True,37
38,2,48,C7913,True,50
38,3,45,C7913,True,50
38,4,51,C7913,True,50
39,1,50,A-7,True,48
39,2,37,A-7,True,47
39,3,37,Abo,True,40
39,4,49,Abo,True,37
40,1,41,G-7,True,50
40,2,36,G-7,True,50
40,3,44,Gb7,True,50
40,4,40,Gb7,True,50
41,1,50,F,True,48
41,2,47,F,True,37
41,3,46,F,True,43
41,4,34,F,True,44
42,1,43,F,True,47
42,2,45,F,True,37
42,3,43,F,True,50
42,4,46,F,True,37
43,1,42,F-7,True,51
43,2,51,F-7,False,
43,3,49,F-7,True,50
43,4,48,F-7,True,48
44,1,39,Bb7,True,50
44,2,37,Bb7,False,
44,3,36,Bb7,True,41
44,4,45,Bb7,True,41
45,1,35,G-7,True,41
45,2,38,G-7,True,50
45,3,41,G-7,True,47
45,4,51,G-7,True,44
46,1,39,C7,True,37
46,2,47,C7,True,50
46,3,37,C7,False,
46,4,50,C7,True,41
47,1,43,F-7,True,37
47,2,41,F-7,False,
47,3,43,Bb-7,True,37
47,4,34,Bb-7,True,50
48,1,39,Eb-7,True,37
48,2,39,Eb-7,True,42
48,3,44,Ab7/D,False,
48,4,44,Ab7/D,False,
49,1,44,Db,False,
49,2,46,Db,True,48
49,3,38,Db,True,37
49,4,38,Db,True,37
50,1,41,D-7,True,37
50,2,37,D-7,True,44
50,3,51,D-7,True,47
50,4,34,D-7,True,48
51,1,34,Eb-7,True,41
51,2,41,Eb-7,True,50
51,3,48,Eb-7,False,
51,4,41,Eb-7,True,47
52,1,51,F-7,True,37
52,2,49,F-7,True,48
52,3,47,F-7,True,37
52,4,44,F-7,True,37
53,1,37,F-7,False,
53,2,37,F-7,False,
53,3,46,Bb79#,True,37
53,4,42,Bb79#,True,42
54,1,35,Eb-7,True,37
54,2,46,Eb-7,True,47
54,3,38,Ab79#,True,44
54,4,42,Ab79#,True,44
55,1,48,Db,True,51
55,2,50,Db,True,37
55,3,38,Db,True,37
55,4,36,Db,True,42
56,1,41,C7alt,True,37
56,2,44,C7alt,True,37
56,3,37,C7alt,False,
56,4,49,C7alt,True,37
57,1,37,F,True,37
57,2,50,F,True,38
57,3,35,F,True,37
57,4,42,F,True,37
58,1,37,F,False,
58,2,48,F,True,41
58,3,37,F,False,
58,4,50,F,False,
59,1,43,F-7,True,50
59,2,51,F-7,False,
59,3,46,F-7,True,37
59,4,48,F-7,False,
60,1,48,Bb7,False,
60,2,35,Bb7,True,51
60,3,34,Bb7,True,37
60,4,46,Bb7,True,42
61,1,51,G-7,True,50
61,2,43,G-7,True,50
61,3,37,G-7,True,37
61,4,42,G-7,True,41
62,1,42,C7913,True,50
62,2,51,C7913,True,50
62,3,37,C7913,True,37
62,4,35,C7913,True,50
63,1,35,A-7,True,37
63,2,50,A-7,True,47
63,3,50,Abo,True,42
63,4,37,Abo,False,
