bar,beat,note,chord,replaced,original_value
1,1,49,Db7,True,37
1,2,37,Db7,True,37
1,3,45,Db7,True,37
1,4,44,Db7,True,44
2,1,45,Gb7,True,37
2,2,38,Gb7,False,
2,3,37,Gb7,False,
2,4,37,Gb7,True,37
3,1,43,Db7,True,37
3,2,45,Db7,True,37
3,3,43,Db7,True,37
3,4,50,Db7,True,37
4,1,44,Db7,True,37
4,2,44,Db7,True,37
4,3,41,Db7,False,
4,4,48,Db7,True,51
5,1,47,Gb7,True,49
5,2,50,Gb7,True,48
5,3,46,Gb7,True,49
5,4,41,Gb7,True,48
6,1,47,Gb7,False,
6,2,51,Gb7,True,44
6,3,37,Gb7,True,43
6,4,46,Gb7,True,41
7,1,41,Db7,True,47
7,2,47,Db7,True,48
7,3,50,Db7,True,51
7,4,40,Db7,True,41
8,1,39,Bb7,True,42
8,2,50,Bb7,True,42
8,3,37,Bb7,False,
8,4,50,Bb7,True,37
9,1,49,Eb7,True,37
9,2,44,Eb7,False,
9,3,43,Eb7,True,37
9,4,38,Eb7,True,41
10,1,40,Ab7,True,51
10,2,47,Ab7,True,49
10,3,39,Ab7,True,48
10,4,47,Ab7,False,
11,1,44,Db7,False,
11,2,48,Db7,False,
11,3,50,Db7,True,47
11,4,43,Db7,True,41
12,1,41,Ab7,True,42
12,2,38,Ab7,True,42
12,3,48,Ab7,True,42
12,4,40,Ab7,True,44
13,1,41,Db7,True,51
13,2,47,Db7,True,51
13,3,41,Db7,True,41
13,4,49,Db7,True,37
14,1,39,Gb7,True,37
14,2,46,Gb7,True,37
14,3,37,Gb7,False,
14,4,40,Gb7,True,42
15,1,42,Db7,True,37
15,2,39,Db7,True,37
15,3,41,Db7,True,39
15,4,37,Db7,False,
16,1,37,Db7,True,37
16,2,39,Db7,True,37
16,3,39,Db7,False,
16,4,41,Db7,True,37
17,1,38,Gb7,True,37
17,2,40,Gb7,True,37
17,3,40,Gb7,True,37
17,4,39,Gb7,True,37
18,1,47,Gb7,True,44
18,2,37,Gb7,False,
18,3,49,Gb7,True,37
18,4,51,Gb7,False,
19,1,41,Db7,True,51
19,2,45,Db7,True,48
19,3,41,Db7,True,47
19,4,46,Db7,True,44
20,1,47,Bb7,False,
20,2,47,Bb7,False,
20,3,42,Bb7,False,
20,4,41,Bb7,False,
21,1,37,Eb7,False,
21,2,48,Eb7,True,48
21,3,39,Eb7,True,42
21,4,43,Eb7,True,41
22,1,51,Ab7,False,
22,2,42,Ab7,True,48
22,3,51,Ab7,True,47
22,4,42,Ab7,True,42
23,1,44,Db7,True,44
23,2,48,Db7,False,
23,3,43,Db7,True,47
23,4,49,Db7,True,51
24,1,48,Ab7,True,47
24,2,45,Ab7,True,42
24,3,41,Ab7,True,42
24,4,40,Ab7,True,42
25,1,44,NC,False,
