bar,beat,note,chord,replaced,original_value
1,1,42,C-7,True,43
1,2,43,C-7,True,45
1,3,38,C-7,True,45
1,4,48,C-7,True,50
2,1,45,Ab7911#,True,51
2,2,50,Ab7911#,False,
2,3,44,Ab7911#,True,50
2,4,42,Ab7911#,False,
3,1,43,C-7,False,
3,2,49,C-7,True,34
3,3,50,C-7,False,
3,4,50,C-7,False,
4,1,37,A-7,True,50
4,2,50,A-7,False,
4,3,45,D7,True,49
4,4,45,D7,False,
5,1,50,Gj7,False,
5,2,47,Gj7,True,50
5,3,48,Gj7,True,37
5,4,51,Gj7,True,50
6,1,46,Ab-7,True,51
6,2,41,Ab-7,True,34
6,3,39,Ab-7,True,50
6,4,51,Ab-7,False,
7,1,48,F-7911,False,
7,2,49,F-7911,True,37
7,3,37,F-7911,True,43
7,4,48,F-7911,False,
8,1,35,F-7911,True,50
8,2,42,F-7911,False,
8,3,43,F-7911,False,
8,4,38,F-7911,True,49
9,1,45,C-7,True,43
9,2,45,C-7,True,42
9,3,40,C-7,True,43
9,4,50,C-7,False,
10,1,51,C-7,False,
10,2,42,C-7,False,
10,3,41,C-7,True,43
10,4,34,C-7,False,
11,1,40,A-7911,True,37
11,2,42,A-7911,True,50
11,3,36,A-7911,True,50
11,4,40,A-7911,False,
12,1,42,D7913,True,45
12,2,36,D7913,True,49
12,3,45,D7913,False,
12,4,38,D7913,True,37
13,1,50,Gj7,False,
13,2,49,Gj7,True,50
13,3,47,Gj7,True,50
13,4,46,Gj7,True,50
14,1,51,G7913,True,50
14,2,50,G7913,False,
14,3,51,G7913,True,50
14,4,44,G7913,True,50
15,1,50,A,False,
15,2,37,A,False,
15,3,34,A,True,50
15,4,47,A,True,37
16,1,50,Ebm7b5,False,
16,2,51,Ebm7b5,True,50
16,3,51,Ebm7b5,True,50
16,4,50,Ebm7b5,False,
17,1,44,F7913,True,48
17,2,48,F7913,True,50
17,3,51,F7913,False,
17,4,49,F7913,True,40
18,1,45,F79b13,True,41
18,2,38,F79b13,True,42
18,3,49,F79b13,True,43
18,4,37,F79b13,True,47
19,1,37,F7913,True,48
