bar,beat,note,chord,replaced,original_value
1,1,44,NC,True,50
1,2,47,NC,True,50
1,3,43,NC,False,
1,4,42,NC,False,
2,1,42,NC,False,
2,2,40,NC,False,
2,3,39,NC,True,38
2,4,42,NC,True,40
3,1,40,NC,False,
3,2,45,NC,True,42
3,3,37,NC,True,42
3,4,50,NC,False,
4,1,45,NC,False,
4,2,50,NC,False,
4,3,49,NC,True,50
4,4,49,NC,False,
5,1,42,NC,True,50
5,2,44,NC,True,50
5,3,50,NC,False,
5,4,45,NC,False,
6,1,45,NC,True,42
6,2,47,NC,True,45
6,3,42,NC,True,42
6,4,45,NC,False,
7,1,40,NC,True,42
7,2,40,NC,True,45
7,3,47,NC,True,42
7,4,49,NC,True,45
8,1,42,NC,False,
8,2,50,NC,True,42
8,3,39,NC,True,42
8,4,51,NC,True,51
9,1,42,NC,True,50
9,2,42,NC,False,
9,3,45,NC,True,42
9,4,38,NC,True,45
10,1,45,NC,False,
10,2,50,NC,False,
10,3,47,NC,True,50
10,4,50,NC,True,45
11,1,49,NC,True,42
11,2,47,NC,True,42
11,3,42,NC,True,42
11,4,40,NC,True,50
12,1,50,NC,True,47
12,2,50,NC,False,
12,3,50,NC,True,40
12,4,40,NC,False,
13,1,37,NC,False,
13,2,40,NC,True,50
13,3,49,NC,True,50
13,4,48,NC,True,37
14,1,41,NC,True,42
14,2,42,NC,False,
14,3,37,NC,False,
14,4,39,NC,True,42
15,1,49,NC,True,42
15,2,37,NC,False,
15,3,45,NC,True,38
15,4,50,NC,True,37
16,1,49,NC,True,50
16,2,51,NC,True,50
16,3,40,NC,True,51
16,4,40,NC,True,50
17,1,48,NC,True,50
17,2,50,NC,False,
17,3,50,NC,False,
17,4,37,NC,True,50
18,1,51,NC,True,50
18,2,48,NC,True,37
18,3,51,NC,True,37
18,4,40,NC,True,50
19,1,50,NC,False,
19,2,40,NC,True,50
19,3,48,NC,True,38
19,4,38,NC,True,38
20,1,38,NC,False,
20,2,50,NC,True,38
20,3,39,NC,True,50
20,4,45,NC,True,50
21,1,44,NC,True,51
21,2,45,NC,True,51
21,3,51,NC,True,51
21,4,44,NC,True,38
22,1,38,NC,True,47
22,2,49,NC,True,42
22,3,46,NC,True,42
22,4,46,NC,True,42
23,1,50,NC,True,42
23,2,46,NC,True,47
23,3,47,NC,False,
23,4,44,NC,True,37
24,1,40,NC,True,37
24,2,47,NC,True,42
24,3,51,NC,True,42
24,4,44,NC,True,42
25,1,43,NC,True,42
25,2,38,NC,True,42
25,3,38,NC,True,42
25,4,37,NC,False,
26,1,49,NC,True,37
26,2,37,NC,False,
26,3,42,NC,True,50
26,4,50,NC,False,
27,1,42,Db/Ab,True,44
27,2,43,Db/Ab,False,
27,3,50,Db/Ab,True,44
27,4,48,Db/Ab,True,44
28,1,48,Db/Ab,True,39
28,2,39,Db/Ab,True,39
28,3,44,Db/Ab,True,40
28,4,45,Db/Ab,True,37
29,1,41,Db/Ab,True,44
29,2,41,Db/Ab,True,44
29,3,45,Db/Ab,True,44
29,4,44,Db/Ab,False,
30,1,51,Db/Ab,True,44
30,2,45,Db/Ab,True,44
30,3,37,Db/Ab,False,
30,4,41,Db/Ab,True,48
31,1,48,Db/Ab,True,44
31,2,49,Db/Ab,True,44
31,3,47,Db/Ab,True,44
31,4,44,Db/Ab,False,
32,1,39,Db/Ab,False,
32,2,38,Db/Ab,True,39
32,3,45,Db/Ab,True,37
32,4,45,Db/Ab,True,42
33,1,39,Db/Ab,True,44
33,2,44,Db/Ab,False,
33,3,48,Db/Ab,True,44
33,4,50,Db/Ab,True,44
34,1,38,Db/Ab,True,44
34,2,44,Db/Ab,False,
34,3,51,Db/Ab,True,43
34,4,50,Db/Ab,True,43
35,1,49,Db/Ab,True,44
35,2,50,Db/Ab,True,44
35,3,51,Db/Ab,True,44
35,4,49,Db/Ab,True,44
36,1,43,Db/Ab,True,39
36,2,46,Db/Ab,True,39
36,3,40,Db/Ab,True,37
36,4,38,Db/Ab,False,
37,1,47,Db/Ab,False,
37,2,44,Db/Ab,False,
37,3,44,Db/Ab,False,
37,4,50,Db/Ab,True,44
38,1,44,Db/Ab,False,
38,2,49,Db/Ab,True,44
38,3,40,Db/Ab,True,44
38,4,47,Db/Ab,True,43
39,1,48,Db/Ab,True,44
39,2,44,Db/Ab,False,
39,3,44,Db/Ab,False,
39,4,44,Db/Ab,False,
40,1,38,Db/Ab,False,
40,2,39,Db/Ab,False,
40,3,40,Db/Ab,False,
40,4,40,Db/Ab,False,
41,1,51,Db/Ab,True,37
41,2,45,Db/Ab,True,38
41,3,40,Db/Ab,True,38
41,4,43,Db/Ab,True,38
42,1,37,Db/Ab,False,
42,2,47,Db/Ab,True,50
42,3,46,Db/Ab,True,50
42,4,50,Db/Ab,False,
43,1,37,NC,True,50
43,2,41,NC,True,43
43,3,40,NC,True,42
43,4,46,NC,True,41
44,1,42,NC,True,40
44,2,38,NC,False,
44,3,38,NC,False,
44,4,42,NC,True,40
45,1,49,NC,True,42
45,2,46,NC,True,42
45,3,43,NC,True,45
45,4,48,NC,True,45
46,1,47,NC,True,50
46,2,50,NC,False,
46,3,51,NC,True,50
46,4,44,NC,False,
47,1,45,NC,True,37
47,2,44,NC,True,50
47,3,37,NC,True,50
47,4,42,NC,False,
48,1,49,NC,True,44
48,2,47,NC,True,43
48,3,49,NC,True,44
48,4,45,NC,True,42
49,1,42,NC,True,37
49,2,44,NC,True,37
49,3,40,NC,True,37
49,4,39,NC,True,37
