bar,beat,note,chord,replaced,original_value
1,1,38,Eb,True,37
1,2,38,Eb,True,37
1,3,38,Eb,True,37
1,4,37,Eb,True,38
2,1,38,Bb+7,True,38
2,2,38,Bb+7,True,37
2,3,38,Bb+7,True,38
2,4,38,Bb+7,False,
3,1,38,Eb,True,38
3,2,37,Eb,True,38
3,3,38,Eb,False,
3,4,37,Eb,True,38
4,1,37,Do,True,37
4,2,38,Do,True,37
4,3,37,Do,True,37
4,4,38,Do,True,48
5,1,37,Eb7,False,
5,2,38,Eb7,True,38
5,3,37,Eb7,False,
5,4,38,Eb7,True,37
6,1,37,Ab7,False,
6,2,37,Ab7,False,
6,3,37,Ab7,True,37
6,4,38,Ab7,True,38
7,1,38,F-7,False,
7,2,38,F-7,True,38
7,3,38,F-7,True,38
7,4,38,F-7,True,38
8,1,38,Bb7,True,38
8,2,38,Bb7,True,37
8,3,38,Bb7,True,37
8,4,38,Bb7,True,37
9,1,37,Bb7,True,38
9,2,37,Bb7,True,37
9,3,38,Bb7,True,38
9,4,38,Bb7,True,38
10,1,38,Bb7,True,38
10,2,38,Bb7,True,38
10,3,38,Bb7,True,38
10,4,38,Bb7,True,38
11,1,38,Eb,True,37
11,2,37,Eb,True,42
11,3,38,Eb,True,37
11,4,38,Eb,True,40
12,1,38,C7,True,38
12,2,37,C7,True,37
12,3,37,C7,False,
12,4,37,C7,False,
13,1,37,F7,False,
13,2,37,F7,True,37
13,3,38,F7,True,37
13,4,38,F7,True,38
14,1,37,F7,False,
14,2,38,F7,True,37
14,3,37,F7,True,38
14,4,38,F7,True,38
15,1,38,Bb7,False,
15,2,38,Bb7,False,
15,3,37,Bb7,False,
15,4,37,Bb7,True,48
16,1,38,Bb7,True,37
16,2,37,Bb7,False,
16,3,38,Bb7,True,37
16,4,38,Bb7,True,37
17,1,37,NC,True,40
17,2,37,NC,True,38
17,3,38,NC,False,
17,4,38,NC,False,
18,1,38,NC,True,38
