bar,beat,note,chord,replaced,original_value
1,1,51,F7,True,44
1,2,38,F7,False,
1,3,38,F7,False,
1,4,38,F7,False,
2,1,43,F7,False,
2,2,44,F7,True,44
2,3,38,F7,False,
2,4,39,F7,True,38
3,1,37,F7,False,
3,2,33,F7,True,44
3,3,38,F7,True,50
3,4,33,F7,True,50
4,1,40,F7,True,48
4,2,45,F7,True,50
4,3,50,F7,False,
4,4,48,F7,False,
5,1,38,Bb7,True,45
5,2,36,Bb7,True,48
5,3,50,Bb7,True,45
5,4,45,Bb7,False,
6,1,48,Bb7,True,43
6,2,48,Bb7,False,
6,3,48,Bb7,True,34
6,4,40,Bb7,True,45
7,1,40,F7,True,43
7,2,33,F7,True,45
7,3,47,F7,False,
7,4,35,F7,True,48
8,1,49,A-7,True,50
8,2,33,A-7,True,48
8,3,46,D7,True,45
8,4,47,D7,True,50
9,1,46,G7,True,50
9,2,34,G7,True,50
9,3,50,G7,False,
9,4,49,G7,True,50
10,1,50,C7,True,50
10,2,37,C7,True,37
10,3,46,C7,True,50
10,4,38,C7,True,43
11,1,40,F7,True,38
11,2,39,F7,True,44
11,3,44,F7,False,
11,4,39,F7,True,42
12,1,33,C7,True,44
12,2,43,C7,True,44
12,3,37,C7,True,43
12,4,33,C7,True,44
13,1,43,F7,False,
13,2,48,F7,True,43
13,3,44,F7,True,44
13,4,35,F7,True,45
14,1,47,Bb7,False,
14,2,44,Bb7,True,48
14,3,48,Bb7,True,50
14,4,38,Bb7,False,
15,1,41,F7,True,37
15,2,46,F7,True,38
15,3,38,F7,True,38
15,4,38,F7,False,
16,1,45,F7,True,38
16,2,38,F7,False,
16,3,48,F7,True,42
16,4,41,F7,True,38
17,1,51,Bb7,True,43
17,2,37,Bb7,True,42
17,3,43,Bb7,True,41
17,4,33,Bb7,True,50
18,1,47,Bb7,False,
18,2,34,Bb7,False,
18,3,41,Bb7,True,33
18,4,36,Bb7,True,42
19,1,46,F7,True,38
19,2,44,F7,True,38
19,3,43,F7,False,
19,4,33,F7,True,33
20,1,41,D7,True,47
20,2,48,D7,False,
20,3,34,D7,True,47
20,4,50,D7,True,37
21,1,44,G7,True,38
21,2,44,G7,True,38
21,3,50,G7,False,
21,4,38,G7,False,
22,1,40,C7,True,42
22,2,34,C7,True,42
22,3,50,C7,True,50
22,4,35,C7,True,50
23,1,48,F7,False,
23,2,42,F7,False,
23,3,39,F7,True,38
23,4,50,F7,False,
24,1,36,C7,True,50
24,2,49,C7,True,38
24,3,42,C7,True,38
24,4,48,C7,True,50
25,1,49,F7,True,47
25,2,45,F7,True,48
25,3,47,F7,True,47
25,4,46,F7,True,48
26,1,49,Bb7,True,50
26,2,41,Bb7,False,
26,3,44,Bb7,True,50
26,4,34,Bb7,True,50
27,1,37,F7,False,
27,2,38,F7,False,
27,3,37,F7,True,38
27,4,51,F7,True,38
28,1,44,F7,True,38
28,2,34,F7,True,38
28,3,37,F7,True,38
28,4,38,F7,False,
29,1,38,Bb7,False,
29,2,42,Bb7,True,33
29,3,50,Bb7,True,38
29,4,43,Bb7,True,43
30,1,37,Bb7,True,38
30,2,49,Bb7,True,38
30,3,33,Bb7,True,38
30,4,41,Bb7,True,38
31,1,44,F7,True,37
31,2,38,F7,False,
31,3,48,F7,True,48
31,4,34,F7,True,38
32,1,38,D7,False,
32,2,41,D7,True,42
32,3,50,D7,True,44
32,4,42,D7,False,
33,1,49,G7,True,43
33,2,44,G7,False,
33,3,44,G7,True,38
33,4,35,G7,True,50
34,1,35,C7,True,50
34,2,48,C7,False,
34,3,35,C7,True,47
34,4,34,C7,True,50
35,1,40,F7,True,48
35,2,47,F7,False,
35,3,50,F7,False,
35,4,35,F7,True,51
36,1,44,C7,True,50
36,2,42,C7,False,
36,3,47,C7,True,42
36,4,48,C7,True,50
37,1,42,F7,True,43
37,2,37,F7,True,45
37,3,50,F7,True,47
37,4,40,F7,True,48
38,1,51,Bb7,True,50
38,2,33,Bb7,True,50
38,3,37,Bb7,True,41
38,4,51,Bb7,True,50
39,1,38,F7,False,
39,2,51,F7,True,39
39,3,50,F7,False,
39,4,50,F7,True,50
40,1,42,F7,True,42
40,2,48,F7,False,
40,3,35,F7,True,50
40,4,38,F7,True,50
41,1,40,Bb7,True,42
41,2,38,Bb7,True,47
41,3,48,Bb7,False,
41,4,42,Bb7,False,
