bar,beat,note,chord,replaced,original_value
1,1,41,Bbj7,False,
1,2,43,Bbj7,True,41
1,3,45,Bbj7,True,50
1,4,43,Bbj7,True,48
2,1,38,Bbj7,True,41
2,2,44,Bbj7,True,41
2,3,43,Bbj7,True,50
2,4,40,Bbj7,True,47
3,1,43,Bo,True,41
3,2,48,Bo,True,41
3,3,47,Bo,False,
3,4,41,Bo,True,45
4,1,47,Bo,True,42
4,2,37,Bo,True,42
4,3,44,Bo,True,48
4,4,45,Bo,False,
5,1,43,C-7,True,50
5,2,42,C-7,True,34
5,3,39,C-7,True,43
5,4,40,C-7,True,43
6,1,39,F7,True,48
6,2,39,F7,True,34
6,3,46,F7,True,48
6,4,39,F7,True,37
7,1,41,Bbj7,False,
7,2,39,Bbj7,True,41
7,3,46,Bbj7,True,50
7,4,38,Bbj7,True,48
8,1,48,F7,False,
8,2,41,F7,True,43
8,3,37,F7,False,
8,4,47,F7,True,48
9,1,38,Bbj7,True,41
9,2,43,Bbj7,True,42
9,3,38,Bbj7,True,50
9,4,50,Bbj7,False,
10,1,44,Bbj7,True,38
10,2,37,Bbj7,False,
10,3,40,Bbj7,True,50
10,4,48,Bbj7,True,41
11,1,37,Bo,True,42
11,2,37,Bo,False,
11,3,38,Bo,False,
11,4,46,Bo,True,37
12,1,37,Bo,False,
12,2,44,Bo,True,37
12,3,42,Bo,True,38
12,4,45,Bo,True,37
13,1,42,C-7,True,38
13,2,44,C-7,True,42
13,3,38,C-7,True,43
13,4,48,C-7,True,42
14,1,37,F7,True,38
14,2,42,F7,True,37
14,3,43,F7,False,
14,4,37,F7,True,43
15,1,44,Bbj7,True,41
15,2,44,Bbj7,False,
15,3,34,Bbj7,False,
15,4,46,Bbj7,True,47
16,1,47,Bbj7,False,
16,2,48,Bbj7,True,42
16,3,39,Bbj7,True,47
16,4,44,Bbj7,True,47
17,1,44,Bb7,True,47
17,2,44,Bb7,True,37
17,3,38,Bb7,True,37
17,4,48,Bb7,True,38
18,1,43,Bb7,True,38
18,2,37,Bb7,False,
18,3,39,Bb7,True,38
18,4,48,Bb7,True,38
19,1,39,Eb7,True,38
19,2,37,Eb7,True,37
19,3,46,Eb7,True,41
19,4,40,Eb7,True,40
20,1,43,Eb7,True,42
20,2,38,Eb7,True,43
20,3,41,Eb7,True,41
20,4,46,Eb7,True,41
21,1,42,C7,False,
21,2,40,C7,True,37
21,3,40,C7,True,41
21,4,37,C7,True,41
22,1,47,C7,True,41
22,2,39,C7,True,41
22,3,39,C7,True,41
22,4,37,C7,False,
23,1,40,F7,True,43
23,2,48,F7,False,
23,3,48,F7,False,
23,4,44,F7,True,45
24,1,42,F7,True,43
24,2,38,F7,True,43
24,3,47,F7,True,43
24,4,43,F7,False,
25,1,41,Bbj7,False,
25,2,48,Bbj7,False,
25,3,37,Bbj7,False,
25,4,40,Bbj7,True,37
26,1,40,Bbj7,True,41
26,2,48,Bbj7,True,37
26,3,37,Bbj7,True,41
26,4,48,Bbj7,False,
27,1,43,Bo,False,
27,2,40,Bo,True,48
27,3,45,Bo,True,42
27,4,40,Bo,True,37
28,1,39,Bo,True,40
28,2,41,Bo,False,
28,3,48,Bo,True,43
28,4,47,Bo,True,38
29,1,42,C-7,True,43
29,2,37,C-7,False,
29,3,37,C-7,True,41
29,4,41,C-7,False,
30,1,47,F7,True,41
30,2,37,F7,True,48
30,3,47,F7,True,43
30,4,37,F7,True,41
31,1,45,Bbj7,True,41
31,2,39,Bbj7,True,41
31,3,37,Bbj7,True,40
31,4,46,Bbj7,True,48
32,1,37,F7,True,43
32,2,48,F7,True,42
32,3,45,F7,True,45
32,4,45,F7,True,43
33,1,42,Bbj7,False,
33,2,42,Bbj7,True,48
33,3,46,Bbj7,True,37
33,4,37,Bbj7,True,48
34,1,41,Bbj7,True,41
34,2,41,Bbj7,True,41
34,3,41,Bbj7,True,41
34,4,45,Bbj7,True,48
35,1,42,Bo,False,
35,2,41,Bo,True,48
35,3,47,Bo,True,43
35,4,42,Bo,True,44
36,1,44,Bo,False,
36,2,47,Bo,True,40
36,3,45,Bo,True,40
36,4,41,Bo,True,37
37,1,43,C-7,False,
37,2,41,C-7,False,
37,3,45,C-7,True,41
37,4,42,C-7,False,
38,1,42,F7,True,37
38,2,37,F7,True,37
38,3,38,F7,True,48
38,4,43,F7,True,41
39,1,41,Bbj7,False,
39,2,43,Bbj7,True,41
39,3,40,Bbj7,True,40
39,4,47,Bbj7,False,
40,1,40,F7,True,48
40,2,37,F7,True,48
40,3,47,F7,True,43
40,4,41,F7,True,43
41,1,41,Bbj7,False,
41,2,48,Bbj7,True,48
