bar,beat,note,chord,replaced,original_value
1,1,42,Bbj7,True,44
1,2,45,Bbj7,True,45
1,3,50,G7,False,
1,4,51,G7,True,37
2,1,45,C-7,True,50
2,2,45,C-7,True,50
2,3,47,F7,True,51
2,4,40,F7,True,37
3,1,45,Bbj7,True,50
3,2,51,Bbj7,True,45
3,3,50,G7,False,
3,4,51,G7,True,48
4,1,47,C-7,False,
4,2,49,C-7,True,50
4,3,37,F7,True,48
4,4,43,F7,True,37
5,1,38,F-7,True,51
5,2,48,F-7,True,48
5,3,49,Bb7,True,37
5,4,39,Bb7,True,47
6,1,47,Ebj7,True,47
6,2,37,Ebj7,True,50
6,3,38,Eb-6,True,37
6,4,51,Eb-6,False,
7,1,37,Bbj7,True,50
7,2,47,Bbj7,True,50
7,3,43,G7,True,47
7,4,47,G7,False,
8,1,39,C-7,True,48
8,2,37,C-7,False,
8,3,40,F7,True,45
8,4,47,F7,True,43
9,1,38,Bbj7,True,43
9,2,37,Bbj7,False,
9,3,38,G7,True,45
9,4,42,G7,True,42
10,1,51,C-7,True,43
10,2,43,C-7,True,44
10,3,46,F7,True,45
10,4,47,F7,False,
11,1,44,Bbj7,True,48
11,2,49,Bbj7,True,37
11,3,50,G7,True,45
11,4,42,G7,True,42
12,1,42,C-7,True,43
12,2,48,C-7,True,50
12,3,48,F7,False,
12,4,43,F7,True,37
13,1,47,F-7,True,51
13,2,44,F-7,True,48
13,3,49,Bb7,False,
13,4,51,Bb7,True,47
14,1,48,Ebj7,True,47
14,2,50,Ebj7,False,
14,3,51,Eb-6,True,50
14,4,41,Eb-6,True,51
15,1,50,Bbj7,True,50
15,2,44,Bbj7,True,50
15,3,41,G7,True,37
15,4,49,G7,False,
16,1,47,Bbj7,True,49
16,2,45,Bbj7,True,49
16,3,46,Bbj7,True,50
16,4,49,Bbj7,True,42
17,1,50,D7,False,
17,2,42,D7,True,37
17,3,44,D7,True,37
17,4,42,D7,True,37
18,1,39,D7,True,37
18,2,37,D7,False,
18,3,41,D7,True,37
18,4,46,D7,True,45
19,1,51,G7,True,50
19,2,50,G7,False,
19,3,40,G7,True,37
19,4,40,G7,True,37
20,1,40,G7,True,37
20,2,44,G7,True,37
20,3,39,G7,True,50
20,4,38,G7,True,37
21,1,50,C7,False,
21,2,50,C7,False,
21,3,40,C7,True,50
21,4,51,C7,True,37
22,1,48,C7,True,50
22,2,48,C7,False,
22,3,41,C7,True,47
22,4,45,C7,False,
23,1,37,F7,True,43
23,2,45,F7,False,
23,3,47,F7,False,
23,4,47,F7,False,
24,1,38,F7,True,48
24,2,40,F7,True,37
24,3,37,F7,True,45
24,4,47,F7,True,43
25,1,41,Bbj7,True,50
25,2,37,Bbj7,True,37
25,3,49,G7,True,50
25,4,49,G7,False,
26,1,41,C-7,True,43
26,2,41,C-7,True,42
26,3,37,F7,False,
26,4,48,F7,False,
27,1,42,Bbj7,True,37
27,2,45,Bbj7,False,
27,3,42,G7,False,
27,4,51,G7,True,45
28,1,49,C-7,True,43
28,2,45,C-7,False,
28,3,38,F7,True,47
28,4,37,F7,True,47
29,1,48,F-7,False,
29,2,50,F-7,False,
29,3,39,Bb7,True,51
29,4,37,Bb7,True,37
30,1,38,Ebj7,True,49
30,2,48,Ebj7,True,45
30,3,45,Eb-6,False,
30,4,47,Eb-6,False,
31,1,48,Bbj7,False,
31,2,47,Bbj7,False,
31,3,49,G7,True,47
31,4,47,G7,True,45
32,1,43,Bbj7,False,
32,2,51,Bbj7,True,50
32,3,38,Bbj7,True,48
32,4,49,Bbj7,True,47
33,1,42,Bbj7,True,45
33,2,49,Bbj7,True,37
33,3,39,G7,True,50
33,4,37,G7,True,37
34,1,44,C-7,True,37
34,2,46,C-7,True,49
34,3,40,F7,True,49
34,4,50,F7,False,
35,1,37,Bbj7,True,50
35,2,42,Bbj7,True,44
35,3,49,G7,True,50
35,4,47,G7,True,37
36,1,43,C-7,True,37
36,2,37,C-7,False,
36,3,50,F7,True,37
36,4,37,F7,False,
37,1,50,F-7,True,37
37,2,38,F-7,True,50
37,3,48,Bb7,True,50
37,4,37,Bb7,False,
38,1,45,Ebj7,True,37
38,2,50,Ebj7,True,37
38,3,45,Eb-6,True,37
38,4,45,Eb-6,True,37
39,1,50,Bbj7,True,37
39,2,43,Bbj7,True,37
39,3,48,G7,True,37
39,4,37,G7,False,
40,1,48,C-7,True,37
40,2,46,C-7,True,37
40,3,48,F7,True,37
40,4,37,F7,False,
41,1,41,Bbj7,True,37
41,2,40,Bbj7,True,51
41,3,50,G7,False,
41,4,46,G7,True,37
42,1,50,C-7,True,37
42,2,45,C-7,True,50
42,3,39,F7,True,50
42,4,37,F7,False,
43,1,47,Bbj7,True,37
43,2,44,Bbj7,True,45
43,3,48,G7,True,50
43,4,49,G7,True,48
44,1,49,C-7,False,
44,2,50,C-7,False,
44,3,43,F7,True,49
44,4,48,F7,False,
45,1,47,F-7,True,50
45,2,51,F-7,True,48
45,3,43,Bb7,True,49
45,4,47,Bb7,False,
46,1,47,Ebj7,False,
46,2,49,Ebj7,True,50
46,3,39,Eb-6,True,50
46,4,39,Eb-6,True,51
47,1,41,Bbj7,True,50
47,2,46,Bbj7,True,50
47,3,51,G7,True,50
47,4,49,G7,False,
48,1,40,Bbj7,True,48
48,2,48,Bbj7,True,49
48,3,50,Bbj7,False,
48,4,42,Bbj7,True,45
49,1,47,D7,True,50
49,2,46,D7,True,50
49,3,49,D7,True,37
49,4,38,D7,True,37
50,1,38,D7,True,37
50,2,37,D7,True,37
50,3,51,D7,True,37
50,4,43,D7,True,45
51,1,50,G7,False,
51,2,47,G7,True,50
51,3,37,G7,False,
51,4,37,G7,False,
52,1,45,G7,True,37
52,2,49,G7,True,37
52,3,37,G7,False,
52,4,40,G7,True,37
53,1,49,C7,True,37
53,2,42,C7,True,37
53,3,47,C7,True,37
53,4,48,C7,True,37
54,1,42,C7,True,37
54,2,45,C7,True,37
54,3,40,C7,True,37
54,4,44,C7,True,37
55,1,51,F7,True,37
55,2,50,F7,False,
55,3,50,F7,False,
55,4,51,F7,True,37
56,1,37,F7,False,
56,2,47,F7,True,37
56,3,45,F7,True,48
56,4,51,F7,True,48
57,1,40,Bbj7,True,51
57,2,39,Bbj7,True,37
57,3,39,G7,True,37
57,4,45,G7,True,37
58,1,50,C-7,True,37
58,2,40,C-7,True,37
58,3,38,F7,True,37
58,4,42,F7,True,37
59,1,47,Bbj7,True,37
59,2,51,Bbj7,True,45
59,3,50,G7,False,
59,4,49,G7,True,50
60,1,37,C-7,False,
60,2,48,C-7,True,49
60,3,48,F7,False,
60,4,48,F7,True,37
61,1,50,F-7,False,
61,2,39,F-7,True,45
61,3,42,Bb7,True,50
61,4,37,Bb7,True,50
62,1,46,Ebj7,True,50
62,2,45,Ebj7,True,50
62,3,47,Eb-6,False,
62,4,38,Eb-6,True,47
63,1,47,Bbj7,True,48
63,2,40,Bbj7,True,47
63,3,47,G7,False,
63,4,45,G7,False,
64,1,43,Bbj7,True,43
64,2,39,Bbj7,True,50
64,3,44,Bbj7,True,48
64,4,37,Bbj7,True,47
65,1,43,Bbj7,True,44
65,2,37,Bbj7,True,43
