bar,beat,note,chord,replaced,original_value
1,1,44,C-7,False,
1,2,51,C-7,True,44
1,3,44,C-7,False,
1,4,39,C-7,True,47
2,1,41,Dm7b5,True,48
2,2,44,Dm7b5,True,51
2,3,41,G7,True,50
2,4,40,G7,True,50
3,1,43,C-7,False,
3,2,51,C-7,True,49
3,3,46,C-7,True,50
3,4,39,C-7,True,41
4,1,51,Dm7b5,False,
4,2,48,Dm7b5,True,44
4,3,50,G7,False,
4,4,45,G7,True,42
5,1,43,C-7,False,
5,2,50,C-7,True,44
5,3,45,C-7,False,
5,4,49,C-7,True,47
6,1,47,Dm7b5,True,48
6,2,39,Dm7b5,True,49
6,3,48,G7,True,50
6,4,49,G7,True,50
7,1,46,C-7,True,43
7,2,51,C-7,True,40
7,3,41,C-7,False,
7,4,50,C-7,True,44
8,1,50,Dm7b5,True,51
8,2,50,Dm7b5,True,47
8,3,49,G7,True,50
8,4,45,G7,True,42
9,1,51,C-7,True,43
9,2,42,C-7,True,44
9,3,46,C-7,True,45
9,4,41,C-7,True,47
10,1,48,Dm7b5,False,
10,2,52,Dm7b5,True,49
10,3,42,G7,True,50
10,4,41,G7,True,50
11,1,46,C-7,True,43
11,2,43,C-7,True,48
11,3,44,C-7,True,50
11,4,46,C-7,True,50
12,1,51,Dm7b5,False,
12,2,48,Dm7b5,True,44
12,3,50,G7,False,
12,4,42,G7,False,
13,1,43,C-7,False,
13,2,37,C-7,True,44
13,3,45,C-7,False,
13,4,47,C-7,False,
14,1,48,Dm7b5,False,
14,2,48,Dm7b5,False,
14,3,51,G7,True,50
14,4,50,G7,True,50
15,1,43,C-7,False,
15,2,51,C-7,True,43
15,3,43,C-7,True,50
15,4,42,C-7,True,47
16,1,42,F-7,True,47
16,2,39,F-7,True,51
16,3,41,Bb7,False,
16,4,49,Bb7,True,45
17,1,46,Ebj7,True,45
17,2,47,Ebj7,False,
17,3,51,Ebj7,True,41
17,4,51,Ebj7,False,
18,1,52,Gm7b5,True,50
18,2,50,Gm7b5,True,50
18,3,48,Gm7b5,True,44
18,4,42,Gm7b5,False,
19,1,52,C7,True,43
19,2,45,C7,True,41
19,3,50,C7,False,
19,4,47,C7,False,
20,1,38,C79b,True,47
20,2,50,C79b,False,
20,3,46,C79b,True,43
20,4,38,C79b,True,43
21,1,52,F-,True,48
21,2,50,F-,False,
21,3,43,F-,False,
21,4,46,F-,True,50
22,1,46,C7,True,43
22,2,37,C7,True,52
22,3,42,Ab7911#,True,44
22,4,50,Ab7911#,True,37
23,1,46,D-/G,True,50
23,2,41,D-/G,True,50
23,3,51,D-/G,True,48
23,4,50,D-/G,True,51
24,1,44,G7,True,45
24,2,37,G7,True,50
24,3,46,G7,True,45
24,4,45,G7,True,42
25,1,43,C-7,False,
25,2,46,C-7,True,45
25,3,45,C-7,False,
25,4,48,C-7,True,47
26,1,40,Dm7b5,True,48
26,2,48,Dm7b5,True,51
26,3,38,G7,True,50
26,4,42,G7,True,50
27,1,45,C-7,True,44
27,2,49,C-7,True,49
27,3,42,C-7,True,50
27,4,50,C-7,True,41
28,1,50,Dm7b5,True,51
28,2,52,Dm7b5,True,44
28,3,48,G7,True,50
28,4,48,G7,True,42
29,1,47,C-7,True,43
29,2,45,C-7,False,
29,3,50,C-7,True,45
29,4,42,C-7,True,47
30,1,49,Dm7b5,True,48
30,2,47,Dm7b5,True,49
30,3,37,G7,True,50
30,4,42,G7,True,50
31,1,40,C-7,True,50
31,2,43,C-7,False,
31,3,46,C-7,True,41
31,4,41,C-7,False,
32,1,51,G79,False,
32,2,48,G79,False,
32,3,52,G79,True,50
32,4,37,G79,True,42
33,1,46,C-7,True,43
33,2,42,C-7,True,45
33,3,40,C-7,True,45
33,4,43,C-7,True,47
34,1,40,Dm7b5,True,48
34,2,47,Dm7b5,True,51
34,3,38,G7,True,50
34,4,50,G7,False,
35,1,47,C-7,True,43
35,2,49,C-7,False,
35,3,43,C-7,True,50
35,4,44,C-7,True,41
36,1,51,Dm7b5,False,
36,2,37,Dm7b5,True,44
36,3,51,G7,True,50
36,4,39,G7,True,42
37,1,46,C-7,True,43
37,2,51,C-7,True,45
37,3,45,C-7,False,
37,4,45,C-7,True,47
38,1,40,Dm7b5,True,48
38,2,47,Dm7b5,True,49
38,3,50,G7,False,
38,4,50,G7,False,
39,1,40,C-7,True,43
39,2,40,C-7,True,50
39,3,44,C-7,True,41
39,4,52,C-7,True,43
40,1,46,Dm7b5,True,50
40,2,41,Dm7b5,True,51
40,3,50,G7,False,
40,4,48,G7,True,42
41,1,40,C-7,True,43
41,2,49,C-7,True,45
41,3,39,C-7,True,34
41,4,38,C-7,True,47
42,1,48,Dm7b5,False,
42,2,48,Dm7b5,True,51
42,3,40,G7,True,50
42,4,50,G7,False,
43,1,49,C-7,True,43
43,2,43,C-7,True,48
43,3,42,C-7,True,50
43,4,50,C-7,False,
44,1,51,Dm7b5,False,
44,2,50,Dm7b5,False,
44,3,45,G7,True,50
44,4,51,G7,True,42
45,1,45,C-7,True,43
45,2,45,C-7,False,
45,3,50,C-7,True,45
45,4,41,C-7,True,47
46,1,48,Dm7b5,False,
46,2,49,Dm7b5,False,
46,3,42,G7,True,50
46,4,50,G7,False,
47,1,41,C-7,True,50
47,2,42,C-7,True,43
47,3,41,C-7,False,
47,4,47,C-7,True,41
48,1,41,F-7,True,48
48,2,47,F-7,True,51
48,3,41,Bb7,False,
48,4,40,Bb7,True,45
49,1,45,Ebj7,True,34
49,2,37,Ebj7,True,48
49,3,38,Ebj7,True,41
49,4,45,Ebj7,True,51
50,1,50,Gm7b5,True,50
50,2,49,Gm7b5,True,41
50,3,49,Gm7b5,True,44
50,4,39,Gm7b5,True,38
51,1,37,C7,True,43
51,2,38,C7,True,50
51,3,41,C7,False,
51,4,40,C7,True,50
52,1,50,C79b,True,43
52,2,50,C79b,False,
52,3,42,C79b,True,42
52,4,38,C79b,True,43
53,1,45,F-,True,47
53,2,41,F-,False,
53,3,44,F-,True,44
53,4,41,F-,True,50
54,1,52,C7,True,44
54,2,42,C7,True,52
54,3,41,Ab7911#,True,44
54,4,40,Ab7911#,True,48
55,1,50,G7,False,
55,2,51,G7,True,50
55,3,43,G7,True,47
55,4,42,G7,True,51
56,1,34,Dm7b5,False,
56,2,50,Dm7b5,False,
56,3,45,G7,True,45
56,4,42,G7,False,
57,1,37,C-7,True,43
57,2,45,C-7,True,45
57,3,45,C-7,False,
57,4,43,C-7,True,47
58,1,47,Dm7b5,True,47
58,2,51,Dm7b5,False,
58,3,45,G7,True,50
58,4,49,G7,True,50
59,1,43,C-7,False,
59,2,43,C-7,True,49
59,3,47,C-7,True,50
59,4,43,C-7,True,41
60,1,51,Dm7b5,False,
60,2,43,Dm7b5,True,43
60,3,40,G7,True,50
60,4,51,G7,True,42
61,1,40,C-7,True,43
61,2,45,C-7,False,
61,3,39,C-7,True,45
61,4,38,C-7,True,47
62,1,48,Dm7b5,False,
62,2,48,Dm7b5,False,
62,3,45,G7,True,50
62,4,39,G7,True,50
63,1,44,C-7,False,
63,2,46,C-7,True,43
63,3,40,C-7,True,41
63,4,39,C-7,True,41
64,1,41,Dm7b5,True,51
64,2,50,Dm7b5,True,44
64,3,50,G7,False,
64,4,42,G7,False,
65,1,43,C-7,False,
65,2,52,C-7,True,45
65,3,52,C-7,True,45
65,4,47,C-7,False,
66,1,51,Dm7b5,True,48
66,2,40,Dm7b5,True,51
66,3,41,G7,True,50
66,4,50,G7,False,
67,1,37,C-7,True,44
67,2,40,C-7,True,48
67,3,51,C-7,True,50
67,4,41,C-7,True,41
68,1,40,Dm7b5,True,51
68,2,43,Dm7b5,False,
68,3,50,G7,False,
68,4,49,G7,True,42
69,1,49,C-7,True,43
69,2,41,C-7,True,45
69,3,45,C-7,False,
69,4,48,C-7,True,47
70,1,51,Dm7b5,True,48
70,2,50,Dm7b5,True,49
70,3,51,G7,True,50
70,4,52,G7,True,50
71,1,37,C-7,True,44
71,2,39,C-7,True,43
71,3,39,C-7,True,41
71,4,39,C-7,True,41
72,1,51,Dm7b5,False,
72,2,48,Dm7b5,True,48
72,3,50,G7,False,
72,4,50,G7,True,42
73,1,44,C-7,True,43
73,2,51,C-7,True,45
73,3,45,C-7,False,
73,4,50,C-7,True,47
74,1,47,Dm7b5,True,48
74,2,48,Dm7b5,False,
74,3,38,G7,True,50
74,4,50,G7,False,
75,1,47,C-7,True,44
75,2,49,C-7,True,48
75,3,40,C-7,True,50
75,4,45,C-7,True,41
76,1,39,Dm7b5,True,51
76,2,52,Dm7b5,True,50
76,3,46,G7,True,50
76,4,42,G7,False,
77,1,52,C-7,True,43
77,2,40,C-7,True,44
77,3,45,C-7,False,
77,4,47,C-7,False,
78,1,41,Dm7b5,True,48
78,2,38,Dm7b5,True,49
78,3,45,G7,True,50
78,4,45,G7,True,50
79,1,44,C-7,False,
79,2,51,C-7,True,43
79,3,41,C-7,False,
79,4,41,C-7,False,
80,1,51,F-7,True,48
80,2,39,F-7,True,51
80,3,41,Bb7,False,
80,4,45,Bb7,False,
81,1,37,Ebj7,True,34
81,2,43,Ebj7,True,48
81,3,44,Ebj7,True,41
81,4,43,Ebj7,True,51
82,1,45,Gm7b5,True,50
82,2,50,Gm7b5,False,
82,3,51,Gm7b5,True,43
82,4,47,Gm7b5,True,41
83,1,39,C7,True,43
83,2,46,C7,True,50
83,3,40,C7,True,37
83,4,37,C7,True,42
84,1,52,C79b,True,43
84,2,47,C79b,False,
84,3,40,C79b,True,52
84,4,52,C79b,True,50
85,1,52,F-,True,48
85,2,43,F-,True,50
85,3,44,F-,False,
85,4,43,F-,True,51
86,1,48,C7,True,44
86,2,40,C7,True,52
86,3,43,Ab7911#,True,44
86,4,47,Ab7911#,True,49
87,1,49,G7,True,50
87,2,41,G7,True,50
87,3,51,G7,True,48
87,4,40,G7,True,51
88,1,45,Dm7b5,False,
88,2,50,Dm7b5,False,
88,3,39,G7,True,45
88,4,42,G7,False,
89,1,44,C-7,False,
89,2,46,C-7,True,45
89,3,41,C-7,True,45
89,4,44,C-7,True,47
90,1,48,Dm7b5,False,
90,2,51,Dm7b5,True,51
90,3,38,G7,True,50
90,4,49,G7,True,50
91,1,49,C-7,True,44
91,2,39,C-7,True,48
91,3,44,C-7,True,50
91,4,41,C-7,False,
92,1,40,Dm7b5,True,51
92,2,51,Dm7b5,True,43
92,3,50,G7,False,
92,4,45,G7,True,42
93,1,43,C-7,False,
93,2,40,C-7,True,44
93,3,50,C-7,True,45
93,4,47,C-7,False,
94,1,38,Dm7b5,True,48
94,2,42,Dm7b5,True,49
94,3,50,G7,False,
94,4,48,G7,True,50
