bar,beat,note,chord,replaced,original_value
1,1,43,F-7,False,
1,2,38,F-7,True,49
1,3,50,F-7,False,
1,4,50,F-7,False,
2,1,51,Bb-7,False,
2,2,42,Bb-7,True,50
2,3,45,Bb-7,True,50
2,4,46,Bb-7,True,43
3,1,44,Eb7,False,
3,2,42,Eb7,False,
3,3,38,Eb7,False,
3,4,45,Eb7,False,
4,1,46,Abj7,True,50
4,2,52,Abj7,False,
4,3,44,Abj7,True,51
4,4,51,Abj7,True,42
5,1,51,Dbj7,True,44
5,2,42,Dbj7,False,
5,3,47,Dbj7,True,43
5,4,43,Dbj7,False,
6,1,41,G7,True,50
6,2,48,G7,True,50
6,3,48,G7,True,50
6,4,41,G7,True,50
7,1,48,Cj7,True,43
7,2,43,Cj7,True,47
7,3,51,Cj7,True,50
7,4,50,Cj7,True,50
8,1,42,Cj7,True,50
8,2,46,Cj7,True,44
8,3,41,Cj7,True,44
8,4,46,Cj7,True,42
9,1,52,C-7,True,47
9,2,45,C-7,True,42
9,3,52,C-7,True,42
9,4,40,C-7,True,47
10,1,47,F-7,True,47
10,2,52,F-7,True,47
10,3,38,F-7,True,42
10,4,42,F-7,False,
11,1,50,Bb7,False,
11,2,51,Bb7,True,38
11,3,47,Bb7,False,
11,4,34,Bb7,False,
12,1,39,Ebj7,True,51
12,2,42,Ebj7,False,
12,3,46,Ebj7,True,43
12,4,38,Ebj7,True,47
13,1,45,Abj7,True,47
13,2,50,Abj7,False,
13,3,47,Abj7,False,
13,4,49,Abj7,True,45
14,1,45,D7,True,50
14,2,49,D7,True,40
14,3,41,D7,True,45
14,4,42,D7,True,50
15,1,39,Gj7,True,50
15,2,47,Gj7,True,50
15,3,47,Gj7,True,42
15,4,52,Gj7,True,42
16,1,42,Gj7,True,44
16,2,41,Gj7,True,38
16,3,42,Gj7,True,38
16,4,39,Gj7,True,42
17,1,48,A-7,True,47
17,2,48,A-7,True,49
17,3,52,A-7,True,51
17,4,46,A-7,True,51
18,1,48,D7,True,44
18,2,40,D7,True,43
18,3,50,D7,True,44
18,4,50,D7,False,
19,1,50,Gj7,False,
19,2,52,Gj7,True,49
19,3,47,Gj7,False,
19,4,52,Gj7,True,45
20,1,51,Gj7,True,42
20,2,39,Gj7,True,40
20,3,47,Gj7,True,50
20,4,42,Gj7,True,47
21,1,47,F#-7,False,
21,2,43,F#-7,False,
21,3,48,F#-7,True,44
21,4,46,F#-7,True,43
22,1,44,B7,True,42
22,2,49,B7,False,
22,3,50,B7,False,
22,4,52,B7,True,50
23,1,46,Ej7,True,51
23,2,47,Ej7,True,49
23,3,47,Ej7,False,
23,4,48,Ej7,True,43
24,1,39,C+7,True,43
24,2,46,C+7,True,47
24,3,43,C+7,True,50
24,4,52,C+7,True,47
25,1,46,F-7,True,47
25,2,44,F-7,True,47
25,3,48,F-7,True,50
25,4,43,F-7,True,43
26,1,42,Bb-7,True,50
26,2,44,Bb-7,False,
26,3,39,Bb-7,True,44
26,4,47,Bb-7,False,
27,1,42,Eb7,True,50
27,2,50,Eb7,True,50
27,3,43,Eb7,True,47
27,4,52,Eb7,True,47
28,1,47,Abj7,False,
28,2,44,Abj7,True,47
28,3,39,Abj7,True,47
28,4,43,Abj7,True,47
29,1,38,Dbj7,True,47
29,2,42,Dbj7,False,
29,3,43,Dbj7,False,
29,4,46,Dbj7,True,43
30,1,40,Db-7,True,43
30,2,45,Db-7,True,47
30,3,49,Db-7,False,
30,4,43,Db-7,False,
31,1,51,C-7,True,43
31,2,49,C-7,True,50
31,3,38,C-7,True,50
31,4,38,C-7,True,42
32,1,39,Bo7,True,42
32,2,49,Bo7,False,
32,3,51,Bo7,True,45
32,4,43,Bo7,True,42
33,1,47,Bb-7,False,
33,2,47,Bb-7,True,43
33,3,49,Bb-7,True,43
33,4,47,Bb-7,False,
34,1,47,Eb7,False,
34,2,45,Eb7,False,
34,3,45,Eb7,True,45
34,4,43,Eb7,True,50
35,1,39,Abj7,True,50
35,2,47,Abj7,True,50
35,3,47,Abj7,False,
35,4,42,Abj7,True,47
36,1,43,G7,True,50
36,2,43,G7,True,47
36,3,43,C7,False,
36,4,52,C7,True,50
37,1,49,F-7,True,47
37,2,47,F-7,False,
37,3,41,F-7,True,48
37,4,51,F-7,True,48
38,1,38,Bb-7,True,48
38,2,38,Bb-7,True,48
38,3,45,Bb-7,True,50
38,4,48,Bb-7,False,
39,1,52,Eb7,True,48
39,2,52,Eb7,True,48
39,3,49,Eb7,True,50
39,4,42,Eb7,False,
40,1,48,Abj7,True,51
40,2,49,Abj7,True,50
40,3,51,Abj7,False,
40,4,38,Abj7,True,50
41,1,47,Dbj7,False,
41,2,43,Dbj7,True,45
41,3,39,Dbj7,True,43
41,4,45,Dbj7,True,44
42,1,44,G7,False,
42,2,52,G7,True,51
42,3,50,G7,False,
42,4,42,G7,False,
43,1,40,Cj7,True,42
43,2,42,Cj7,True,50
43,3,45,Cj7,True,47
43,4,50,Cj7,True,43
44,1,51,Cj7,True,50
44,2,40,Cj7,True,47
44,3,42,Cj7,False,
44,4,50,Cj7,False,
45,1,50,C-7,True,47
45,2,46,C-7,True,43
45,3,50,C-7,False,
45,4,48,C-7,True,50
46,1,42,F-7,True,42
46,2,51,F-7,True,42
46,3,39,F-7,True,48
46,4,43,F-7,True,47
47,1,42,Bb7,True,42
47,2,46,Bb7,True,34
47,3,49,Bb7,True,47
47,4,50,Bb7,False,
48,1,47,Ebj7,False,
48,2,46,Ebj7,True,47
48,3,52,Ebj7,True,42
48,4,49,Ebj7,True,34
49,1,42,Abj7,True,51
49,2,39,Abj7,True,50
49,3,48,Abj7,True,48
49,4,45,Abj7,False,
50,1,51,D7,True,50
50,2,43,D7,True,40
50,3,44,D7,False,
50,4,46,D7,True,50
51,1,46,Gj7,True,50
51,2,43,Gj7,False,
51,3,51,Gj7,True,51
51,4,43,Gj7,False,
52,1,42,Gj7,True,47
52,2,43,Gj7,True,47
52,3,40,Gj7,True,47
52,4,40,Gj7,True,47
53,1,47,A-7,False,
53,2,46,A-7,True,47
53,3,38,A-7,True,43
53,4,51,A-7,True,44
54,1,42,D7,False,
54,2,52,D7,True,38
54,3,41,D7,True,44
54,4,40,D7,True,42
55,1,42,Gj7,True,42
55,2,44,Gj7,True,43
55,3,52,Gj7,True,43
55,4,47,Gj7,False,
56,1,49,Gj7,True,44
56,2,44,Gj7,False,
56,3,43,Gj7,True,51
56,4,42,Gj7,True,50
57,1,42,F#-7,True,49
57,2,39,F#-7,True,47
57,3,41,F#-7,True,47
57,4,42,F#-7,True,47
58,1,42,B7,True,47
58,2,38,B7,True,47
58,3,41,B7,True,51
58,4,39,B7,True,50
59,1,51,Ej7,False,
59,2,49,Ej7,True,47
59,3,47,Ej7,False,
59,4,42,Ej7,True,47
60,1,44,C+7,True,47
60,2,43,C+7,True,47
60,3,47,C+7,True,50
60,4,47,C+7,False,
61,1,38,F-7,True,47
61,2,50,F-7,False,
61,3,45,F-7,True,50
61,4,47,F-7,False,
62,1,50,Bb-7,False,
62,2,41,Bb-7,True,50
62,3,50,Bb-7,True,50
62,4,48,Bb-7,True,47
63,1,52,Eb7,True,47
63,2,49,Eb7,True,45
63,3,47,Eb7,True,45
63,4,41,Eb7,True,47
64,1,46,Abj7,True,50
64,2,38,Abj7,True,42
64,3,51,Abj7,False,
64,4,49,Abj7,True,45
65,1,39,Dbj7,True,51
65,2,50,Dbj7,True,47
65,3,47,Dbj7,False,
65,4,41,Dbj7,True,43
66,1,50,Db-7,True,43
66,2,43,Db-7,True,47
66,3,47,Db-7,False,
66,4,51,Db-7,True,44
67,1,48,C-7,True,47
67,2,47,C-7,True,50
67,3,41,C-7,True,50
67,4,43,C-7,True,43
68,1,51,Bo7,True,42
68,2,49,Bo7,False,
68,3,50,Bo7,True,45
68,4,39,Bo7,True,42
69,1,45,Bb-7,True,47
69,2,42,Bb-7,True,47
69,3,46,Bb-7,True,44
69,4,40,Bb-7,True,44
70,1,42,Eb7,True,45
70,2,49,Eb7,True,47
70,3,51,Eb7,True,47
70,4,44,Eb7,True,50
71,1,49,Abj7,True,51
71,2,40,Abj7,True,47
71,3,39,Abj7,True,47
71,4,46,Abj7,True,47
72,1,39,G7,True,50
72,2,50,G7,True,50
72,3,40,C7,True,47
72,4,47,C7,True,50
73,1,48,F-7,True,47
73,2,47,F-7,True,47
73,3,39,F-7,True,48
73,4,45,F-7,True,47
74,1,48,Bb-7,False,
74,2,44,Bb-7,True,48
74,3,38,Bb-7,True,48
74,4,49,Bb-7,True,34
75,1,47,Eb7,True,48
75,2,44,Eb7,True,42
75,3,51,Eb7,True,47
75,4,45,Eb7,True,47
76,1,39,Abj7,True,45
76,2,45,Abj7,True,50
76,3,44,Abj7,True,50
76,4,39,Abj7,True,47
77,1,47,Dbj7,False,
77,2,38,Dbj7,True,47
77,3,46,Dbj7,True,47
77,4,48,Dbj7,True,48
78,1,39,G7,True,45
78,2,50,G7,False,
78,3,41,G7,True,50
78,4,42,G7,True,42
79,1,45,Cj7,True,42
79,2,45,Cj7,True,50
79,3,50,Cj7,False,
79,4,40,Cj7,True,42
80,1,48,Cj7,True,42
80,2,48,Cj7,True,47
80,3,47,Cj7,False,
80,4,50,Cj7,False,
81,1,44,C-7,True,47
81,2,47,C-7,False,
81,3,48,C-7,True,43
81,4,51,C-7,True,42
82,1,41,F-7,True,50
82,2,52,F-7,True,47
82,3,43,F-7,True,47
82,4,51,F-7,True,51
83,1,42,Bb7,False,
83,2,52,Bb7,True,50
83,3,50,Bb7,True,50
83,4,52,Bb7,True,50
84,1,47,Ebj7,False,
84,2,48,Ebj7,True,47
84,3,41,Ebj7,True,47
84,4,40,Ebj7,True,47
85,1,51,Abj7,False,
85,2,44,Abj7,True,50
85,3,46,Abj7,True,47
85,4,45,Abj7,True,47
86,1,40,D7,True,47
86,2,47,D7,True,45
86,3,40,D7,True,45
86,4,49,D7,False,
87,1,44,Gj7,True,49
87,2,45,Gj7,True,42
87,3,50,Gj7,True,47
87,4,47,Gj7,False,
