bar,beat,note,chord,replaced,original_value
1,1,43,Gj7,True,45
1,2,43,Gj7,True,42
1,3,47,Gj7,True,42
1,4,47,Gj7,True,42
2,1,47,Gj7,True,42
2,2,40,Gj7,False,
2,3,46,Gj7,True,42
2,4,48,Gj7,True,45
3,1,42,G-7,True,50
3,2,48,G-7,True,41
3,3,47,G-7,True,41
3,4,48,G-7,True,50
4,1,43,C7,False,
4,2,42,C7,False,
4,3,41,C7,False,
4,4,47,C7,True,42
5,1,42,Fj7,False,
5,2,44,Fj7,True,41
5,3,43,Fj7,True,41
5,4,42,Fj7,False,
6,1,44,Fj7,True,42
6,2,48,Fj7,True,45
6,3,48,Fj7,True,42
6,4,42,Fj7,True,47
7,1,45,F-7,True,48
7,2,48,F-7,True,50
7,3,42,F-7,False,
7,4,42,F-7,False,
8,1,45,Bb7,True,42
8,2,42,Bb7,False,
8,3,41,Bb7,False,
8,4,41,Bb7,False,
9,1,42,Ebj7,True,42
9,2,41,Ebj7,False,
9,3,47,Ebj7,True,50
9,4,41,Ebj7,False,
10,1,46,Am7b5,True,41
10,2,44,Am7b5,True,40
10,3,45,D7,False,
10,4,42,D7,False,
11,1,45,G-7,True,42
11,2,45,G-7,True,45
11,3,41,G-7,True,42
11,4,42,G-7,True,42
12,1,42,G-7,True,42
12,2,47,G-7,True,50
12,3,48,G-7,False,
12,4,42,G-7,False,
13,1,40,G79,True,45
13,2,43,G79,False,
13,3,48,G79,True,42
13,4,43,G79,True,42
14,1,45,Cj7,True,47
14,2,43,Cj7,True,42
14,3,47,Cj7,True,42
14,4,40,Cj7,True,47
15,1,45,B-7,True,42
15,2,42,B-7,True,43
15,3,44,Bb7,True,47
15,4,40,Bb7,True,43
16,1,48,A-7,False,
16,2,47,A-7,True,40
16,3,40,D7,True,45
16,4,43,D7,True,51
17,1,42,Gj7,False,
17,2,48,Gj7,True,42
17,3,43,Gj7,False,
