bar,beat,note,chord,replaced,original_value
1,1,43,Bbj7,True,37
1,2,37,Bbj7,False,
1,3,49,G7,False,
1,4,50,G7,True,42
2,1,51,C-7,True,43
2,2,38,C-7,True,42
2,3,45,F7,True,49
2,4,39,F7,True,48
3,1,48,Bbj7,False,
3,2,49,Bbj7,True,49
3,3,45,G7,False,
3,4,43,G7,True,42
4,1,49,C-7,True,50
4,2,52,C-7,True,50
4,3,48,F7,True,48
4,4,38,F7,True,37
5,1,39,F-7,True,51
5,2,48,F-7,True,48
5,3,47,Bb7,True,50
5,4,43,Bb7,True,51
6,1,43,Ebj7,True,50
6,2,50,Ebj7,True,45
6,3,47,Eb-6,False,
6,4,47,Eb-6,False,
7,1,40,Bbj7,True,48
7,2,47,Bbj7,False,
7,3,38,G7,True,47
7,4,45,G7,False,
8,1,41,C-7,True,43
8,2,50,C-7,False,
8,3,38,F7,True,48
8,4,44,F7,True,47
9,1,47,Bbj7,True,45
9,2,41,Bbj7,True,43
9,3,44,G7,True,42
9,4,39,G7,True,45
10,1,47,C-7,True,43
10,2,50,C-7,False,
10,3,38,F7,True,48
10,4,44,F7,True,37
11,1,39,Bbj7,True,50
11,2,38,Bbj7,True,44
11,3,48,G7,True,50
11,4,37,G7,True,50
12,1,40,C-7,True,37
12,2,40,C-7,True,49
12,3,44,F7,True,43
12,4,43,F7,True,37
13,1,52,Bbj7,True,48
13,2,40,Bbj7,True,41
13,3,50,Bb7,True,37
13,4,51,Bb7,True,50
14,1,44,Ebj7,True,49
14,2,41,Ebj7,True,37
14,3,47,Eb-6,True,37
14,4,37,Eb-6,True,37
15,1,40,Bbj7,True,37
15,2,42,Bbj7,True,50
15,3,52,F7,True,37
15,4,37,F7,False,
16,1,38,Bj7,False,
16,2,50,Bj7,False,
16,3,39,Bj7,True,37
16,4,47,Bj7,True,37
17,1,48,D7,True,50
17,2,51,D7,True,37
17,3,49,D7,False,
17,4,50,D7,False,
18,1,50,D7,False,
18,2,43,D7,False,
18,3,48,D7,True,44
18,4,39,D7,True,44
19,1,47,G7,True,50
19,2,52,G7,True,50
19,3,50,G7,True,38
19,4,37,G7,False,
20,1,40,G7,True,50
20,2,43,G7,True,50
20,3,47,G7,False,
20,4,43,G7,False,
21,1,39,C7,True,37
21,2,45,C7,True,49
21,3,39,C7,True,47
21,4,43,C7,True,47
22,1,43,C7,True,43
22,2,38,C7,True,42
22,3,44,C7,True,42
22,4,37,C7,True,45
23,1,40,F7,True,43
23,2,43,F7,True,45
23,3,47,F7,False,
23,4,49,F7,True,47
24,1,52,F7,True,48
24,2,48,F7,False,
24,3,45,F7,False,
24,4,50,F7,True,43
25,1,50,Bbj7,False,
25,2,37,Bbj7,True,37
25,3,47,G7,True,45
25,4,42,G7,False,
26,1,46,C-7,True,43
26,2,48,C-7,True,50
26,3,48,F7,False,
26,4,44,F7,True,47
27,1,45,Bbj7,False,
27,2,38,Bbj7,True,49
27,3,50,G7,False,
27,4,41,G7,True,49
28,1,50,C-7,False,
28,2,41,C-7,True,37
28,3,48,F7,False,
28,4,49,F7,True,49
29,1,44,Bbj7,False,
29,2,47,Bbj7,True,44
29,3,45,Bb7,True,50
29,4,41,Bb7,True,37
30,1,37,Ebj7,False,
30,2,44,Ebj7,True,37
30,3,39,Eb-6,True,37
30,4,48,Eb-6,True,37
31,1,51,Bbj7,True,50
31,2,46,Bbj7,True,37
31,3,49,F7,False,
31,4,44,F7,True,50
32,1,51,Bbj7,True,50
32,2,49,Bbj7,True,37
32,3,38,Bbj7,True,37
32,4,45,Bbj7,True,37
33,1,39,Bbj7,True,48
33,2,51,Bbj7,True,37
33,3,40,G7,True,37
33,4,37,G7,False,
34,1,48,C-7,True,37
34,2,48,C-7,True,50
34,3,50,F7,False,
34,4,51,F7,True,37
35,1,37,Bbj7,False,
35,2,50,Bbj7,True,37
35,3,38,G7,True,43
35,4,45,G7,True,50
36,1,47,C-7,True,49
36,2,37,C-7,False,
36,3,39,F7,True,37
36,4,43,F7,True,37
37,1,38,Bbj7,True,50
37,2,46,Bbj7,True,37
37,3,43,Bb7,True,37
37,4,38,Bb7,False,
38,1,48,Ebj7,True,37
38,2,45,Ebj7,True,37
38,3,47,Eb-6,True,50
38,4,46,Eb-6,True,37
39,1,37,Bbj7,False,
39,2,38,Bbj7,True,50
39,3,46,G7,True,50
39,4,37,G7,True,50
40,1,43,C-7,True,37
40,2,49,C-7,True,49
40,3,41,F7,True,48
40,4,48,F7,False,
41,1,37,Bbj7,True,37
41,2,41,Bbj7,True,44
41,3,49,G7,True,50
41,4,47,G7,True,48
42,1,52,C-7,True,47
42,2,47,C-7,False,
42,3,48,F7,False,
42,4,44,F7,True,37
43,1,44,Bbj7,False,
43,2,42,Bbj7,True,43
43,3,43,G7,True,42
43,4,45,G7,True,45
44,1,38,C-7,True,43
44,2,50,C-7,True,50
44,3,48,F7,True,48
44,4,49,F7,True,49
45,1,50,Bbj7,True,49
45,2,46,Bbj7,True,48
45,3,42,Bb7,True,50
45,4,45,Bb7,True,51
46,1,50,Ebj7,False,
46,2,49,Ebj7,True,45
46,3,47,Eb-6,True,47
46,4,41,Eb-6,True,47
47,1,48,Bbj7,False,
47,2,50,Bbj7,True,48
47,3,45,F7,True,45
47,4,44,F7,True,43
48,1,43,Bbj7,True,49
48,2,37,Bbj7,True,48
48,3,46,Bbj7,True,48
48,4,42,Bbj7,True,51
49,1,41,D7,True,50
49,2,50,D7,False,
49,3,47,D7,True,50
49,4,47,D7,True,37
50,1,44,D7,True,37
50,2,52,D7,True,45
50,3,39,D7,True,49
50,4,37,D7,True,50
51,1,52,G7,True,50
51,2,38,G7,True,50
51,3,42,G7,False,
51,4,44,G7,True,37
52,1,46,G7,True,50
52,2,37,G7,False,
52,3,49,G7,True,42
52,4,45,G7,True,44
53,1,45,C7,True,43
53,2,48,C7,True,43
53,3,45,C7,True,42
53,4,50,C7,True,40
54,1,48,C7,True,50
54,2,41,C7,True,52
54,3,49,C7,True,50
54,4,41,C7,True,43
55,1,46,F7,True,43
55,2,44,F7,False,
55,3,45,F7,True,42
55,4,42,F7,True,47
56,1,40,F7,True,47
56,2,44,F7,True,50
56,3,51,F7,False,
56,4,39,F7,True,49
57,1,38,Bbj7,True,45
57,2,45,Bbj7,False,
57,3,52,G7,True,49
57,4,49,G7,True,48
58,1,52,C-7,True,47
58,2,47,C-7,True,49
58,3,46,F7,True,48
58,4,45,F7,True,34
59,1,46,Bbj7,True,45
59,2,43,Bbj7,False,
59,3,45,G7,True,42
59,4,52,G7,True,50
60,1,52,C-7,True,34
60,2,40,C-7,True,50
60,3,39,F7,True,48
60,4,52,F7,True,37
61,1,51,Bbj7,True,51
61,2,40,Bbj7,True,48
61,3,48,Bb7,True,48
61,4,43,Bb7,True,47
62,1,37,Ebj7,True,47
62,2,47,Ebj7,False,
62,3,52,Eb-6,True,48
62,4,42,Eb-6,True,48
63,1,42,Bbj7,False,
63,2,45,Bbj7,True,44
63,3,51,F7,False,
63,4,49,F7,True,37
64,1,44,Bbj7,True,48
64,2,41,Bbj7,True,50
64,3,51,Bbj7,False,
64,4,52,Bbj7,True,49
65,1,49,Bbj7,True,50
65,2,49,Bbj7,True,44
65,3,44,G7,True,37
65,4,46,G7,True,49
66,1,45,C-7,True,50
66,2,39,C-7,True,49
66,3,43,F7,True,49
66,4,49,F7,False,
67,1,49,Bb6,False,
67,2,39,Bb6,True,44
