bar,beat,note,chord,replaced,original_value
1,1,47,Bb7,True,47
1,2,41,Bb7,False,
1,3,45,Bb7,True,45
1,4,50,Bb7,False,
2,1,46,Eb7,True,51
2,2,40,Eb7,True,48
2,3,44,Eb7,False,
2,4,52,Eb7,True,50
3,1,41,Bb7,True,51
3,2,41,Bb7,True,48
3,3,39,Bb7,True,45
3,4,42,Bb7,True,48
4,1,41,Bb7,False,
4,2,50,Bb7,True,45
4,3,44,Bb7,True,44
4,4,41,Bb7,True,44
5,1,41,Eb7,True,37
5,2,37,Eb7,False,
5,3,46,Eb7,True,41
5,4,48,Eb7,True,44
6,1,50,Eb7,True,37
6,2,41,Eb7,False,
6,3,42,Eb7,True,45
6,4,40,Eb7,False,
7,1,51,Bb7,True,41
7,2,51,Bb7,False,
7,3,48,Bb7,False,
7,4,43,Bb7,True,45
8,1,44,D-7,True,44
8,2,37,D-7,True,43
8,3,38,G7,True,42
8,4,51,G7,False,
9,1,48,C-7,False,
9,2,47,C-7,True,37
9,3,46,C-7,True,48
9,4,37,C-7,True,43
10,1,50,F7,True,34
10,2,47,F7,True,48
10,3,47,F7,True,43
10,4,42,F7,False,
11,1,50,Bb7,True,40
11,2,39,Bb7,True,45
11,3,45,Bb7,False,
11,4,48,Bb7,False,
12,1,37,F7,True,40
12,2,45,F7,True,51
12,3,42,F7,True,48
12,4,46,F7,True,33
13,1,41,Bb7,False,
13,2,50,Bb7,True,51
13,3,51,Bb7,False,
13,4,44,Bb7,True,45
14,1,39,Eb7,True,45
14,2,42,Eb7,True,48
14,3,45,Eb7,True,50
14,4,43,Eb7,True,42
15,1,38,Bb7,False,
15,2,37,Bb7,True,51
15,3,45,Bb7,True,48
15,4,40,Bb7,True,47
16,1,37,Bb7,True,44
16,2,42,Bb7,False,
16,3,52,Bb7,True,41
16,4,46,Bb7,True,44
17,1,39,Eb7,True,45
17,2,49,Eb7,True,48
17,3,45,Eb7,True,50
17,4,52,Eb7,True,44
18,1,45,Eb7,False,
18,2,39,Eb7,True,48
18,3,47,Eb7,True,50
18,4,44,Eb7,False,
19,1,48,Bb7,False,
19,2,39,Bb7,True,50
19,3,40,Bb7,True,40
19,4,52,Bb7,True,41
20,1,45,D-7,True,44
20,2,37,D-7,True,50
20,3,45,G7,True,43
20,4,37,G7,True,52
21,1,40,C-7,True,48
21,2,44,C-7,True,52
21,3,43,C-7,False,
21,4,37,C-7,True,45
22,1,42,F7,True,45
22,2,44,F7,True,50
22,3,43,F7,False,
22,4,47,F7,True,42
23,1,37,Bb7,True,38
23,2,52,Bb7,True,33
23,3,39,Bb7,True,45
23,4,52,Bb7,True,47
24,1,44,F7,True,47
24,2,51,F7,True,50
24,3,43,F7,False,
24,4,42,F7,False,
25,1,51,Bb7,True,41
25,2,41,Bb7,False,
25,3,49,Bb7,True,48
25,4,50,Bb7,False,
26,1,51,Eb7,True,51
26,2,37,Eb7,True,48
26,3,42,Eb7,False,
26,4,41,Eb7,True,40
