bar,beat,note,chord,replaced,original_value
1,1,45,D-6,False,
1,2,48,D-6,True,48
1,3,34,D-6,True,50
1,4,42,D-6,False,
2,1,34,Em7b5,True,38
2,2,41,Em7b5,False,
2,3,48,A79b,True,45
2,4,47,A79b,False,
3,1,34,D-6,True,48
3,2,50,D-6,True,52
3,3,42,D-6,False,
3,4,42,D-6,False,
4,1,42,Em7b5,True,37
4,2,38,Em7b5,False,
4,3,52,A79b,True,37
4,4,50,A79b,True,37
5,1,39,D-6,True,37
5,2,51,D-6,True,37
5,3,47,D-6,True,42
5,4,43,D-6,False,
6,1,43,Am7b5,True,41
6,2,37,Am7b5,False,
6,3,51,D79b,True,50
6,4,49,D79b,False,
7,1,44,G-7,True,50
7,2,44,G-7,True,41
7,3,45,G-7,True,40
7,4,34,G-7,True,49
8,1,50,G-7,False,
8,2,34,G-7,True,40
8,3,35,G-7,True,41
8,4,37,G-7,True,45
9,1,52,B-7,True,51
9,2,42,B-7,False,
9,3,41,E7,True,45
9,4,40,E7,True,48
10,1,42,G-7,True,50
10,2,35,G-7,True,37
10,3,41,C7,False,
10,4,42,C7,False,
11,1,43,Fj7,False,
11,2,47,Fj7,False,
11,3,52,Fj7,True,48
11,4,46,Fj7,True,37
12,1,49,Em7b5,True,50
12,2,52,Em7b5,True,48
12,3,39,A7,True,47
12,4,44,A7,True,47
13,1,48,Dj7,True,45
13,2,40,Dj7,True,37
13,3,52,Dj7,True,49
13,4,38,Dj7,True,50
14,1,45,Em7b5,True,37
14,2,51,Em7b5,True,42
14,3,38,A7,True,50
14,4,35,A7,True,49
15,1,34,D-6,True,47
15,2,35,D-6,True,50
15,3,38,D-6,True,52
15,4,51,D-6,True,48
16,1,47,Em7b5,False,
16,2,41,Em7b5,False,
16,3,40,A79b,False,
16,4,45,A79b,True,50
17,1,49,D-6,True,48
17,2,36,D-6,True,40
17,3,36,D-6,True,45
17,4,48,D-6,False,
18,1,51,Em7b5,True,47
18,2,50,Em7b5,True,50
18,3,42,A79b,True,42
18,4,50,A79b,True,41
19,1,52,D-6,False,
19,2,42,D-6,True,50
19,3,50,D-6,True,48
19,4,48,D-6,True,45
20,1,50,Am7b5,True,43
20,2,46,Am7b5,True,34
20,3,52,D79b,True,49
20,4,45,D79b,False,
21,1,36,G-7,True,50
21,2,34,G-7,True,40
21,3,52,G-7,True,41
21,4,38,G-7,True,45
22,1,41,G-7,True,50
22,2,41,G-7,True,37
22,3,41,G-7,False,
22,4,41,G-7,False,
23,1,44,B-7,True,51
23,2,47,B-7,True,48
23,3,45,E7,False,
23,4,41,E7,True,42
24,1,42,G-7,True,45
24,2,37,G-7,True,41
24,3,45,C7,True,50
24,4,45,C7,True,47
25,1,36,Fj7,True,48
25,2,45,Fj7,True,40
25,3,37,Fj7,True,48
25,4,37,Fj7,True,52
26,1,48,Em7b5,True,41
26,2,41,Em7b5,False,
26,3,44,A7,True,42
26,4,46,A7,True,41
27,1,52,Dj7,False,
27,2,36,Dj7,True,50
27,3,49,Dj7,False,
27,4,48,Dj7,True,50
28,1,40,Dj7,True,50
28,2,50,Dj7,False,
28,3,35,Dj7,True,49
28,4,39,Dj7,True,45
29,1,52,Am7b5,True,47
29,2,42,Am7b5,True,47
29,3,44,Am7b5,True,45
29,4,42,Am7b5,True,44
30,1,46,D79b,True,45
30,2,39,D79b,True,47
30,3,37,D79b,True,48
30,4,49,D79b,False,
31,1,50,G-6,False,
31,2,45,G-6,True,52
31,3,49,G-6,True,41
31,4,45,G-6,True,43
32,1,42,G-6,False,
32,2,49,G-6,True,37
32,3,36,G-6,True,45
32,4,47,G-6,True,50
33,1,51,Gm7b5,False,
33,2,44,Gm7b5,False,
33,3,47,Gm7b5,False,
33,4,50,Gm7b5,False,
34,1,41,C79b,True,37
34,2,41,C79b,False,
34,3,50,C79b,True,42
34,4,46,C79b,True,43
35,1,36,Fj7,True,48
35,2,34,Fj7,True,50
35,3,41,Fj7,True,52
35,4,48,Fj7,False,
36,1,47,Em7b5,False,
36,2,35,Em7b5,True,41
36,3,48,A79b,True,40
36,4,52,A79b,True,44
37,1,45,D-6,False,
37,2,34,D-6,True,48
37,3,50,D-6,False,
37,4,49,D-6,False,
38,1,48,Em7b5,False,
38,2,36,Em7b5,True,47
38,3,50,A79b,True,50
38,4,48,A79b,False,
39,1,37,D-6,True,50
39,2,42,D-6,True,40
39,3,50,D-6,False,
39,4,38,D-6,True,48
40,1,47,Em7b5,False,
40,2,51,Em7b5,True,51
40,3,44,A79b,True,40
40,4,51,A79b,True,44
41,1,44,D-6,True,45
41,2,39,D-6,True,47
41,3,34,D-6,True,48
41,4,49,D-6,True,52
42,1,42,Bb7,False,
42,2,42,Bb7,True,42
42,3,39,A7,True,37
42,4,39,A7,True,40
43,1,45,D-6,False,
43,2,45,D-6,False,
43,3,43,D-6,True,42
43,4,52,D-6,True,41
44,1,38,Em7b5,True,37
44,2,35,Em7b5,True,50
44,3,47,A7,True,48
44,4,34,A7,True,47
45,1,45,D-6,False,
45,2,39,D-6,True,43
45,3,41,D-6,True,40
45,4,40,D-6,True,43
46,1,51,Em7b5,True,47
