bar,beat,note,chord,replaced,original_value
1,1,37,G-7,False,
1,2,50,C7,False,
1,3,42,F#-7,True,49
1,4,51,B7,True,42
2,1,42,F-7,True,43
2,2,48,Bb7,True,49
2,3,47,E-7,False,
2,4,50,A7,False,
3,1,51,Eb-7,True,47
3,2,47,Eb-7,False,
3,3,48,Ab7,True,51
3,4,44,Ab7,True,51
4,1,40,B7,True,48
4,2,44,B7,True,42
4,3,50,Bb7,True,41
4,4,50,Bb7,False,
5,1,46,Eb7,True,42
5,2,48,Eb7,True,37
5,3,42,D7,True,45
5,4,45,D7,False,
6,1,44,Dbj7,False,
6,2,44,Dbj7,False,
6,3,49,Eb7,True,48
6,4,38,Eb7,True,44
7,1,47,Eb-7,False,
7,2,44,Eb-7,True,47
7,3,51,Ab7,False,
7,4,38,Ab7,True,43
8,1,40,F-7,True,42
8,2,37,E7,False,
8,3,42,Eb-7,True,40
8,4,51,D7,False,
9,1,50,G-7,False,
9,2,37,C7,True,43
9,3,45,F#-7,True,37
9,4,42,B7,False,
10,1,48,F-7,True,48
10,2,48,Bb7,True,41
10,3,49,E-7,True,47
10,4,48,A7,True,40
11,1,44,Eb-7,True,47
11,2,42,Eb-7,True,41
11,3,44,Ab7,True,51
11,4,41,Ab7,True,51
12,1,48,B7,False,
12,2,50,B7,True,48
12,3,37,Bb7,True,41
12,4,41,Bb7,False,
13,1,42,Eb7,True,47
13,2,44,Eb7,True,47
13,3,41,D7,True,45
13,4,45,D7,True,45
14,1,44,Dbj7,False,
14,2,42,Dbj7,True,43
14,3,49,Eb7,True,37
14,4,42,Eb7,False,
15,1,47,Eb-7,False,
15,2,44,Eb-7,True,40
15,3,49,Ab7,True,51
15,4,44,Ab7,True,43
16,1,44,Db,False,
16,2,50,Db,False,
16,3,41,Db,False,
16,4,50,Db,False,
17,1,41,Eb-7,True,34
17,2,47,Eb-7,True,47
17,3,49,Ab,True,51
17,4,41,Ab,True,43
18,1,51,Dbj7,True,44
18,2,42,Dbj7,True,48
18,3,46,Dbj7,True,37
18,4,39,E-7,True,41
19,1,39,Eb-7,True,34
19,2,47,Eb-7,True,47
19,3,37,Ab7,True,45
19,4,45,Ab7,True,45
20,1,43,Dbj7,True,44
20,2,40,Dbj7,True,48
20,3,50,Dbj7,False,
20,4,50,Dbj7,True,51
21,1,44,Bb-7,False,
21,2,46,Bb-7,True,48
21,3,47,Eb7,True,50
21,4,44,Eb7,False,
22,1,37,Eb7,True,37
22,2,37,Eb7,False,
22,3,40,Bb-7,True,50
22,4,42,Bb-7,True,34
23,1,45,Eb-7,True,37
23,2,41,Eb-7,True,37
23,3,48,Ab7,True,51
23,4,51,Ab7,False,
24,1,50,Db-7,False,
24,2,45,Db-7,True,43
24,3,45,Gb7,True,50
24,4,43,Gb7,True,50
25,1,49,G-7,True,50
25,2,48,C7,True,50
25,3,49,F#-7,False,
25,4,50,B7,False,
26,1,43,F-7,True,48
26,2,50,Bb7,True,41
26,3,37,E-7,True,47
26,4,50,A7,True,40
27,1,47,Eb-7,False,
27,2,50,Eb-7,False,
27,3,45,Ab7,True,51
27,4,47,Ab7,True,49
28,1,39,B7,True,48
28,2,43,B7,True,48
28,3,51,Bb7,True,41
28,4,41,Bb7,True,45
29,1,41,Eb7,True,47
29,2,46,Eb7,True,47
29,3,50,D7,True,45
29,4,45,D7,False,
30,1,43,Dbj7,True,44
30,2,49,Dbj7,True,43
30,3,41,Eb7,True,41
30,4,42,Eb7,False,
31,1,47,Eb-7,False,
31,2,47,Eb-7,False,
31,3,45,Ab7,True,34
31,4,47,Ab7,True,42
32,1,37,Db,True,42
32,2,37,Db,False,
32,3,42,Db,True,37
32,4,38,Db,False,
