bar,beat,note,chord,replaced,original_value
1,1,40,NC,True,44
1,2,35,NC,True,51
1,3,47,NC,True,50
1,4,49,NC,True,50
2,1,39,NC,True,50
2,2,50,NC,False,
2,3,46,NC,True,50
2,4,51,NC,True,40
3,1,38,NC,True,47
3,2,49,NC,True,50
3,3,43,NC,True,50
3,4,47,NC,False,
4,1,47,NC,True,49
4,2,46,NC,True,50
4,3,47,NC,True,50
4,4,47,NC,False,
5,1,48,NC,True,43
5,2,41,NC,True,50
5,3,50,NC,True,50
5,4,44,NC,True,50
6,1,50,NC,False,
6,2,48,NC,True,50
6,3,35,NC,True,50
6,4,48,NC,True,50
7,1,35,NC,True,43
7,2,36,NC,True,45
7,3,41,NC,True,49
7,4,46,NC,True,50
8,1,37,NC,False,
8,2,48,NC,True,38
8,3,40,NC,True,38
8,4,46,NC,True,50
9,1,51,NC,True,50
9,2,43,NC,True,37
9,3,38,NC,True,50
9,4,37,NC,False,
10,1,50,NC,False,
10,2,43,NC,True,50
10,3,50,NC,False,
10,4,37,NC,False,
11,1,50,NC,False,
11,2,45,NC,True,50
11,3,46,NC,True,50
11,4,47,NC,True,50
12,1,37,NC,True,50
12,2,44,NC,False,
12,3,44,NC,True,48
12,4,47,NC,False,
13,1,49,NC,True,47
13,2,36,NC,True,37
13,3,51,NC,True,50
13,4,35,NC,True,42
14,1,49,NC,False,
14,2,35,NC,True,50
14,3,41,NC,True,50
14,4,39,NC,True,50
15,1,45,NC,False,
15,2,50,NC,True,50
15,3,51,NC,True,49
15,4,49,NC,True,40
16,1,49,NC,True,40
16,2,51,NC,True,50
16,3,38,NC,True,50
16,4,37,NC,True,50
17,1,51,NC,True,42
17,2,37,NC,True,44
17,3,50,NC,False,
17,4,42,NC,True,50
18,1,36,NC,True,50
18,2,40,NC,True,50
18,3,41,NC,True,50
18,4,50,NC,False,
19,1,50,NC,False,
19,2,47,NC,False,
19,3,50,NC,False,
19,4,43,NC,True,37
20,1,38,NC,True,37
20,2,51,NC,True,47
20,3,49,NC,False,
20,4,41,NC,True,37
21,1,43,NC,True,50
21,2,44,NC,False,
21,3,37,NC,True,50
21,4,46,NC,True,50
22,1,50,NC,False,
22,2,36,NC,True,42
22,3,47,NC,True,49
22,4,47,NC,True,50
23,1,43,NC,True,50
23,2,48,NC,False,
23,3,39,NC,True,50
23,4,50,NC,False,
24,1,51,NC,True,50
24,2,50,NC,False,
24,3,49,NC,True,50
24,4,47,NC,True,50
25,1,35,NC,True,50
25,2,50,NC,False,
25,3,44,NC,True,37
25,4,38,NC,False,
26,1,48,NC,True,38
26,2,44,NC,True,37
26,3,40,NC,True,38
26,4,37,NC,True,37
27,1,38,NC,True,37
27,2,37,NC,False,
27,3,45,NC,False,
27,4,40,NC,True,40
28,1,45,NC,False,
28,2,51,NC,True,38
28,3,42,NC,True,50
28,4,47,NC,True,37
29,1,39,NC,True,45
29,2,40,NC,False,
29,3,38,NC,True,45
29,4,42,NC,True,38
30,1,38,NC,False,
30,2,38,NC,False,
30,3,50,NC,True,45
30,4,51,NC,True,40
31,1,48,NC,True,50
31,2,50,NC,False,
31,3,37,NC,True,50
31,4,42,NC,True,50
32,1,35,NC,True,39
32,2,39,NC,True,50
32,3,50,NC,False,
32,4,46,NC,True,51
33,1,50,NC,False,
33,2,35,NC,True,50
33,3,41,NC,True,40
33,4,50,NC,True,43
34,1,42,NC,False,
34,2,47,NC,True,42
34,3,50,NC,False,
34,4,43,NC,True,50
35,1,42,NC,True,50
35,2,38,NC,False,
35,3,43,NC,True,38
35,4,36,NC,True,37
36,1,48,NC,True,50
36,2,42,NC,True,50
36,3,46,NC,True,37
36,4,48,NC,True,37
37,1,45,NC,True,50
37,2,37,NC,True,37
37,3,44,NC,True,38
37,4,36,NC,True,38
38,1,38,NC,True,37
38,2,43,NC,True,37
38,3,42,NC,False,
38,4,35,NC,True,37
39,1,39,NC,True,38
39,2,47,NC,True,50
39,3,42,NC,True,49
39,4,43,NC,True,49
40,1,50,NC,True,50
40,2,37,NC,False,
40,3,37,NC,False,
40,4,42,NC,False,
41,1,43,NC,True,42
41,2,44,NC,True,42
41,3,46,NC,True,37
41,4,37,NC,False,
42,1,46,NC,True,37
42,2,50,NC,False,
42,3,36,NC,True,48
42,4,42,NC,True,50
43,1,49,NC,True,37
43,2,42,NC,True,37
43,3,39,NC,True,50
43,4,46,NC,True,50
44,1,40,NC,True,37
44,2,36,NC,True,50
44,3,37,NC,False,
44,4,51,NC,True,50
45,1,50,NC,False,
45,2,41,NC,True,50
45,3,50,NC,False,
45,4,48,NC,True,42
46,1,38,NC,True,43
46,2,39,NC,True,45
46,3,50,NC,False,
46,4,37,NC,True,50
47,1,43,NC,True,42
47,2,39,NC,True,42
47,3,44,NC,True,42
47,4,45,NC,True,40
48,1,48,NC,True,40
48,2,39,NC,True,40
48,3,38,NC,True,41
48,4,51,NC,True,42
49,1,43,NC,True,43
49,2,47,NC,True,45
49,3,42,NC,True,47
49,4,50,NC,True,48
50,1,49,NC,False,
50,2,39,NC,True,37
50,3,50,NC,False,
50,4,49,NC,True,50
51,1,47,NC,True,41
51,2,49,NC,True,42
51,3,48,NC,False,
51,4,50,NC,True,50
52,1,42,NC,True,50
52,2,51,NC,False,
52,3,50,NC,False,
52,4,50,NC,False,
53,1,44,NC,False,
53,2,43,NC,True,50
53,3,41,NC,True,50
53,4,46,NC,True,50
54,1,50,NC,False,
54,2,45,NC,True,50
54,3,36,NC,True,50
54,4,39,NC,True,50
55,1,41,NC,True,50
55,2,47,NC,True,50
55,3,50,NC,False,
55,4,35,NC,True,50
56,1,50,NC,False,
56,2,45,NC,True,50
56,3,39,NC,True,50
56,4,40,NC,False,
57,1,50,NC,False,
57,2,50,NC,True,50
57,3,44,NC,True,37
57,4,49,NC,True,50
58,1,50,NC,False,
58,2,39,NC,True,50
58,3,50,NC,False,
58,4,50,NC,False,
59,1,50,NC,False,
59,2,35,NC,True,50
59,3,50,NC,False,
59,4,45,NC,True,50
60,1,35,NC,True,50
60,2,50,NC,False,
60,3,40,NC,False,
60,4,39,NC,True,40
61,1,37,NC,True,49
61,2,39,NC,True,49
61,3,40,NC,True,49
61,4,47,NC,True,37
62,1,49,NC,True,50
62,2,38,NC,True,50
62,3,37,NC,True,38
62,4,44,NC,True,38
63,1,37,NC,True,50
63,2,49,NC,True,50
63,3,37,NC,True,37
63,4,39,NC,True,37
64,1,35,NC,True,50
64,2,43,NC,True,37
64,3,39,NC,True,37
64,4,37,NC,False,
65,1,50,NC,False,
65,2,42,NC,True,50
65,3,47,NC,True,49
65,4,47,NC,False,
66,1,46,NC,True,43
66,2,48,NC,True,42
66,3,38,NC,True,42
66,4,44,NC,True,47
67,1,36,NC,True,35
67,2,35,NC,True,40
67,3,44,NC,True,45
67,4,47,NC,True,50
68,1,42,NC,False,
68,2,51,NC,True,47
68,3,42,NC,True,47
68,4,47,NC,False,
69,1,47,NC,True,35
69,2,35,NC,True,40
69,3,43,NC,True,50
69,4,35,NC,True,49
70,1,50,NC,False,
70,2,50,NC,True,50
70,3,50,NC,True,40
70,4,40,NC,True,40
71,1,50,NC,False,
71,2,49,NC,True,50
71,3,50,NC,False,
71,4,51,NC,True,50
72,1,47,NC,True,50
