bar,beat,note,chord,replaced,original_value
1,1,50,G-7911,True,45
1,2,40,G-7911,True,45
1,3,45,G-7911,True,37
1,4,36,G-7911,True,37
2,1,43,G-7911,True,38
2,2,50,G-7911,True,37
2,3,39,G-7911,True,42
2,4,50,G-7911,True,43
3,1,50,G-7911,True,44
3,2,48,G-7911,True,42
3,3,51,G-7911,False,
3,4,51,G-7911,False,
4,1,48,G-7911,True,52
4,2,34,G-7911,False,
4,3,44,G-7911,True,47
4,4,37,G-7911,True,34
5,1,42,C-7911,True,45
5,2,51,C-7911,False,
5,3,52,C-7911,False,
5,4,50,C-7911,True,51
6,1,47,C-7911,True,50
6,2,44,C-7911,False,
6,3,37,C-7911,True,42
6,4,51,C-7911,True,43
7,1,52,G-7911,True,41
7,2,49,G-7911,True,41
7,3,43,G-7911,False,
7,4,44,G-7911,True,41
8,1,36,G-7911,True,40
8,2,42,G-7911,True,41
8,3,34,G-7911,True,40
8,4,50,G-7911,True,48
9,1,46,A7,True,40
9,2,47,A7,False,
9,3,47,A7,False,
9,4,34,A7,False,
10,1,43,D7,True,45
10,2,48,D7,True,47
10,3,33,D7,True,48
10,4,51,D7,True,49
11,1,50,G-7911,False,
11,2,38,G-7911,False,
11,3,38,G-7911,True,41
11,4,39,G-7911,True,40
12,1,42,G-7911,True,45
12,2,36,G-7911,True,50
12,3,33,G-7911,True,37
12,4,50,G-7911,True,37
13,1,38,G-7911,False,
13,2,39,G-7911,True,37
13,3,45,G-7911,True,37
13,4,35,G-7911,True,43
14,1,50,G-7911,True,44
14,2,51,G-7911,True,42
14,3,43,G-7911,True,51
14,4,49,G-7911,True,51
15,1,40,G-7911,False,
15,2,33,G-7911,True,34
15,3,38,G-7911,True,47
15,4,34,G-7911,True,45
16,1,40,G-7911,True,45
16,2,42,G-7911,True,51
16,3,46,G-7911,True,52
16,4,47,G-7911,True,51
17,1,44,C-7911,True,50
17,2,33,C-7911,True,44
17,3,44,C-7911,False,
17,4,44,C-7911,False,
18,1,43,C-7911,False,
18,2,42,C-7911,True,42
18,3,47,C-7911,True,43
18,4,42,C-7911,True,44
19,1,34,G-7911,True,44
19,2,34,G-7911,True,51
19,3,38,G-7911,False,
19,4,34,G-7911,True,33
20,1,43,G-7911,True,33
20,2,46,G-7911,True,51
20,3,51,G-7911,False,
20,4,37,G-7911,True,50
21,1,39,A7,True,42
21,2,38,A7,False,
21,3,50,A7,True,37
21,4,34,A7,True,41
22,1,48,D7,True,40
22,2,40,D7,True,37
22,3,34,D7,True,42
22,4,52,D7,True,43
23,1,38,G-7911,True,42
23,2,37,G-7911,True,51
23,3,43,G-7911,True,52
23,4,52,G-7911,True,51
24,1,34,G-7911,True,50
24,2,45,G-7911,True,44
24,3,38,G-7911,True,42
24,4,39,G-7911,True,37
25,1,50,G-7911,False,
25,2,44,G-7911,True,37
25,3,38,G-7911,True,37
25,4,38,G-7911,False,
26,1,41,G-7911,True,37
26,2,42,G-7911,False,
26,3,33,G-7911,True,43
26,4,37,G-7911,True,44
27,1,47,G-7911,True,44
27,2,45,G-7911,True,51
27,3,43,G-7911,True,52
27,4,52,G-7911,True,45
28,1,48,G-7911,True,50
28,2,33,G-7911,True,44
28,3,42,G-7911,False,
28,4,41,G-7911,True,44
29,1,42,C-7911,False,
29,2,36,C-7911,True,40
29,3,34,C-7911,True,41
29,4,41,C-7911,True,42
30,1,42,C-7911,True,48
30,2,41,C-7911,True,49
30,3,49,C-7911,True,49
30,4,51,C-7911,True,44
31,1,45,G-7911,True,44
31,2,43,G-7911,True,38
31,3,40,G-7911,True,44
31,4,44,G-7911,False,
32,1,43,G-7911,False,
32,2,38,G-7911,True,44
32,3,41,G-7911,True,45
32,4,48,G-7911,False,
33,1,40,A7,False,
33,2,49,A7,True,47
33,3,47,A7,False,
33,4,47,A7,True,41
34,1,48,D7,True,52
34,2,45,D7,False,
34,3,42,D7,True,51
34,4,45,D7,False,
35,1,37,G-7911,True,50
35,2,46,G-7911,True,41
35,3,45,G-7911,True,40
35,4,51,G-7911,True,45
36,1,52,G-7911,True,50
36,2,38,G-7911,True,42
36,3,42,G-7911,False,
36,4,40,G-7911,True,37
37,1,50,G-7911,True,37
37,2,46,G-7911,True,51
37,3,38,G-7911,True,50
37,4,46,G-7911,True,37
38,1,38,G-7911,True,43
38,2,44,G-7911,False,
38,3,40,G-7911,True,42
38,4,52,G-7911,True,44
39,1,34,G-7911,True,43
39,2,37,G-7911,False,
39,3,50,G-7911,False,
39,4,49,G-7911,True,37
40,1,45,G-7911,False,
40,2,52,G-7911,True,50
