bar,beat,note,chord,replaced,original_value
1,1,41,G-79,True,44
1,2,44,G-79,True,48
1,3,48,F-79,False,
1,4,45,F-79,True,50
2,1,42,G-79,True,50
2,2,48,G-79,False,
2,3,39,F-79,True,44
2,4,43,F-79,True,40
3,1,43,C-79,False,
3,2,42,C-79,True,44
3,3,41,Bb-79,False,
3,4,48,Bb-79,True,48
4,1,43,Gb79,True,41
4,2,42,Gb79,True,37
4,3,39,Gb79,True,44
4,4,47,Gb79,True,37
5,1,41,G-79,True,44
5,2,39,G-79,True,44
5,3,46,F-79,True,48
5,4,39,F-79,True,50
6,1,38,G-79,True,43
6,2,46,G-79,True,48
6,3,44,F-79,False,
6,4,40,F-79,True,48
7,1,44,C-79,True,43
7,2,43,C-79,True,44
7,3,44,Bb-79,False,
7,4,43,Bb-79,False,
8,1,44,Gbj79,False,
8,2,39,Gbj79,True,37
8,3,40,Gbj79,True,44
8,4,40,Gbj79,False,
9,1,45,Abj79,True,39
9,2,45,Abj79,True,39
9,3,44,Abj79,True,43
9,4,43,Abj79,False,
10,1,46,Abj79,True,45
10,2,45,Abj79,True,38
10,3,45,Abj79,True,41
10,4,48,Abj79,True,45
11,1,41,Ab-79,True,44
11,2,44,Ab-79,False,
11,3,38,Ab-79,True,44
11,4,40,Ab-79,True,44
12,1,39,Db79,True,44
12,2,44,Db79,False,
12,3,46,G7911#,True,44
12,4,40,G7911#,True,38
13,1,48,Gbj79,True,49
13,2,46,Gbj79,True,44
13,3,44,Gbj79,False,
13,4,39,Gbj79,True,44
14,1,43,Gbj79,False,
14,2,48,Gbj79,True,43
14,3,39,Gbj79,True,37
14,4,38,Gbj79,True,44
15,1,44,B79,True,44
15,2,42,B79,True,44
15,3,49,B79,False,
15,4,44,B79,True,43
16,1,47,Esus79,False,
16,2,47,Esus79,False,
16,3,46,E79,True,47
16,4,44,E79,True,47
17,1,44,C-79,True,43
17,2,40,C-79,False,
17,3,39,Bb-79,True,44
17,4,46,Bb-79,True,40
18,1,43,C-79,False,
18,2,40,C-79,False,
18,3,43,Bb-79,True,44
18,4,48,Bb-79,False,
19,1,47,Gbj79,True,49
19,2,39,Gbj79,True,37
19,3,46,Ej7,True,47
19,4,38,Ej7,True,47
20,1,46,Dj7911#,True,40
20,2,44,Dj7911#,False,
20,3,45,Dj7911#,False,
20,4,37,Dj7911#,True,45
21,1,48,C-79,True,43
21,2,43,C-79,True,38
21,3,48,Bb-79,True,44
21,4,43,Bb-79,True,43
22,1,43,C-79,True,43
22,2,43,C-79,True,44
22,3,41,Bb-79,False,
22,4,48,Bb-79,False,
23,1,48,Gbj7,True,37
23,2,42,Gbj7,True,44
23,3,38,Ej7,True,40
23,4,45,Ej7,False,
24,1,45,Dj7911#,True,44
24,2,45,Dj7911#,False,
24,3,45,Dj7911#,True,45
24,4,39,Dj7911#,True,44
25,1,43,Bsus7,False,
25,2,47,Bsus7,True,40
25,3,38,Asus7,True,40
