bar,beat,note,chord
1,1,48,Fj7
1,2,47,Fj7
1,3,47,Fj7
1,4,47,Fj7
2,1,47,Fj7
2,2,47,Fj7
2,3,40,Fj7
2,4,40,Fj7
3,1,38,G7alt
3,2,45,G7alt
3,3,42,G7alt
3,4,42,G7alt
4,1,45,G7alt
4,2,45,G7alt
4,3,50,G7alt
4,4,50,G7alt
5,1,50,G-7
5,2,50,G-7
5,3,44,G-7
5,4,44,G-7
6,1,43,C7
6,2,42,C7
6,3,41,C7
6,4,41,C7
7,1,40,Am7b5
7,2,40,Am7b5
7,3,40,Am7b5
7,4,40,Am7b5
8,1,45,D79b
8,2,45,D79b
8,3,45,D79b
8,4,45,D79b
9,1,41,G-7
9,2,41,G-7
9,3,45,G-7
9,4,45,G-7
10,1,40,A79b
10,2,40,A79b
10,3,47,A79b
10,4,47,A79b
11,1,45,D7
11,2,45,D7
11,3,45,D7
11,4,45,D7
12,1,40,D79b
12,2,40,D79b
12,3,45,D79b
12,4,45,D79b
13,1,38,G79b
13,2,38,G79b
13,3,38,G79b
13,4,44,G79b
14,1,44,G79b
14,2,44,G79b
14,3,45,G79b
14,4,45,G79b
15,1,49,Gbj7
15,2,44,Gbj7
15,3,44,Gbj7
15,4,44,Gbj7
16,1,37,Gbj7
16,2,43,Gbj7
16,3,43,Gbj7
16,4,47,Gbj7
17,1,47,Fj7
17,2,47,Fj7
17,3,47,Fj7
17,4,47,Fj7
18,1,47,Fj7
18,2,47,Fj7
18,3,47,Fj7
18,4,47,Fj7
19,1,37,G7alt
19,2,37,G7alt
19,3,37,G7alt
19,4,38,G7alt
20,1,38,G7alt
20,2,37,G7alt
20,3,37,G7alt
20,4,37,G7alt
21,1,38,G-7
21,2,38,G-7
21,3,47,G-7
21,4,47,G-7
22,1,47,C7
22,2,47,C7
22,3,43,C7
22,4,41,C7
23,1,40,Am7b5
23,2,40,Am7b5
23,3,40,Am7b5
23,4,40,Am7b5
24,1,40,D79b
24,2,40,D79b
24,3,45,D79b
24,4,45,D79b
25,1,38,G-7
25,2,38,G-7
25,3,38,G-7
25,4,40,G-7
26,1,41,Bb-
26,2,41,Bb-
26,3,41,Bb-
26,4,41,Bb-
27,1,40,A-7
27,2,40,A-7
27,3,40,A-7
27,4,43,A-7
28,1,42,Bm7b5
28,2,42,Bm7b5
28,3,42,E79#
28,4,42,E79#
29,1,40,Aj7
29,2,40,Aj7
29,3,40,Aj7
29,4,40,Aj7
30,1,41,Bbo7
30,2,41,Bbo7
30,3,37,Bbo7
30,4,37,Bbo7
31,1,42,B-7
31,2,42,B-7
31,3,42,B-7
31,4,42,B-7
32,1,47,E7
32,2,47,E7
32,3,47,E7
32,4,51,E7
33,1,40,Aj7
33,2,40,Aj7
33,3,40,Aj7
33,4,45,Aj7
34,1,37,F#-7
34,2,37,F#-7
34,3,37,F#-7
34,4,37,F#-7
35,1,42,B-7
35,2,42,B-7
35,3,42,B-7
35,4,42,B-7
36,1,42,E7
36,2,47,E7
36,3,42,E7
36,4,42,E7
37,1,43,Cj7
37,2,43,Cj7
37,3,43,Cj7
37,4,43,Cj7
38,1,44,C#o7
38,2,44,C#o7
38,3,41,C#o7
38,4,41,C#o7
39,1,40,D-7
39,2,40,D-7
39,3,40,D-7
39,4,40,D-7
40,1,38,G7
40,2,38,G7
40,3,38,G7
40,4,38,G7
41,1,38,G-7
41,2,38,G-7
41,3,38,G-7
41,4,38,G-7
42,1,37,Am7b5
42,2,49,Am7b5
42,3,37,D79b
42,4,37,D79b
43,1,38,G-7
43,2,37,G-7
43,3,38,G-7
43,4,44,G-7
44,1,44,C7alt
44,2,44,C7alt
44,3,43,C7alt
44,4,43,C7alt
45,1,43,Fj7
45,2,43,Fj7
45,3,43,Fj7
45,4,43,Fj7
46,1,43,Fj7
46,2,43,Fj7
46,3,43,Fj7
46,4,43,Fj7
47,1,42,G7alt
47,2,42,G7alt
47,3,42,G7alt
47,4,42,G7alt
48,1,42,G7alt
48,2,42,G7alt
48,3,42,G7alt
48,4,42,G7alt
49,1,41,G-7
49,2,41,G-7
49,3,41,G-7
49,4,41,G-7
50,1,41,C7
50,2,41,C7
50,3,41,C7
50,4,41,C7
51,1,40,Am7b5
51,2,40,Am7b5
51,3,40,Am7b5
51,4,40,Am7b5
52,1,45,D79b
52,2,45,D79b
52,3,45,D79b
52,4,45,D79b
53,1,38,G-7
53,2,38,G-7
53,3,38,G-7
53,4,40,G-7
54,1,41,A79b
54,2,41,A79b
54,3,42,A79b
54,4,41,A79b
55,1,40,D7
55,2,40,D7
55,3,40,D7
55,4,40,D7
56,1,51,D79b
56,2,51,D79b
56,3,51,D79b
56,4,51,D79b
57,1,50,G79b
57,2,50,G79b
57,3,42,G79b
57,4,42,G79b
58,1,45,G79b
58,2,45,G79b
58,3,50,G79b
58,4,50,G79b
59,1,41,Gbj7
59,2,41,Gbj7
59,3,41,Gbj7
59,4,41,Gbj7
60,1,41,Gbj7
60,2,45,Gbj7
60,3,34,Gbj7
60,4,42,Gbj7
61,1,45,G-7
61,2,45,G-7
61,3,45,G-7
61,4,45,G-7
62,1,44,Bb-
62,2,44,Bb-
62,3,44,Bb-
62,4,44,Bb-
63,1,43,A-7
63,2,43,A-7
63,3,43,A-7
63,4,43,A-7
64,1,44,Bm7b5
64,2,44,Bm7b5
64,3,43,E79#
64,4,43,E79#
65,1,48,E79#
65,2,48,E79#
65,3,43,E79#
65,4,48,E79#
