bar,beat,note,chord
1,1,43,Cj7
1,2,47,Cj7
1,3,48,Cj7
1,4,51,Cj7
2,1,50,E-7
2,2,41,E-7
2,3,40,A7
2,4,44,A7
3,1,45,D-
3,2,39,D-
3,3,38,G7
3,4,44,G7
4,1,43,Cj7
4,2,49,Cj7
4,3,50,G7
4,4,42,G7
5,1,43,Cj7
5,2,37,Cj7
5,3,38,Cj7
5,4,43,Cj7
6,1,35,E-7
6,2,41,E-7
6,3,40,A7
6,4,44,A7
7,1,45,D-7
7,2,47,D-7
7,3,48,D-7
7,4,49,D-7
8,1,38,G7
8,2,40,G7
8,3,41,G7
8,4,42,G7
9,1,50,C7
9,2,41,C7
9,3,40,C7
9,4,39,C7
10,1,38,C7
10,2,44,C7
10,3,43,C7
10,4,37,C7
11,1,37,F7
11,2,40,F7
11,3,43,F7
11,4,42,F7
12,1,41,Bb7
12,2,48,Bb7
12,3,41,Bb7
12,4,50,Bb7
13,1,43,Cj7
13,2,37,Cj7
13,3,37,Cj7
13,4,42,Cj7
14,1,47,E-7
14,2,41,E-7
14,3,40,A7
14,4,44,A7
15,1,45,D-7
15,2,49,D-7
15,3,50,G7
15,4,42,G7
16,1,44,Cj7
16,2,44,Cj7
16,3,42,Cj7
16,4,44,Cj7
17,1,50,Cj7
17,2,43,Cj7
17,3,48,Cj7
17,4,42,Cj7
18,1,47,E-7
18,2,41,E-7
18,3,52,A7
18,4,43,A7
19,1,42,D-
19,2,51,D-
19,3,50,G7
19,4,42,G7
20,1,48,Cj7
20,2,40,Cj7
20,3,41,G7
20,4,42,G7
21,1,43,Cj7
21,2,37,Cj7
21,3,37,Cj7
21,4,42,Cj7
22,1,47,E-7
22,2,41,E-7
22,3,40,A7
22,4,44,A7
23,1,45,D-7
23,2,35,D-7
23,3,44,D-7
23,4,37,D-7
24,1,38,G7
24,2,39,G7
24,3,40,G7
24,4,42,G7
25,1,43,C7
25,2,41,C7
25,3,43,C7
25,4,42,C7
26,1,41,C7
26,2,40,C7
26,3,50,C7
26,4,50,C7
27,1,48,F7
27,2,40,F7
27,3,43,F7
27,4,42,F7
28,1,41,Bb7
28,2,48,Bb7
28,3,51,Bb7
28,4,41,Bb7
29,1,50,Cj7
29,2,43,Cj7
29,3,48,Cj7
29,4,48,Cj7
30,1,47,E-7
30,2,41,E-7
30,3,40,A7
30,4,44,A7
31,1,45,D-7
31,2,49,D-7
31,3,38,G7
31,4,42,G7
32,1,43,Cj7
32,2,40,Cj7
32,3,44,Cj7
32,4,40,Cj7
33,1,38,NC
