bar,beat,note,chord
1,1,42,Eb
1,2,37,Eb
1,3,37,F-7
1,4,37,F-7
2,1,37,Eb6
2,2,37,Eb6
2,3,37,Gbo
2,4,37,Gbo
3,1,37,F-
3,2,37,F-
3,3,37,F-7
3,4,37,F-7
4,1,37,F-6
4,2,37,F-6
4,3,37,Gbo
4,4,37,Gbo
5,1,37,F-
5,2,37,F-
5,3,37,F-7
5,4,37,F-7
6,1,37,F-6
6,2,37,F-6
6,3,37,Bb7
6,4,37,Bb7
7,1,37,Eb
7,2,37,Eb
7,3,37,C-7
7,4,37,C-7
8,1,37,F-7
8,2,37,F-7
8,3,37,Bb7
8,4,38,Bb7
9,1,37,Eb
9,2,37,Eb
9,3,37,F-7
9,4,37,F-7
10,1,37,Eb6
10,2,37,Eb6
10,3,37,Gbo
10,4,37,Gbo
11,1,37,F-
11,2,37,F-
11,3,37,F-7
11,4,37,F-7
12,1,37,F-6
12,2,38,F-6
12,3,37,Gbo
12,4,37,Gbo
13,1,37,F-
13,2,37,F-
13,3,42,F-7
13,4,37,F-7
14,1,37,F-6
14,2,37,F-6
14,3,37,Bb7
14,4,37,Bb7
15,1,37,Eb
15,2,37,Eb
15,3,37,Bbm7b5
15,4,37,Bbm7b5
16,1,37,Eb
16,2,37,Eb
16,3,37,D7
16,4,37,D7
17,1,37,D7
17,2,37,D7
17,3,37,D7
17,4,37,D7
18,1,37,D7
18,2,37,NC
18,3,37,NC
