bar,beat,note,chord
1,1,42,Eb
1,2,42,Eb
1,3,47,Eb
1,4,42,Eb
2,1,47,Eb
2,2,42,Eb
2,3,34,Eb
2,4,42,Eb
3,1,34,D7
3,2,47,D7
3,3,47,D7
3,4,42,D7
4,1,42,D7
4,2,42,D7
4,3,47,D7
4,4,42,D7
5,1,34,Eb
5,2,42,Eb
5,3,42,Eb
5,4,47,Eb
6,1,47,Eb
6,2,42,Eb
6,3,34,Eb
6,4,34,Eb
7,1,47,C+7
7,2,42,C+7
7,3,42,C+7
7,4,51,C+7
8,1,47,C7
8,2,42,C7
8,3,50,C7
8,4,50,C7
9,1,47,F7
9,2,47,F7
9,3,47,F7
9,4,42,F7
10,1,47,F7
10,2,47,F7
10,3,47,F7
10,4,42,F7
11,1,42,Bb7
11,2,42,Bb7
11,3,47,Bb7
11,4,47,Bb7
12,1,47,Bb7
12,2,47,Bb7
12,3,42,Bb7
12,4,42,Bb7
13,1,47,Eb
13,2,42,Eb
13,3,41,Eb
13,4,42,Eb
14,1,50,Eb
14,2,50,Eb
14,3,50,Eb
14,4,42,Eb
15,1,47,Bb7
15,2,47,Bb7
15,3,47,Bb7
15,4,47,Bb7
16,1,47,Bb+7
16,2,47,Bb+7
16,3,42,Bb+7
16,4,42,Bb+7
17,1,47,Eb
17,2,34,Eb
17,3,42,Eb
17,4,45,Eb
18,1,45,Eb
18,2,51,Eb
18,3,47,Eb
18,4,45,Eb
19,1,42,D7
19,2,51,D7
19,3,42,D7
19,4,45,D7
20,1,42,D7
20,2,42,D7
20,3,42,D7
20,4,45,D7
21,1,42,Eb
21,2,42,Eb
21,3,42,Eb
21,4,42,Eb
22,1,50,Eb
22,2,50,Eb
22,3,50,Eb
22,4,50,Eb
23,1,42,C+7
23,2,45,C+7
23,3,47,C+7
23,4,47,C+7
24,1,42,C7
24,2,42,C7
24,3,50,C7
24,4,51,C7
25,1,42,F7
25,2,42,F7
25,3,42,F7
25,4,42,F7
26,1,47,F7
26,2,42,F7
26,3,42,F7
26,4,37,F7
27,1,47,Bb7
27,2,42,Bb7
27,3,34,Bb7
27,4,39,Bb7
28,1,42,Bb7
28,2,47,Bb7
28,3,42,Bb7
28,4,47,Bb7
29,1,47,F-7
29,2,50,F-7
29,3,50,F-7
29,4,41,F-7
30,1,34,Bb7
30,2,41,Bb7
30,3,42,Bb7
30,4,41,Bb7
31,1,34,Eb
31,2,42,Eb
31,3,42,Eb
31,4,42,Eb
32,1,47,F-7
32,2,47,F-7
32,3,34,Bb7
32,4,41,Bb7
33,1,47,Eb
33,2,47,Eb
33,3,34,Eb
33,4,51,Eb
34,1,42,Eb
34,2,42,Eb
