bar,beat,note,chord
1,1,50,G-7
1,2,50,G-7
1,3,38,G-7
1,4,45,G-7
2,1,43,C7
2,2,47,C7
2,3,38,C7
2,4,38,C7
3,1,38,G-7
3,2,38,G-7
3,3,38,G-7
3,4,48,G-7
4,1,47,C7
4,2,45,C7
4,3,43,C7
4,4,47,C7
5,1,50,Fj7
5,2,48,Fj7
5,3,38,F7
5,4,38,F7
6,1,38,Bbj7
6,2,38,Bbj7
6,3,50,Bo7
6,4,49,Bo7
7,1,48,Fj7
7,2,38,Fj7
7,3,38,Gj7
7,4,38,Gj7
8,1,38,A-7
8,2,38,A-7
8,3,38,D7
8,4,51,D7
9,1,50,G-7
9,2,38,G-7
9,3,38,G-7
9,4,45,G-7
10,1,38,C7
10,2,38,C7
10,3,50,C7
10,4,38,C7
11,1,38,G-7
11,2,40,G-7
11,3,38,G-7
11,4,50,G-7
12,1,38,C7
12,2,38,C7
12,3,49,C7
12,4,44,C7
13,1,38,Fj7
13,2,44,Fj7
13,3,45,F7
13,4,49,F7
14,1,50,Bbj7
14,2,38,Bbj7
14,3,38,Bo7
14,4,38,Bo7
15,1,48,Fj7
15,2,38,Fj7
15,3,43,C7
15,4,47,C7
16,1,38,Fj7
16,2,48,Fj7
16,3,38,Fj7
16,4,44,Fj7
17,1,38,A7
17,2,38,A7
17,3,44,A7
17,4,45,A7
18,1,47,A7
18,2,49,A7
18,3,50,A7
18,4,38,A7
19,1,45,D7
19,2,38,D7
19,3,38,D7
19,4,38,D7
20,1,38,D7
20,2,49,D7
20,3,47,D7
20,4,38,D7
21,1,38,G7
21,2,38,G7
21,3,45,G7
21,4,38,G7
22,1,38,G7
22,2,38,G7
22,3,44,G7
22,4,38,G7
23,1,38,C7
23,2,38,C7
23,3,38,C7
23,4,50,C7
24,1,48,C7
24,2,47,C7
24,3,45,C7
24,4,43,C7
25,1,50,G-7
25,2,50,G-7
25,3,38,G-7
25,4,45,G-7
26,1,43,C7
26,2,47,C7
26,3,50,C7
26,4,38,C7
27,1,38,G-7
27,2,38,G-7
27,3,50,G-7
27,4,48,G-7
28,1,50,C7
28,2,38,C7
28,3,50,C7
28,4,49,C7
29,1,48,Fj7
29,2,43,Fj7
29,3,38,F7
29,4,45,F7
30,1,38,Bbj7
30,2,38,Bbj7
30,3,43,Bo7
30,4,38,Bo7
31,1,48,Fj7
31,2,38,Fj7
31,3,38,G-7
31,4,38,G-7
32,1,38,A-7
32,2,38,A-7
32,3,51,D7
32,4,38,D7
33,1,38,D7
