bar,beat,note,chord
1,1,38,Bb-7
1,2,38,Bb-7
1,3,48,Bb-7
1,4,41,Bb-7
2,1,38,Gb7
2,2,48,F7
2,3,47,E7
2,4,38,Eb7
3,1,39,Abj7
3,2,39,Abj7
3,3,45,Abj7
3,4,45,Abj7
4,1,39,Ab7
4,2,38,G7
4,3,38,Gb7
4,4,48,F7
5,1,41,Bb7
5,2,41,Bb7
5,3,38,Bb7
5,4,47,Bb7
6,1,45,Bb-7
6,2,45,Bb-7
6,3,38,Eb7
6,4,38,Eb7
7,1,38,Abj7
7,2,38,Abj7
7,3,45,Abj7
7,4,44,Abj7
8,1,43,Ab7
8,2,43,Ab7
8,3,48,F79b
8,4,48,F79b
9,1,38,Bb-7
9,2,38,Bb-7
9,3,48,Bb-7
9,4,41,Bb-7
10,1,38,Gb7
10,2,48,F7
10,3,47,E7
10,4,45,Eb7
11,1,38,Abj7
11,2,39,Abj7
11,3,45,Abj7
11,4,43,Abj7
12,1,39,Ab7
12,2,38,G7
12,3,38,Gb7
12,4,48,F7
13,1,41,Bb7
13,2,41,Bb7
13,3,38,Bb7
13,4,47,Bb7
14,1,38,Bb-7
14,2,45,Bb-7
14,3,38,Eb7
14,4,38,Eb7
15,1,39,Abj7
15,2,38,Abj7
15,3,45,Abj7
15,4,43,Abj7
16,1,38,Ab7911#
16,2,39,Ab7911#
16,3,38,D79b
16,4,45,D79b
17,1,38,Gj7
17,2,38,Gj7
17,3,47,E-7
17,4,47,E-7
18,1,38,A-7
18,2,40,A-7
18,3,45,D7
18,4,43,D7
19,1,42,G7
19,2,42,G7
19,3,42,G#o7
19,4,47,G#o7
20,1,38,A-7
20,2,40,A-7
20,3,45,D7
20,4,39,D7
21,1,38,Gj7
21,2,38,Gj7
21,3,47,E-7
21,4,47,E-7
22,1,38,A-7
22,2,40,A-7
22,3,45,D7
22,4,45,D7
23,1,38,G7
23,2,38,G7
23,3,45,C-7
23,4,45,C-7
24,1,45,Eb7
24,2,45,Eb7
24,3,48,Cm7b5
24,4,43,F79b
25,1,38,Bb-7
25,2,48,Bb-7
25,3,44,Bb-7
25,4,41,Bb-7
26,1,38,Gb7
26,2,48,F7
26,3,47,E7
26,4,45,Eb7
27,1,38,Abj7
27,2,38,Abj7
27,3,45,Abj7
27,4,43,Abj7
28,1,39,Ab7
28,2,38,G7
28,3,37,Gb7
28,4,48,F7
29,1,41,Bb7
29,2,45,Bb7
29,3,48,Bb7
29,4,47,Bb7
30,1,45,Bb-7
30,2,45,Bb-7
30,3,39,Eb7
30,4,45,Eb7
31,1,38,Abj7
31,2,39,Abj7
31,3,45,Abj7
31,4,38,Abj7
32,1,38,Ab7
32,2,38,Ab7
32,3,45,F79b
32,4,38,F79b
33,1,38,Gj7
33,2,38,Gj7
33,3,47,B-7
33,4,47,B-7
34,1,38,A-7
34,2,38,F7
34,3,45,D7
34,4,45,Eb7
35,1,42,G7
35,2,38,G7
35,3,38,G#o7
35,4,47,G#o7
36,1,38,A-7
36,2,38,G7
36,3,45,D7
36,4,45,F7
37,1,38,Gj7
37,2,38,Gj7
37,3,47,E-7
37,4,47,E-7
38,1,38,A-7
38,2,38,A-7
38,3,45,D7
38,4,45,D7
39,1,38,G7
39,2,38,G7
39,3,45,C-7
39,4,45,C-7
40,1,45,Eb7
40,2,43,Eb7
40,3,48,Cm7b5
40,4,42,F79b
41,1,38,Bb-7
41,2,48,Bb-7
41,3,38,Bb-7
41,4,38,Bb-7
42,1,38,Gb7
42,2,48,F7
42,3,42,E7
42,4,38,Eb7
43,1,39,Abj7
43,2,45,Abj7
43,3,43,Abj7
43,4,45,Abj7
44,1,38,Ab7
44,2,38,G7
44,3,38,Gb7
44,4,48,F7
45,1,41,Bb7
45,2,45,Bb7
45,3,48,Bb7
45,4,38,Bb7
46,1,45,Bb-7
46,2,45,Bb-7
46,3,47,Eb7
46,4,38,Eb7
47,1,38,Abj7
47,2,38,Abj7
47,3,38,Abj7
47,4,38,Abj7
48,1,38,Abj7
48,2,38,Abj7
48,3,38,Abj7
48,4,38,Abj7
49,1,38,Abj7
49,2,38,Abj7
49,3,38,Abj7
49,4,39,Abj7
