bar,beat,note,chord
1,1,41,Bbj7
1,2,37,Bbj7
1,3,37,Bbj7
1,4,37,Bbj7
2,1,37,Bbj7
2,2,37,Bbj7
2,3,37,Bbj7
2,4,42,Bbj7
3,1,41,Bo
3,2,37,Bo
3,3,37,Bo
3,4,37,Bo
4,1,38,Bo
4,2,38,Bo
4,3,37,Bo
4,4,44,Bo
5,1,43,C-7
5,2,37,C-7
5,3,37,C-7
5,4,37,C-7
6,1,37,F7
6,2,37,F7
6,3,43,F7
6,4,43,F7
7,1,41,Bbj7
7,2,45,Bbj7
7,3,34,Bbj7
7,4,42,Bbj7
8,1,43,F7
8,2,41,F7
8,3,41,F7
8,4,48,F7
9,1,41,Bbj7
9,2,37,Bbj7
9,3,37,Bbj7
9,4,37,Bbj7
10,1,37,Bbj7
10,2,48,Bbj7
10,3,48,Bbj7
10,4,37,Bbj7
11,1,38,Bo
11,2,37,Bo
11,3,37,Bo
11,4,37,Bo
12,1,38,Bo
12,2,43,Bo
12,3,37,Bo
12,4,42,Bo
13,1,43,C-7
13,2,37,C-7
13,3,37,C-7
13,4,48,C-7
14,1,43,F7
14,2,48,F7
14,3,37,F7
14,4,43,F7
15,1,41,Bbj7
15,2,41,Bbj7
15,3,40,Bbj7
15,4,47,Bbj7
16,1,47,Bbj7
16,2,47,Bbj7
16,3,47,Bbj7
16,4,42,Bbj7
17,1,42,Bb7
17,2,42,Bb7
17,3,41,Bb7
17,4,41,Bb7
18,1,47,Bb7
18,2,37,Bb7
18,3,37,Bb7
18,4,38,Bb7
19,1,42,Eb7
19,2,37,Eb7
19,3,42,Eb7
19,4,43,Eb7
20,1,41,Eb7
20,2,41,Eb7
20,3,41,Eb7
20,4,42,Eb7
21,1,43,C7
21,2,43,C7
21,3,43,C7
21,4,43,C7
22,1,43,C7
22,2,37,C7
22,3,37,C7
22,4,50,C7
23,1,41,F7
23,2,43,F7
23,3,43,F7
23,4,43,F7
24,1,43,F7
24,2,37,F7
24,3,43,F7
24,4,43,F7
25,1,41,Bbj7
25,2,41,Bbj7
25,3,41,Bbj7
25,4,48,Bbj7
26,1,48,Bbj7
26,2,48,Bbj7
26,3,48,Bbj7
26,4,42,Bbj7
27,1,43,Bo
27,2,43,Bo
27,3,38,Bo
27,4,37,Bo
28,1,37,Bo
28,2,37,Bo
28,3,48,Bo
28,4,37,Bo
29,1,43,C-7
29,2,45,C-7
29,3,42,C-7
29,4,37,C-7
30,1,42,F7
30,2,42,F7
30,3,43,F7
30,4,43,F7
31,1,42,Bbj7
31,2,45,Bbj7
31,3,45,Bbj7
31,4,47,Bbj7
32,1,48,Bbj7
32,2,37,Bbj7
32,3,38,Bbj7
32,4,42,Bbj7
33,1,41,Bbj7
