bar,beat,note,chord
1,1,37,F7
1,2,50,F7
1,3,52,F7
1,4,48,F7
2,1,47,Bb7
2,2,41,Bb7
2,3,37,Bb7
2,4,47,Bb7
3,1,45,F7
3,2,45,F7
3,3,44,F7
3,4,44,F7
4,1,43,F7
4,2,49,F7
4,3,48,F7
4,4,37,F7
5,1,41,Bb7
5,2,33,Bb7
5,3,50,Bb7
5,4,48,Bb7
6,1,41,Bb7
6,2,37,Bb7
6,3,41,Bb7
6,4,44,Bb7
7,1,42,F7
7,2,50,F7
7,3,48,F7
7,4,45,F7
8,1,43,F7
8,2,42,F7
8,3,37,F7
8,4,45,F7
9,1,50,G-7
9,2,48,G-7
9,3,47,G-7
9,4,45,G-7
10,1,43,C7
10,2,45,C7
10,3,47,C7
10,4,50,C7
11,1,48,F7
11,2,40,F7
11,3,45,D-7
11,4,51,D-7
12,1,50,G-7
12,2,44,G-7
12,3,43,C7
12,4,47,C7
13,1,37,F7
13,2,40,F7
13,3,43,F7
13,4,48,F7
14,1,41,Bb7
14,2,43,Bb7
14,3,33,Bb7
14,4,47,Bb7
15,1,37,F7
15,2,40,F7
15,3,33,F7
15,4,43,F7
16,1,48,F7
16,2,50,F7
16,3,37,F7
16,4,48,F7
17,1,37,Bb7
17,2,33,Bb7
17,3,50,Bb7
17,4,37,Bb7
18,1,42,Bb7
18,2,43,Bb7
18,3,45,Bb7
18,4,47,Bb7
19,1,48,F7
19,2,50,F7
19,3,41,F7
19,4,41,F7
20,1,40,F7
20,2,45,F7
20,3,51,F7
20,4,45,F7
21,1,50,G-7
21,2,48,G-7
21,3,47,G-7
21,4,45,G-7
22,1,43,C7
22,2,44,C7
22,3,45,C7
22,4,47,C7
23,1,48,F7
23,2,37,F7
23,3,41,D-7
23,4,37,D-7
24,1,42,G-7
24,2,50,G-7
24,3,47,C7
24,4,43,C7
25,1,48,F7
