bar,beat,note,chord
1,1,44,G-7
1,2,47,G-7
1,3,41,G-7
1,4,50,G-7
2,1,43,C7
2,2,44,C7
2,3,44,C7
2,4,44,C7
3,1,37,G-7
3,2,44,G-7
3,3,44,G-7
3,4,50,G-7
4,1,41,C7
4,2,51,C7
4,3,49,C7
4,4,47,C7
5,1,48,F7
5,2,40,F7
5,3,45,F7
5,4,48,F7
6,1,41,Bbj7
6,2,48,Bbj7
6,3,41,Eb7
6,4,34,Eb7
7,1,51,Cj7
7,2,44,Cj7
7,3,49,G7
7,4,42,G7
8,1,47,C6
8,2,45,C6
8,3,38,C6
8,4,43,C6
9,1,43,G-7
9,2,42,G-7
9,3,47,G-7
9,4,42,G-7
10,1,47,C7
10,2,47,C7
10,3,42,C7
10,4,47,C7
11,1,43,G-7
11,2,42,G-7
11,3,47,G-7
11,4,40,G-7
12,1,41,C7
12,2,47,C7
12,3,34,C7
12,4,40,C7
13,1,49,F7
13,2,40,F7
13,3,43,F7
13,4,48,F7
14,1,41,Bbj7
14,2,41,Bbj7
14,3,45,Eb7
14,4,48,Eb7
15,1,47,Cj7
15,2,50,Cj7
15,3,45,G7
15,4,42,G7
16,1,43,C6
16,2,47,C6
16,3,40,C6
16,4,43,C6
17,1,48,F-7
17,2,50,F-7
17,3,51,Bb7
17,4,48,Bb7
18,1,47,Cj7
18,2,50,Cj7
18,3,43,Cj7
18,4,44,Cj7
19,1,38,F-7
19,2,43,F-7
19,3,41,Bb7
19,4,51,Bb7
20,1,50,Cj7
20,2,48,Cj7
20,3,47,Cj7
20,4,50,Cj7
21,1,51,Ab-7
21,2,34,Ab-7
21,3,42,Db7
21,4,42,Db7
22,1,34,Ebj7
22,2,41,Ebj7
22,3,34,Ebj7
22,4,42,Ebj7
23,1,42,Eb-7
23,2,37,Eb-7
23,3,37,Ab7
23,4,40,Ab7
24,1,38,D-7
24,2,40,D-7
24,3,41,G7
24,4,42,G7
25,1,43,G-7
25,2,42,G-7
25,3,41,G-7
25,4,42,G-7
26,1,43,C7
26,2,47,C7
26,3,41,C7
26,4,41,C7
27,1,37,G-7
27,2,51,G-7
27,3,51,G-7
27,4,37,G-7
28,1,41,C7
28,2,50,C7
28,3,45,C7
28,4,43,C7
29,1,37,F7
29,2,40,F7
29,3,43,F7
29,4,48,F7
30,1,41,Bbj7
30,2,45,Bbj7
30,3,41,Eb7
30,4,33,Eb7
31,1,47,Cj7
31,2,50,Cj7
31,3,50,G7
31,4,37,G7
32,1,50,C6
32,2,45,C6
32,3,41,C6
32,4,42,C6
33,1,43,G-7
33,2,43,G-7
33,3,41,G-7
33,4,40,G-7
34,1,38,C7
34,2,47,C7
34,3,37,C7
34,4,40,C7
35,1,43,G-7
35,2,47,G-7
35,3,41,G-7
35,4,50,G-7
36,1,43,C7
36,2,44,C7
36,3,44,C7
36,4,37,C7
37,1,38,F7
37,2,37,F7
37,3,38,F7
37,4,37,F7
38,1,47,Bbj7
38,2,37,Bbj7
38,3,37,Eb7
38,4,34,Eb7
39,1,44,Cj7
39,2,45,Cj7
39,3,50,G7
39,4,42,G7
40,1,43,C6
40,2,47,C6
40,3,38,C6
40,4,42,C6
41,1,43,G-7
41,2,44,G-7
41,3,43,G-7
41,4,42,G-7
42,1,41,C7
42,2,41,C7
42,3,41,C7
42,4,42,C7
43,1,43,G-7
43,2,43,G-7
43,3,44,G-7
43,4,42,G-7
44,1,41,C7
44,2,41,C7
44,3,42,C7
44,4,43,C7
45,1,48,F7
45,2,43,F7
45,3,48,F7
45,4,40,F7
46,1,41,Bbj7
46,2,41,Bbj7
46,3,34,Eb7
46,4,40,Eb7
47,1,41,Cj7
47,2,42,Cj7
47,3,43,G7
47,4,45,G7
48,1,43,C6
48,2,47,C6
48,3,40,C6
48,4,43,C6
49,1,48,F-7
49,2,34,F-7
49,3,45,Bb7
49,4,44,Bb7
50,1,44,Cj7
50,2,47,Cj7
50,3,37,Cj7
50,4,37,Cj7
51,1,50,F-7
51,2,45,F-7
51,3,48,Bb7
51,4,47,Bb7
52,1,47,Cj7
52,2,50,Cj7
52,3,37,Cj7
52,4,37,Cj7
53,1,40,Abj7
53,2,37,Abj7
53,3,47,Db7
53,4,40,Db7
54,1,34,Ebj7
54,2,50,Ebj7
54,3,41,Ebj7
54,4,34,Ebj7
55,1,51,Eb-7
55,2,40,Eb-7
55,3,42,Ab7
55,4,47,Ab7
56,1,38,D-7
56,2,44,D-7
56,3,50,G7
56,4,34,G7
57,1,47,G-7
57,2,50,G-7
57,3,37,G-7
57,4,37,G-7
58,1,44,C7
58,2,45,C7
58,3,50,C7
58,4,42,C7
59,1,43,G-7
59,2,50,G-7
59,3,50,G-7
59,4,37,G-7
60,1,44,C7
60,2,50,C7
60,3,45,C7
60,4,43,C7
61,1,37,F7
61,2,40,F7
61,3,43,F7
61,4,48,F7
62,1,41,Bbj7
62,2,50,Bbj7
62,3,48,Eb7
62,4,41,Eb7
63,1,43,Cj7
63,2,47,Cj7
63,3,50,G7
63,4,37,G7
64,1,50,C6
64,2,48,C6
64,3,47,C6
64,4,50,C6
65,1,47,G-
65,2,50,G-
65,3,50,G-
65,4,43,G-
