bar,beat,note,chord
1,1,43,C-7
1,2,45,C-7
1,3,45,C-7
1,4,50,C-7
2,1,51,Ab7911#
2,2,50,Ab7911#
2,3,50,Ab7911#
2,4,42,Ab7911#
3,1,43,C-7
3,2,34,C-7
3,3,50,C-7
3,4,50,C-7
4,1,50,A-7
4,2,50,A-7
4,3,49,D7
4,4,45,D7
5,1,50,Gj7
5,2,50,Gj7
5,3,37,Gj7
5,4,50,Gj7
6,1,51,Ab-7
6,2,34,Ab-7
6,3,50,Ab-7
6,4,51,Ab-7
7,1,48,F-7911
7,2,37,F-7911
7,3,43,F-7911
7,4,48,F-7911
8,1,50,F-7911
8,2,42,F-7911
8,3,43,F-7911
8,4,49,F-7911
9,1,43,C-7
9,2,42,C-7
9,3,43,C-7
9,4,50,C-7
10,1,51,C-7
10,2,42,C-7
10,3,43,C-7
10,4,34,C-7
11,1,37,A-7911
11,2,50,A-7911
11,3,50,A-7911
11,4,40,A-7911
12,1,45,D7913
12,2,49,D7913
12,3,45,D7913
12,4,37,D7913
13,1,50,Gj7
13,2,50,Gj7
13,3,50,Gj7
13,4,50,Gj7
14,1,50,G7913
14,2,50,G7913
14,3,50,G7913
14,4,50,G7913
15,1,50,A
15,2,37,A
15,3,50,A
15,4,37,A
16,1,50,Ebm7b5
16,2,50,Ebm7b5
16,3,50,Ebm7b5
16,4,50,Ebm7b5
17,1,48,F7913
17,2,50,F7913
17,3,51,F7913
17,4,40,F7913
18,1,41,F79b13
18,2,42,F79b13
18,3,43,F79b13
18,4,47,F79b13
19,1,48,F7913
19,2,50,F7913
19,3,51,F7913
19,4,48,F7913
20,1,47,E-79
20,2,50,E-79
20,3,37,A7913
20,4,37,A7913
21,1,49,Eb7911#
21,2,50,Eb7911#
21,3,51,Eb7911#
21,4,49,Eb7911#
22,1,40,A-7
22,2,37,A-7
22,3,45,D7913
22,4,49,D7913
23,1,42,B-7
23,2,49,B-7
23,3,48,B-7
23,4,37,B-7
24,1,37,E7913
24,2,47,E7913
24,3,37,D-7
24,4,45,D-7
25,1,44,C#-7
25,2,45,C#-7
25,3,44,C#-7
25,4,37,C#-7
26,1,38,F#7913
26,2,48,F#7913
26,3,38,F#7913
26,4,50,F#7913
27,1,47,D-7
27,2,47,D-7
27,3,47,D-7
27,4,47,D-7
28,1,47,C-7
28,2,47,C-7
28,3,47,C-7
28,4,47,C-7
29,1,47,D-7
29,2,47,D-7
29,3,47,D-7
29,4,47,D-7
30,1,47,C-7
30,2,47,C-7
30,3,47,C-7
30,4,47,C-7
31,1,34,Dbj7
31,2,34,Dbj7
31,3,34,Dbj7
31,4,47,Dbj7
32,1,34,Bb79b13
32,2,34,Bb79b13
32,3,34,Bb79b13
32,4,34,Bb79b13
33,1,34,C79#
33,2,34,C79#
33,3,34,C79#
33,4,34,C79#
34,1,45,G79#
34,2,34,G79#
34,3,40,G79#
34,4,45,G79#
35,1,43,C-7
35,2,45,C-7
35,3,42,C-7
35,4,50,C-7
36,1,51,Ab7911#
36,2,37,Ab7911#
36,3,50,Ab7911#
36,4,50,Ab7911#
37,1,37,C-7
37,2,50,C-7
37,3,43,C-7
37,4,37,C-7
38,1,40,A-7
38,2,47,A-7
38,3,37,D7
38,4,45,D7
39,1,37,Gj7
39,2,37,Gj7
39,3,45,Gj7
39,4,37,Gj7
40,1,37,Ab-7
40,2,37,Ab-7
40,3,37,Ab-7
40,4,37,Ab-7
41,1,37,F-7
41,2,38,F-7
41,3,37,F-7
41,4,43,F-7
42,1,48,F-7
42,2,37,F-7
42,3,48,F-7
42,4,37,F-7
43,1,37,C-7
43,2,50,C-7
43,3,50,C-7
43,4,50,C-7
44,1,43,C-7
44,2,42,C-7
44,3,41,C-7
44,4,49,C-7
45,1,40,A-7911
45,2,47,A-7911
45,3,37,A-7911
45,4,37,A-7911
46,1,45,D7913
46,2,37,D7913
46,3,40,D7913
46,4,45,D7913
47,1,50,Gj7
47,2,50,Gj7
47,3,50,Gj7
47,4,50,Gj7
48,1,50,G7913
48,2,50,G7913
48,3,50,G7913
48,4,50,G7913
49,1,50,A
49,2,50,A
49,3,50,A
49,4,50,A
50,1,50,Ebm7b5
50,2,50,Ebm7b5
50,3,50,Ebm7b5
50,4,50,Ebm7b5
51,1,48,F7913
51,2,48,F7913
51,3,48,F7913
51,4,48,F7913
52,1,48,F79b13
52,2,48,F79b13
52,3,48,F79b13
52,4,48,F79b13
53,1,48,F7913
53,2,48,F7913
53,3,48,F7913
53,4,50,F7913
54,1,47,E-79
54,2,42,E-79
54,3,47,D-7
54,4,37,D-7
55,1,49,C#-7
55,2,50,C#-7
55,3,51,C#-7
55,4,50,C#-7
56,1,37,F#7913
56,2,40,F#7913
56,3,45,F#7913
56,4,50,F#7913
57,1,42,Dj7
57,2,50,Dj7
57,3,42,Dj7
57,4,48,Dj7
58,1,47,Cj7
58,2,42,Cj7
58,3,47,Cj7
58,4,45,Cj7
59,1,44,Dj7
59,2,51,Dj7
59,3,50,Dj7
59,4,50,Dj7
60,1,37,Cj7
60,2,37,Cj7
60,3,37,Cj7
60,4,49,Cj7
61,1,47,Dbj7
61,2,47,Dbj7
61,3,47,Dbj7
61,4,49,Dbj7
62,1,47,Bb79b13
62,2,47,Bb79b13
62,3,47,Bb79b13
62,4,42,Bb79b13
63,1,47,C79#
63,2,47,C79#
63,3,47,C79#
63,4,49,C79#
64,1,47,G79#
64,2,47,G79#
64,3,37,G79#
64,4,42,G79#
65,1,48,G79#
65,2,45,G79#
65,3,45,G79#
65,4,37,G79#
66,1,45,G79#
