bar,beat,note,chord
1,1,51,Ab6
1,2,37,Ab6
1,3,50,Ab6
1,4,51,Ab6
2,1,51,Ab6
2,2,51,Ab6
2,3,51,Ab6
2,4,43,Ab6
3,1,44,Db7
3,2,48,Db7
3,3,49,Db7
3,4,50,Db7
4,1,50,Db7
4,2,50,Db7
4,3,50,Db7
4,4,37,Db7
5,1,37,Abj7
5,2,50,Abj7
5,3,50,Abj7
5,4,50,Abj7
6,1,50,F-7
6,2,50,F-7
6,3,50,F-7
6,4,50,F-7
7,1,50,Bb-7
7,2,50,Bb-7
7,3,50,Bb-7
7,4,50,Bb-7
8,1,38,Eb7
8,2,50,Eb7
8,3,50,Eb7
8,4,50,Eb7
9,1,50,Ab6
9,2,50,Ab6
9,3,50,Ab6
9,4,50,Ab6
10,1,50,Ab6
10,2,50,Ab6
10,3,50,Ab6
10,4,50,Ab6
11,1,44,Db7
11,2,44,Db7
11,3,44,Db7
11,4,44,Db7
12,1,48,Db7
12,2,48,Db7
12,3,45,Db7
12,4,45,Db7
13,1,47,C-7
13,2,42,C-7
13,3,50,F-7
13,4,48,F-7
14,1,41,Bb-7
14,2,41,Bb-7
14,3,47,Eb7
14,4,50,Eb7
15,1,51,Abj7
15,2,51,Abj7
15,3,48,Abj7
15,4,50,Abj7
16,1,50,Abj7
16,2,42,Abj7
16,3,42,Abj7
16,4,51,Abj7
17,1,50,G-7
17,2,37,G-7
17,3,50,G-7
17,4,50,G-7
18,1,50,C7
18,2,48,C7
18,3,47,C7
18,4,50,C7
19,1,49,F-7
19,2,51,F-7
19,3,50,F-7
19,4,50,F-7
20,1,50,F-7
20,2,50,F-7
20,3,49,F-7
20,4,50,F-7
21,1,50,Cm7b5
21,2,41,Cm7b5
21,3,41,Cm7b5
21,4,41,Cm7b5
22,1,42,F7alt
22,2,48,F7alt
22,3,50,F7alt
22,4,40,F7alt
23,1,42,Bb7
23,2,42,Bb7
23,3,44,Bb7
23,4,44,Bb7
24,1,47,Eb7
24,2,50,Eb7
24,3,50,Eb7
24,4,50,Eb7
25,1,37,Abj7
25,2,37,Abj7
25,3,50,Abj7
25,4,50,Abj7
26,1,50,Abj7
26,2,50,Abj7
26,3,50,Abj7
26,4,50,Abj7
27,1,50,Db7
27,2,50,Db7
27,3,50,Db7
27,4,42,Db7
28,1,50,Db7
28,2,50,Db7
28,3,38,Db7
28,4,50,Db7
29,1,50,C-7
29,2,42,C-7
29,3,48,F-7
29,4,51,F-7
30,1,50,Bb-7
30,2,50,Bb-7
30,3,50,Eb7
30,4,50,Eb7
31,1,50,Ab6
31,2,50,Ab6
31,3,50,Ab6
31,4,48,Ab6
32,1,50,Bb-7
32,2,45,Bb-7
32,3,42,Eb7
32,4,50,Eb7
33,1,51,Ab6
33,2,51,Ab6
33,3,51,Ab6
33,4,51,Ab6
34,1,51,Ab6
34,2,51,Ab6
34,3,51,Ab6
34,4,50,Ab6
35,1,44,Db7
35,2,44,Db7
35,3,44,Db7
35,4,44,Db7
36,1,44,Db7
36,2,44,Db7
36,3,48,Db7
36,4,45,Db7
37,1,42,Abj7
37,2,42,Abj7
37,3,44,Abj7
37,4,44,Abj7
38,1,43,Abj7
38,2,50,Abj7
38,3,49,Abj7
38,4,37,Abj7
39,1,50,Bb-7
39,2,45,Bb-7
39,3,50,Bb-7
39,4,48,Bb-7
40,1,45,Eb7
40,2,47,Eb7
40,3,48,Eb7
40,4,50,Eb7
41,1,50,Abj7
41,2,50,Abj7
41,3,50,Abj7
41,4,50,Abj7
42,1,50,Abj7
42,2,50,Abj7
42,3,50,Abj7
42,4,50,Abj7
43,1,50,Db7
43,2,48,Db7
43,3,51,Db7
43,4,50,Db7
44,1,50,Db7
44,2,42,Db7
44,3,50,Db7
44,4,50,Db7
45,1,50,C-7
45,2,50,C-7
45,3,50,F-7
45,4,50,F-7
46,1,50,Bb-7
46,2,50,Bb-7
46,3,50,Eb7
46,4,43,Eb7
47,1,50,Ab6
47,2,50,Ab6
47,3,50,Ab6
47,4,45,Ab6
48,1,47,Ab6
48,2,50,Ab6
48,3,51,Ab6
48,4,50,Ab6
49,1,50,G-7
49,2,43,G-7
49,3,41,G-7
49,4,42,G-7
50,1,50,C7
50,2,50,C7
50,3,37,C7
50,4,49,C7
51,1,37,F-7
51,2,37,F-7
51,3,50,F-7
51,4,50,F-7
52,1,50,F-7
52,2,51,F-7
52,3,50,F-7
52,4,50,F-7
53,1,43,Cm7b5
53,2,49,Cm7b5
53,3,49,Cm7b5
53,4,49,Cm7b5
54,1,48,F7alt
54,2,48,F7alt
54,3,48,F7alt
54,4,49,F7alt
55,1,50,Bb-7
55,2,51,Bb-7
55,3,47,Bb-7
55,4,42,Bb-7
56,1,42,Eb7
56,2,37,Eb7
56,3,42,Eb7
56,4,50,Eb7
57,1,47,Ab6
57,2,49,Ab6
57,3,49,Ab6
57,4,50,Ab6
58,1,50,Ab6
58,2,50,Ab6
58,3,50,Ab6
58,4,45,Ab6
59,1,44,Db7
59,2,48,Db7
59,3,49,Db7
59,4,50,Db7
60,1,50,Db7
60,2,44,Db7
60,3,37,Db7
60,4,37,Db7
61,1,37,C-7
61,2,50,C-7
61,3,38,F-7
61,4,43,F-7
62,1,50,Bb-7
62,2,50,Bb-7
62,3,50,Eb7
62,4,50,Eb7
63,1,50,Ab6
63,2,47,Ab6
63,3,44,Ab6
63,4,45,Ab6
64,1,47,Bb-7
64,2,47,Bb-7
64,3,48,Eb7
64,4,50,Eb7
65,1,51,Ab6
65,2,51,Ab6
65,3,48,Ab6
65,4,50,Ab6
66,1,50,Ab6
66,2,50,Ab6
66,3,42,Ab6
66,4,50,Ab6
67,1,50,Db7
