bar,beat,note,chord
1,1,34,Eb7
1,2,45,Eb7
1,3,43,Eb7
1,4,42,Eb7
2,1,41,Eb7
2,2,42,Eb7
2,3,43,Eb7
2,4,45,Eb7
3,1,34,Eb7
3,2,50,Eb7
3,3,51,Eb7
3,4,37,Eb7
4,1,41,Eb7
4,2,37,Eb7
4,3,51,Eb7
4,4,50,Eb7
5,1,51,Ab7
5,2,49,Ab7
5,3,48,Ab7
5,4,47,Ab7
6,1,34,Ab7
6,2,42,Ab7
6,3,51,Ab7
6,4,52,Ab7
7,1,41,Bb7
7,2,41,Bb7
7,3,51,Bb7
7,4,52,Bb7
8,1,41,Bb7
8,2,45,Bb7
8,3,50,Bb7
8,4,48,Bb7
9,1,34,Eb7
9,2,45,Eb7
9,3,43,Eb7
9,4,42,Eb7
10,1,41,Bb-7
10,2,44,Bb-7
10,3,34,Eb7
10,4,41,Eb7
11,1,51,Ab7
11,2,52,Ab7
11,3,41,Ab7
11,4,51,Ab7
12,1,37,Ao
12,2,43,Ao
12,3,40,Ao
12,4,47,Ao
13,1,34,Eb7
13,2,45,Eb7
13,3,43,C7
13,4,47,C7
14,1,48,F-7
14,2,40,F-7
14,3,41,Bb7
14,4,45,Bb7
15,1,34,Eb7
15,2,50,Eb7
15,3,51,Eb7
15,4,52,Eb7
16,1,41,Eb7
16,2,41,Eb7
16,3,43,Eb7
16,4,45,Eb7
17,1,45,Eb7
17,2,50,Eb7
17,3,51,Eb7
17,4,52,Eb7
18,1,41,Eb7
18,2,42,Eb7
18,3,43,Eb7
18,4,37,Eb7
19,1,37,Eb7
19,2,42,Eb7
19,3,43,Eb7
19,4,43,Eb7
20,1,41,Eb7
20,2,50,Eb7
20,3,48,Eb7
20,4,47,Eb7
21,1,34,Ab7
21,2,42,Ab7
21,3,34,Ab7
21,4,41,Ab7
22,1,51,Ab7
22,2,41,Ab7
22,3,43,Ab7
22,4,42,Ab7
23,1,41,Bb7
23,2,41,Bb7
23,3,51,Bb7
23,4,37,Bb7
24,1,41,Bb7
24,2,45,Bb7
24,3,50,Bb7
24,4,48,Bb7
25,1,34,Eb7
25,2,45,Eb7
25,3,43,Eb7
25,4,42,Eb7
26,1,41,Bb-7
26,2,41,Bb-7
26,3,40,Eb7
26,4,37,Eb7
27,1,51,Ab7
27,2,52,Ab7
27,3,41,Ab7
27,4,51,Ab7
28,1,37,Ao
28,2,43,Ao
28,3,40,Ao
28,4,47,Ao
29,1,34,Eb7
29,2,50,Eb7
29,3,42,C7
29,4,43,C7
30,1,48,F-7
30,2,40,F-7
30,3,41,Bb7
30,4,45,Bb7
31,1,45,Eb7
31,2,50,Eb7
31,3,51,Eb7
31,4,52,Eb7
32,1,41,Eb7
32,2,41,Eb7
32,3,43,Eb7
32,4,45,Eb7
33,1,34,Eb7
33,2,45,Eb7
33,3,43,Eb7
33,4,42,Eb7
34,1,41,Eb7
34,2,42,Eb7
34,3,43,Eb7
34,4,45,Eb7
35,1,34,Eb7
35,2,50,Eb7
35,3,51,Eb7
35,4,37,Eb7
36,1,37,Eb7
36,2,43,Eb7
36,3,37,Eb7
36,4,42,Eb7
37,1,43,Ab7
37,2,37,Ab7
37,3,43,Ab7
37,4,42,Ab7
38,1,41,Ab7
38,2,37,Ab7
38,3,51,Ab7
38,4,37,Ab7
39,1,41,Bb7
39,2,41,Bb7
39,3,51,Bb7
39,4,52,Bb7
40,1,41,Bb7
40,2,45,Bb7
40,3,50,Bb7
40,4,37,Bb7
41,1,37,Eb7
41,2,42,Eb7
41,3,45,Eb7
41,4,43,Eb7
42,1,41,Bb-7
42,2,50,Bb-7
42,3,48,Eb7
42,4,47,Eb7
43,1,42,Ab7
43,2,43,Ab7
43,3,42,Ab7
43,4,41,Ab7
44,1,40,Ao
44,2,43,Ao
44,3,34,Ao
44,4,38,Ao
45,1,37,Eb7
45,2,41,Eb7
45,3,42,C7
45,4,43,C7
46,1,48,F-7
46,2,40,F-7
46,3,41,Bb7
46,4,45,Bb7
47,1,34,Eb7
47,2,50,Eb7
47,3,51,Eb7
47,4,52,Eb7
48,1,37,Eb7
48,2,45,Eb7
48,3,50,Eb7
48,4,42,Eb7
49,1,37,Eb7
49,2,37,Eb7
49,3,44,Eb7
49,4,42,Eb7
50,1,37,Eb7
50,2,51,Eb7
50,3,50,Eb7
50,4,41,Eb7
51,1,34,Eb7
51,2,45,Eb7
51,3,43,Eb7
51,4,42,Eb7
52,1,41,Eb7
52,2,41,Eb7
52,3,34,Eb7
52,4,41,Eb7
53,1,51,Ab7
53,2,41,Ab7
53,3,43,Ab7
53,4,42,Ab7
54,1,50,Ab7
54,2,49,Ab7
54,3,48,Ab7
54,4,45,Ab7
55,1,47,Bb7
55,2,41,Bb7
55,3,51,Bb7
55,4,52,Bb7
56,1,41,Bb7
56,2,45,Bb7
56,3,50,Bb7
56,4,48,Bb7
57,1,34,Eb7
57,2,45,Eb7
57,3,43,Eb7
57,4,42,Eb7
58,1,41,Bb-7
58,2,41,Bb-7
58,3,52,Eb7
58,4,40,Eb7
59,1,38,Ab7
59,2,43,Ab7
59,3,44,Ab7
59,4,45,Ab7
60,1,45,Ao
60,2,43,Ao
60,3,40,Ao
60,4,52,Ao
61,1,41,Eb7
61,2,34,Eb7
61,3,47,C7
61,4,50,C7
62,1,48,F-7
62,2,52,F-7
62,3,41,Bb7
62,4,41,Bb7
63,1,45,Eb7
63,2,50,Eb7
63,3,51,Eb7
63,4,37,Eb7
64,1,41,Eb7
64,2,45,Eb7
64,3,50,Eb7
64,4,37,Eb7
65,1,37,Eb7
65,2,37,Eb7
65,3,37,Eb7
65,4,37,Eb7
66,1,37,Eb7
66,2,42,Eb7
66,3,41,Eb7
66,4,38,Eb7
67,1,37,Eb7
67,2,50,Eb7
67,3,51,Eb7
67,4,52,Eb7
68,1,41,Eb7
68,2,37,Eb7
68,3,51,Eb7
68,4,50,Eb7
69,1,51,Ab7
69,2,51,Ab7
69,3,38,Ab7
69,4,37,Ab7
70,1,37,Ab7
70,2,40,Ab7
70,3,51,Ab7
70,4,37,Ab7
71,1,37,Bb7
71,2,41,Bb7
71,3,51,Bb7
71,4,40,Bb7
72,1,41,Bb7
72,2,37,Bb7
72,3,38,Bb7
72,4,37,Bb7
73,1,37,Eb7
73,2,50,Eb7
73,3,51,Eb7
73,4,52,Eb7
74,1,41,Bb-7
74,2,52,Bb-7
74,3,51,Eb7
74,4,50,Eb7
75,1,51,Ab7
75,2,50,Ab7
75,3,48,Ab7
75,4,47,Ab7
76,1,47,Ao
76,2,43,Ao
76,3,40,Ao
76,4,37,Ao
77,1,50,Eb7
77,2,41,Eb7
77,3,43,C7
77,4,47,C7
78,1,48,F-7
78,2,40,F-7
78,3,41,Bb7
78,4,45,Bb7
79,1,45,Eb7
79,2,50,Eb7
79,3,51,Eb7
79,4,52,Eb7
80,1,41,Eb7
80,2,52,Eb7
80,3,51,Eb7
80,4,37,Eb7
81,1,37,Eb7
