bar,beat,note,chord
1,1,50,NC
1,2,50,NC
1,3,43,NC
1,4,42,NC
2,1,42,NC
2,2,40,NC
2,3,38,NC
2,4,40,NC
3,1,40,NC
3,2,42,NC
3,3,42,NC
3,4,50,NC
4,1,45,NC
4,2,50,NC
4,3,50,NC
4,4,49,NC
5,1,50,NC
5,2,50,NC
5,3,50,NC
5,4,45,NC
6,1,42,NC
6,2,45,NC
6,3,42,NC
6,4,45,NC
7,1,42,NC
7,2,45,NC
7,3,42,NC
7,4,45,NC
8,1,42,NC
8,2,42,NC
8,3,42,NC
8,4,51,NC
9,1,50,NC
9,2,42,NC
9,3,42,NC
9,4,45,NC
10,1,45,NC
10,2,50,NC
10,3,50,NC
10,4,45,NC
11,1,42,NC
11,2,42,NC
11,3,42,NC
11,4,50,NC
12,1,47,NC
12,2,50,NC
12,3,40,NC
12,4,40,NC
13,1,37,NC
13,2,50,NC
13,3,50,NC
13,4,37,NC
14,1,42,NC
14,2,42,NC
14,3,37,NC
14,4,42,NC
15,1,42,NC
15,2,37,NC
15,3,38,NC
15,4,37,NC
16,1,50,NC
16,2,50,NC
16,3,51,NC
16,4,50,NC
17,1,50,NC
17,2,50,NC
17,3,50,NC
17,4,50,NC
18,1,50,NC
18,2,37,NC
18,3,37,NC
18,4,50,NC
19,1,50,NC
19,2,50,NC
19,3,38,NC
19,4,38,NC
20,1,38,NC
20,2,38,NC
20,3,50,NC
20,4,50,NC
21,1,51,NC
21,2,51,NC
21,3,51,NC
21,4,38,NC
22,1,47,NC
22,2,42,NC
22,3,42,NC
22,4,42,NC
23,1,42,NC
23,2,47,NC
23,3,47,NC
23,4,37,NC
24,1,37,NC
24,2,42,NC
24,3,42,NC
24,4,42,NC
25,1,42,NC
25,2,42,NC
25,3,42,NC
25,4,37,NC
26,1,37,NC
26,2,37,NC
26,3,50,NC
26,4,50,NC
27,1,44,Db/Ab
27,2,43,Db/Ab
27,3,44,Db/Ab
27,4,44,Db/Ab
28,1,39,Db/Ab
28,2,39,Db/Ab
28,3,40,Db/Ab
28,4,37,Db/Ab
29,1,44,Db/Ab
29,2,44,Db/Ab
29,3,44,Db/Ab
29,4,44,Db/Ab
30,1,44,Db/Ab
30,2,44,Db/Ab
30,3,37,Db/Ab
30,4,48,Db/Ab
31,1,44,Db/Ab
31,2,44,Db/Ab
31,3,44,Db/Ab
31,4,44,Db/Ab
32,1,39,Db/Ab
32,2,39,Db/Ab
32,3,37,Db/Ab
32,4,42,Db/Ab
33,1,44,Db/Ab
33,2,44,Db/Ab
33,3,44,Db/Ab
33,4,44,Db/Ab
34,1,44,Db/Ab
34,2,44,Db/Ab
34,3,43,Db/Ab
34,4,43,Db/Ab
35,1,44,Db/Ab
35,2,44,Db/Ab
35,3,44,Db/Ab
35,4,44,Db/Ab
36,1,39,Db/Ab
36,2,39,Db/Ab
36,3,37,Db/Ab
36,4,38,Db/Ab
37,1,47,Db/Ab
37,2,44,Db/Ab
37,3,44,Db/Ab
37,4,44,Db/Ab
38,1,44,Db/Ab
38,2,44,Db/Ab
38,3,44,Db/Ab
38,4,43,Db/Ab
39,1,44,Db/Ab
39,2,44,Db/Ab
39,3,44,Db/Ab
39,4,44,Db/Ab
40,1,38,Db/Ab
40,2,39,Db/Ab
40,3,40,Db/Ab
40,4,40,Db/Ab
41,1,37,Db/Ab
41,2,38,Db/Ab
41,3,38,Db/Ab
41,4,38,Db/Ab
42,1,37,Db/Ab
42,2,50,Db/Ab
42,3,50,Db/Ab
42,4,50,Db/Ab
43,1,50,NC
43,2,43,NC
43,3,42,NC
43,4,41,NC
44,1,40,NC
44,2,38,NC
44,3,38,NC
44,4,40,NC
45,1,42,NC
45,2,42,NC
45,3,45,NC
45,4,45,NC
46,1,50,NC
46,2,50,NC
46,3,50,NC
46,4,44,NC
47,1,37,NC
47,2,50,NC
47,3,50,NC
47,4,42,NC
48,1,44,NC
48,2,43,NC
48,3,44,NC
48,4,42,NC
49,1,37,NC
49,2,37,NC
49,3,37,NC
49,4,37,NC
50,1,37,NC
50,2,38,NC
50,3,42,NC
50,4,42,NC
51,1,50,NC
51,2,43,NC
51,3,39,NC
51,4,50,NC
52,1,39,NC
52,2,42,NC
52,3,42,NC
52,4,37,NC
53,1,50,NC
53,2,50,NC
53,3,48,NC
53,4,47,NC
54,1,45,NC
54,2,45,NC
54,3,42,NC
54,4,42,NC
55,1,50,NC
55,2,42,NC
55,3,45,NC
55,4,47,NC
56,1,50,NC
56,2,45,NC
56,3,45,NC
56,4,50,NC
57,1,37,NC
57,2,37,NC
57,3,42,NC
57,4,50,NC
58,1,44,NC
58,2,42,NC
58,3,42,NC
58,4,37,NC
59,1,37,NC
59,2,42,NC
59,3,39,NC
59,4,37,NC
60,1,37,NC
60,2,42,NC
60,3,42,NC
60,4,42,NC
61,1,44,NC
61,2,43,NC
61,3,37,NC
61,4,50,NC
62,1,50,NC
62,2,37,NC
62,3,50,NC
62,4,50,NC
63,1,42,NC
63,2,42,NC
63,3,45,NC
63,4,45,NC
64,1,50,NC
64,2,50,NC
64,3,50,NC
64,4,50,NC
65,1,50,NC
65,2,50,NC
65,3,50,NC
65,4,48,NC
66,1,47,NC
66,2,45,NC
66,3,47,NC
66,4,42,NC
67,1,50,NC
67,2,37,NC
67,3,37,NC
67,4,48,NC
68,1,48,NC
68,2,38,NC
68,3,40,NC
68,4,40,NC
69,1,42,NC
69,2,42,NC
69,3,50,NC
69,4,50,NC
70,1,47,NC
70,2,47,NC
70,3,50,NC
70,4,50,NC
71,1,45,NC
71,2,43,NC
71,3,43,NC
71,4,45,NC
72,1,47,NC
72,2,48,NC
72,3,38,NC
72,4,37,NC
73,1,38,NC
73,2,37,NC
73,3,42,NC
73,4,42,NC
74,1,37,NC
74,2,42,NC
74,3,42,NC
74,4,37,NC
75,1,50,NC
75,2,50,NC
75,3,43,NC
75,4,44,NC
76,1,45,NC
76,2,47,NC
76,3,47,NC
76,4,42,NC
77,1,37,NC
77,2,51,NC
77,3,51,NC
77,4,44,NC
78,1,45,NC
78,2,50,NC
78,3,50,NC
78,4,50,NC
79,1,47,NC
79,2,47,NC
79,3,50,NC
79,4,42,NC
80,1,37,NC
80,2,37,NC
80,3,37,NC
80,4,37,NC
81,1,42,NC
81,2,50,NC
81,3,42,NC
81,4,42,NC
82,1,42,NC
82,2,37,NC
82,3,37,NC
82,4,42,NC
83,1,44,NC
83,2,42,NC
83,3,42,NC
83,4,42,NC
84,1,47,NC
84,2,42,NC
84,3,42,NC
84,4,43,NC
85,1,43,NC
85,2,43,NC
85,3,43,NC
85,4,43,NC
86,1,43,NC
86,2,42,NC
