bar,beat,note,chord
1,1,38,Eb7
1,2,42,Eb7
1,3,41,Eb7
1,4,44,Eb7
2,1,51,Ab7
2,2,47,Ab7
2,3,51,Ab7
2,4,37,Ab7
3,1,41,Eb7
3,2,37,Eb7
3,3,51,Eb7
3,4,50,Eb7
4,1,43,Eb7
4,2,43,Eb7
4,3,41,Eb7
4,4,41,Eb7
5,1,38,Ab7
5,2,43,Ab7
5,3,44,Ab7
5,4,45,Ab7
6,1,47,Ab7
6,2,51,Ab7
6,3,37,Ab7
6,4,47,Ab7
7,1,41,Eb7
7,2,37,Eb7
7,3,51,Eb7
7,4,50,Eb7
8,1,48,C7
8,2,47,C7
8,3,42,C7
8,4,50,C7
9,1,48,F-7
9,2,50,F-7
9,3,51,F-7
9,4,37,F-7
10,1,41,Bb7
10,2,45,Bb7
10,3,50,Bb7
10,4,41,Bb7
11,1,42,Eb7
11,2,45,Eb7
11,3,43,Eb7
11,4,42,Eb7
12,1,41,Eb7
12,2,42,Eb7
12,3,43,Eb7
12,4,45,Eb7
13,1,47,Eb7
13,2,47,Eb7
13,3,50,Eb7
13,4,50,Eb7
14,1,51,Ab7
14,2,37,Ab7
14,3,41,Ab7
14,4,38,Ab7
15,1,51,Eb7
15,2,41,Eb7
15,3,43,Eb7
15,4,42,Eb7
16,1,41,Eb7
16,2,43,Eb7
16,3,44,Eb7
16,4,42,Eb7
17,1,37,Ab7
17,2,38,Ab7
17,3,38,Ab7
17,4,38,Ab7
18,1,37,Ab7
18,2,38,Ab7
18,3,37,Ab7
18,4,37,Ab7
19,1,50,Eb7
19,2,50,Eb7
19,3,43,Eb7
19,4,42,Eb7
20,1,41,C7
20,2,50,C7
20,3,43,C7
20,4,47,C7
21,1,48,F-7
21,2,51,F-7
21,3,43,F-7
21,4,47,F-7
22,1,45,Bb7
22,2,38,Bb7
22,3,41,Bb7
22,4,45,Bb7
23,1,45,Eb7
23,2,50,Eb7
23,3,51,Eb7
23,4,38,Eb7
24,1,41,Eb7
24,2,44,Eb7
24,3,38,Eb7
24,4,37,Eb7
25,1,37,Eb7
25,2,41,Eb7
25,3,37,Eb7
25,4,37,Eb7
26,1,38,Ab7
26,2,37,Ab7
26,3,38,Ab7
26,4,42,Ab7
27,1,38,Eb7
27,2,37,Eb7
27,3,37,Eb7
27,4,43,Eb7
28,1,41,Eb7
28,2,43,Eb7
28,3,50,Eb7
28,4,37,Eb7
29,1,51,Ab7
29,2,49,Ab7
29,3,48,Ab7
29,4,47,Ab7
30,1,42,Ab7
30,2,51,Ab7
30,3,38,Ab7
30,4,47,Ab7
31,1,41,Eb7
31,2,37,Eb7
31,3,51,Eb7
31,4,50,Eb7
32,1,48,C7
32,2,47,C7
32,3,42,C7
32,4,50,C7
33,1,43,F-7
33,2,43,F-7
33,3,43,F-7
33,4,42,F-7
34,1,41,Bb7
34,2,42,Bb7
34,3,43,Bb7
34,4,45,Bb7
35,1,47,Eb7
35,2,50,Eb7
35,3,43,Eb7
35,4,42,Eb7
36,1,41,Eb7
36,2,42,Eb7
36,3,43,Eb7
36,4,45,Eb7
37,1,47,Eb7
37,2,47,Eb7
37,3,50,Eb7
37,4,50,Eb7
38,1,51,Ab7
38,2,51,Ab7
38,3,37,Ab7
38,4,37,Ab7
39,1,41,Eb7
39,2,37,Eb7
39,3,51,Eb7
39,4,50,Eb7
40,1,48,Eb7
40,2,47,Eb7
40,3,47,Eb7
40,4,37,Eb7
41,1,51,Ab7
41,2,41,Ab7
41,3,43,Ab7
41,4,49,Ab7
42,1,48,Ab7
42,2,47,Ab7
42,3,47,Ab7
42,4,51,Ab7
43,1,50,Eb7
43,2,41,Eb7
43,3,42,Eb7
43,4,45,Eb7
44,1,43,C7
44,2,50,C7
44,3,47,C7
44,4,50,C7
45,1,48,F-7
45,2,50,F-7
45,3,51,F-7
45,4,37,F-7
46,1,41,Bb7
46,2,45,Bb7
46,3,50,Bb7
46,4,42,Bb7
47,1,37,Eb7
47,2,44,Eb7
47,3,43,Eb7
47,4,42,Eb7
48,1,41,Eb7
48,2,43,Eb7
48,3,48,Eb7
48,4,43,Eb7
49,1,41,Eb7
49,2,50,Eb7
49,3,43,Eb7
49,4,42,Eb7
50,1,41,Ab7
50,2,42,Ab7
50,3,43,Ab7
50,4,45,Ab7
51,1,47,Eb7
51,2,50,Eb7
51,3,43,Eb7
51,4,42,Eb7
52,1,41,Eb7
52,2,41,Eb7
52,3,47,Eb7
52,4,37,Eb7
53,1,51,Ab7
53,2,41,Ab7
53,3,43,Ab7
53,4,50,Ab7
54,1,48,Ab7
54,2,47,Ab7
54,3,47,Ab7
54,4,51,Ab7
55,1,41,Eb7
55,2,51,Eb7
55,3,50,Eb7
55,4,45,Eb7
56,1,43,C7
56,2,42,C7
56,3,41,C7
56,4,50,C7
57,1,48,F-7
57,2,50,F-7
57,3,43,F-7
57,4,44,F-7
58,1,44,Bb7
58,2,37,Bb7
58,3,38,Bb7
58,4,38,Bb7
59,1,37,Eb7
59,2,50,Eb7
59,3,45,Eb7
59,4,43,Eb7
60,1,41,Eb7
60,2,42,Eb7
60,3,43,Eb7
60,4,45,Eb7
61,1,47,Eb7
61,2,50,Eb7
61,3,43,Eb7
61,4,42,Eb7
62,1,41,Ab7
62,2,42,Ab7
62,3,43,Ab7
62,4,45,Ab7
63,1,47,Eb7
63,2,50,Eb7
63,3,51,Eb7
63,4,37,Eb7
64,1,41,Eb7
64,2,42,Eb7
64,3,40,Eb7
64,4,38,Eb7
65,1,38,Ab7
65,2,43,Ab7
65,3,44,Ab7
65,4,45,Ab7
66,1,42,Ab7
66,2,50,Ab7
66,3,51,Ab7
66,4,37,Ab7
67,1,37,Eb7
67,2,39,Eb7
67,3,43,Eb7
67,4,42,Eb7
68,1,50,C7
68,2,45,C7
68,3,43,C7
68,4,47,C7
69,1,37,F-7
69,2,50,F-7
69,3,38,F-7
69,4,43,F-7
70,1,48,Bb7
70,2,50,Bb7
70,3,51,Bb7
70,4,41,Bb7
71,1,42,Eb7
71,2,45,Eb7
71,3,43,Eb7
71,4,42,Eb7
72,1,41,Eb7
72,2,43,Eb7
72,3,37,Eb7
72,4,41,Eb7
73,1,50,Eb7
73,2,41,Eb7
73,3,47,Eb7
73,4,41,Eb7
74,1,51,Ab7
74,2,50,Ab7
74,3,51,Ab7
74,4,38,Ab7
75,1,41,Eb7
75,2,43,Eb7
75,3,44,Eb7
75,4,37,Eb7
76,1,38,Eb7
76,2,37,Eb7
76,3,37,Eb7
76,4,37,Eb7
77,1,37,Ab7
77,2,37,Ab7
77,3,37,Ab7
77,4,37,Ab7
78,1,37,Ab7
78,2,41,Ab7
78,3,38,Ab7
78,4,37,Ab7
79,1,37,Eb7
79,2,45,Eb7
79,3,43,Eb7
79,4,42,Eb7
80,1,41,C7
80,2,50,C7
80,3,37,C7
80,4,43,C7
81,1,48,F-7
81,2,50,F-7
81,3,51,F-7
81,4,37,F-7
82,1,41,Bb7
82,2,42,Bb7
82,3,41,Bb7
82,4,41,Bb7
83,1,42,Eb7
83,2,50,Eb7
83,3,43,Eb7
83,4,42,Eb7
84,1,41,Eb7
84,2,42,Eb7
84,3,43,Eb7
84,4,45,Eb7
85,1,38,Eb7
85,2,44,Eb7
85,3,38,Eb7
85,4,38,Eb7
86,1,37,Ab7
86,2,38,Ab7
86,3,38,Ab7
86,4,38,Ab7
87,1,38,Eb7
87,2,37,Eb7
87,3,38,Eb7
87,4,37,Eb7
88,1,37,Eb7
88,2,37,Eb7
88,3,38,Eb7
88,4,38,Eb7
89,1,37,Ab7
89,2,37,Ab7
89,3,38,Ab7
89,4,37,Ab7
90,1,37,Ab7
90,2,44,Ab7
90,3,43,Ab7
90,4,42,Ab7
91,1,41,Eb7
91,2,37,Eb7
91,3,51,Eb7
91,4,48,Eb7
92,1,50,F#7
92,2,50,F#7
92,3,43,F#7
92,4,47,F#7
93,1,48,F-7
93,2,50,F-7
93,3,38,F-7
93,4,43,F-7
94,1,48,Bb7
94,2,42,Bb7
94,3,41,Bb7
94,4,45,Bb7
95,1,42,Eb7
95,2,50,Eb7
95,3,43,Eb7
95,4,42,Eb7
96,1,41,Eb7
96,2,42,Eb7
96,3,43,Eb7
96,4,45,Eb7
97,1,50,Eb7
97,2,45,Eb7
