bar,beat,note,chord
1,1,37,Eb-
1,2,37,Eb-
1,3,38,D7
1,4,37,D7
2,1,51,Fb-7
2,2,51,Fb-7
2,3,37,D7
2,4,37,D7
3,1,37,Dbj7
3,2,37,Dbj7
3,3,37,Eb-7
3,4,38,Eb-7
4,1,48,F-7
4,2,37,F-7
4,3,38,Eo
4,4,37,Eo
5,1,37,Eb-7
5,2,38,Eb-7
5,3,41,Eb-7
5,4,41,Eb-7
6,1,51,C-7
6,2,38,C-7
6,3,52,B7
6,4,40,B7
7,1,41,Bb-7
7,2,37,Bb-7
7,3,37,Eb-7
7,4,37,Ab7
8,1,44,Dbj7
8,2,44,Dbj7
8,3,37,F-7
8,4,42,Bb7
9,1,41,Eb-
9,2,38,Eb-
9,3,38,D7
9,4,37,E7
10,1,51,Eb-7
10,2,38,Eb-7
10,3,37,D7
10,4,37,Eb
11,1,37,Dbj7
11,2,37,Dbj7
11,3,37,Eb-7
11,4,37,Eb-7
12,1,48,F-7
12,2,40,F-7
12,3,37,Eo
12,4,37,Eo
13,1,37,Eb-7
13,2,37,Eb-7
13,3,37,D7
13,4,38,D7
14,1,51,C-7
14,2,38,C-7
14,3,52,B7
14,4,37,B7
15,1,41,Bb-7
15,2,37,Bb-7
15,3,52,Eb-7
15,4,42,Ab7
16,1,44,Db
16,2,37,Db
16,3,38,E-7
16,4,51,A7
17,1,42,Dj7
17,2,37,Dj7
17,3,37,E-7
17,4,41,E-7
18,1,38,B-7
18,2,41,B-7
18,3,50,G-7
18,4,37,G-7
19,1,52,F#-7
19,2,37,F#-7
19,3,38,E-7
19,4,41,E-7
20,1,37,Dj7
20,2,37,Dj7
20,3,52,Dj7
20,4,52,Dj7
21,1,42,D-7
21,2,38,D-7
21,3,37,G7
21,4,42,G7
22,1,42,Cj7
22,2,37,Cj7
22,3,37,Ebo
22,4,37,Ebo
23,1,44,D-7
23,2,37,D-7
23,3,50,G7
23,4,37,G7
24,1,42,C7
24,2,38,B7
24,3,37,Bb7
24,4,38,Bb7
25,1,37,Eb-
25,2,37,Eb-
25,3,41,D7
25,4,38,D7
26,1,41,Eb-7
26,2,41,Eb-7
26,3,38,Ab7
26,4,43,Ab7
27,1,44,Dbj7
27,2,37,Dbj7
27,3,37,Gb7
27,4,37,Gb7
28,1,37,F-7
28,2,37,F-7
28,3,37,Eo
28,4,38,Eo
29,1,37,Eo
29,2,37,Eo
29,3,37,Eo
29,4,37,Eo
30,1,51,Ab7
30,2,38,Ab7
30,3,38,Ao
30,4,38,Ao
31,1,41,Bb-7
31,2,37,Bb-7
31,3,52,Eb-7
31,4,37,Eb-7
32,1,38,Db
32,2,37,Db
32,3,37,F-7
32,4,37,Bb7
33,1,41,Eb-
33,2,41,Eb-
33,3,41,Eb-
