bar,beat,note,chord
1,1,48,F79#
1,2,41,F79#
1,3,51,F79#
1,4,51,F79#
2,1,41,F79#
2,2,38,F79#
2,3,38,F79#
2,4,40,F79#
3,1,47,F79#
3,2,42,F79#
3,3,51,F79#
3,4,51,F79#
4,1,48,F79#
4,2,51,F79#
4,3,48,F79#
4,4,48,F79#
5,1,48,F79#
5,2,41,F79#
5,3,51,F79#
5,4,40,F79#
6,1,37,F79#
6,2,51,F79#
6,3,41,F79#
6,4,48,F79#
7,1,47,F79#
7,2,42,F79#
7,3,51,F79#
7,4,51,F79#
8,1,51,F79#
8,2,51,F79#
8,3,37,F79#
8,4,47,F79#
9,1,47,F79#
9,2,41,F79#
9,3,51,F79#
9,4,51,F79#
10,1,51,F79#
10,2,41,F79#
10,3,38,F79#
10,4,47,F79#
11,1,48,F79#
11,2,34,F79#
11,3,51,F79#
11,4,51,F79#
12,1,51,F79#
12,2,51,F79#
12,3,37,F79#
12,4,40,F79#
13,1,37,F79#
13,2,37,F79#
13,3,51,F79#
13,4,51,F79#
14,1,51,F79#
14,2,51,F79#
14,3,38,F79#
14,4,47,F79#
15,1,48,F79#
15,2,41,F79#
15,3,51,F79#
15,4,51,F79#
16,1,48,F79#
16,2,37,F79#
16,3,48,F79#
16,4,48,F79#
17,1,48,F79#
17,2,48,F79#
17,3,51,F79#
17,4,51,F79#
18,1,51,F79#
18,2,40,F79#
18,3,38,F79#
18,4,48,F79#
19,1,48,F79#
19,2,42,F79#
19,3,42,F79#
19,4,42,F79#
20,1,48,F79#
20,2,45,F79#
20,3,47,F79#
20,4,48,F79#
21,1,48,F79#
21,2,42,F79#
21,3,43,F79#
21,4,42,F79#
22,1,48,F79#
22,2,48,F79#
22,3,47,F79#
22,4,47,F79#
23,1,48,F79#
23,2,47,F79#
23,3,43,F79#
23,4,42,F79#
24,1,48,F79#
24,2,37,F79#
24,3,40,F79#
24,4,48,F79#
25,1,48,F79#
25,2,41,F79#
25,3,42,F79#
25,4,42,F79#
26,1,48,F79#
26,2,42,F79#
26,3,42,F79#
26,4,48,F79#
27,1,48,F79#
27,2,42,F79#
27,3,42,F79#
27,4,41,F79#
28,1,37,F79#
28,2,37,F79#
28,3,48,F79#
28,4,48,F79#
29,1,48,F79#
29,2,34,F79#
29,3,42,F79#
29,4,42,F79#
30,1,41,F79#
30,2,42,F79#
30,3,34,F79#
30,4,47,F79#
31,1,48,F79#
31,2,48,F79#
31,3,42,F79#
31,4,34,F79#
32,1,48,F79#
32,2,37,F79#
32,3,41,F79#
32,4,48,F79#
33,1,48,F79#
33,2,48,F79#
33,3,37,F79#
33,4,37,F79#
34,1,37,F79#
34,2,37,F79#
34,3,41,F79#
34,4,48,F79#
35,1,48,F79#
35,2,48,F79#
35,3,43,F79#
35,4,41,F79#
36,1,37,F79#
36,2,37,F79#
36,3,49,F79#
36,4,48,F79#
37,1,37,F79#
37,2,48,F79#
37,3,43,F79#
37,4,37,F79#
38,1,41,F79#
38,2,37,F79#
38,3,42,F79#
38,4,48,F79#
39,1,48,F79#
39,2,37,F79#
39,3,43,F79#
39,4,42,F79#
40,1,37,F79#
40,2,49,F79#
40,3,49,F79#
40,4,48,F79#
41,1,48,F79#
41,2,42,F79#
41,3,43,F79#
41,4,42,F79#
42,1,43,F79#
42,2,43,F79#
42,3,34,F79#
42,4,47,F79#
43,1,48,F79#
43,2,42,F79#
43,3,42,F79#
43,4,48,F79#
44,1,49,F79#
44,2,37,F79#
44,3,49,F79#
44,4,48,F79#
45,1,48,F79#
45,2,41,F79#
45,3,41,F79#
45,4,48,F79#
46,1,48,F79#
46,2,41,F79#
46,3,45,F79#
46,4,48,F79#
47,1,48,F79#
47,2,40,F79#
47,3,42,F79#
47,4,37,F79#
48,1,37,F79#
48,2,37,F79#
48,3,37,F79#
48,4,41,F79#
49,1,48,F79#
49,2,37,F79#
49,3,40,F79#
49,4,43,F79#
50,1,48,F79#
50,2,38,F79#
50,3,38,F79#
50,4,47,F79#
51,1,48,F79#
51,2,40,F79#
51,3,41,F79#
51,4,42,F79#
52,1,48,F79#
52,2,37,F79#
52,3,37,F79#
52,4,47,F79#
53,1,48,F79#
53,2,41,F79#
53,3,43,F79#
53,4,42,F79#
54,1,43,F79#
54,2,38,F79#
54,3,41,F79#
54,4,51,F79#
55,1,48,F79#
55,2,48,F79#
55,3,42,F79#
55,4,42,F79#
56,1,37,F79#
56,2,37,F79#
56,3,37,F79#
56,4,41,F79#
57,1,48,F79#
57,2,48,F79#
57,3,42,F79#
57,4,41,F79#
58,1,43,F79#
58,2,42,F79#
58,3,42,F79#
58,4,42,F79#
59,1,48,F79#
59,2,48,F79#
59,3,42,F79#
59,4,42,F79#
60,1,37,F79#
60,2,37,F79#
60,3,37,F79#
60,4,48,F79#
61,1,48,F79#
61,2,42,F79#
61,3,41,F79#
61,4,34,F79#
62,1,43,F79#
62,2,42,F79#
62,3,42,F79#
62,4,47,F79#
63,1,48,F79#
63,2,42,F79#
63,3,42,F79#
63,4,43,F79#
64,1,49,F79#
64,2,48,F79#
64,3,49,F79#
64,4,48,F79#
65,1,48,F79#
65,2,42,F79#
65,3,43,F79#
65,4,48,F79#
66,1,43,F79#
66,2,43,F79#
66,3,48,F79#
66,4,48,F79#
67,1,48,F79#
67,2,37,F79#
67,3,43,F79#
67,4,38,F79#
68,1,49,F79#
68,2,49,F79#
68,3,49,F79#
68,4,48,F79#
69,1,42,F79#
69,2,48,F79#
69,3,42,F79#
69,4,42,F79#
70,1,48,F79#
70,2,41,F79#
70,3,42,F79#
70,4,47,F79#
71,1,42,F79#
71,2,42,F79#
71,3,43,F79#
71,4,42,F79#
72,1,37,F79#
72,2,37,F79#
72,3,41,F79#
72,4,41,F79#
73,1,48,F79#
73,2,42,F79#
73,3,42,F79#
73,4,42,F79#
74,1,37,F79#
74,2,42,F79#
74,3,42,F79#
74,4,42,F79#
75,1,37,F79#
75,2,37,F79#
75,3,42,F79#
75,4,42,F79#
76,1,48,F79#
76,2,37,F79#
76,3,49,F79#
76,4,48,F79#
77,1,48,F79#
77,2,48,F79#
77,3,42,F79#
