bar,beat,note,chord
1,1,43,Cj7
1,2,47,D-7
1,3,48,D#o
1,4,37,E-7
2,1,50,E-7
2,2,38,E-7
2,3,42,E-7
2,4,50,E-7
3,1,38,A7
3,2,50,A7
3,3,49,A7
3,4,47,A7
4,1,45,A7
4,2,43,A7
4,3,42,A7
4,4,38,A7
5,1,33,D-7
5,2,43,D-7
5,3,42,D-7
5,4,38,D-7
6,1,45,G7
6,2,43,G7
6,3,38,G7
6,4,50,G7
7,1,43,C
7,2,47,C
7,3,37,C
7,4,49,C
8,1,50,G7
8,2,38,G7
8,3,42,G7
8,4,38,G7
9,1,43,Cj7
9,2,50,D-7
9,3,47,D#o
9,4,38,E-7
10,1,50,E-7
10,2,38,E-7
10,3,43,E-7
10,4,38,E-7
11,1,38,A7
11,2,38,A7
11,3,38,A7
11,4,38,A7
12,1,38,A7
12,2,45,A7
12,3,47,A7
12,4,40,A7
13,1,33,D-7
13,2,43,D-7
13,3,42,D-7
13,4,40,D-7
14,1,50,G7
14,2,37,G7
14,3,42,G7
14,4,50,G7
15,1,43,C
15,2,47,C
15,3,48,C
15,4,50,C
16,1,50,C7
16,2,38,C7
16,3,38,C7
16,4,50,C7
17,1,48,F
17,2,38,F
17,3,50,F
17,4,42,F
18,1,48,F-
18,2,50,F-
18,3,51,F-
18,4,47,F-
19,1,48,E-7
19,2,50,E-7
19,3,43,C
19,4,47,C
20,1,38,C7
20,2,50,C7
20,3,42,C7
20,4,49,C7
21,1,48,F6
21,2,38,F6
21,3,38,F6
21,4,50,F6
22,1,49,F#m7b5
22,2,42,F#m7b5
22,3,42,B79b
22,4,49,B79b
23,1,47,E-7
23,2,38,E-7
23,3,38,D7
23,4,34,D7
24,1,45,D-7
24,2,38,D-7
24,3,50,D-7
24,4,38,D-7
25,1,38,Cj7
25,2,47,D-7
25,3,48,D#o
25,4,49,E-7
26,1,50,E-7
26,2,50,E-7
26,3,42,E-7
26,4,50,E-7
27,1,38,A7
27,2,43,A7
27,3,42,A7
27,4,42,A7
28,1,38,A7
28,2,42,A7
28,3,44,A7
28,4,47,A7
29,1,45,D-
29,2,43,D-
29,3,42,D-
29,4,38,D-
30,1,45,G7
30,2,48,G7
30,3,51,G7
30,4,50,G7
31,1,43,C
31,2,47,C
31,3,38,C
31,4,45,C
32,1,50,C
32,2,38,C
32,3,50,G7
32,4,38,G7
33,1,43,NC
33,2,38,NC
33,3,41,NC
33,4,41,NC
34,1,51,NC
34,2,51,NC
