bar,beat,note,chord
1,1,44,C-7
1,2,44,C-7
1,3,44,C-7
1,4,47,C-7
2,1,48,Dm7b5
2,2,51,Dm7b5
2,3,50,G7
2,4,50,G7
3,1,43,C-7
3,2,49,C-7
3,3,50,C-7
3,4,41,C-7
4,1,51,Dm7b5
4,2,44,Dm7b5
4,3,50,G7
4,4,42,G7
5,1,43,C-7
5,2,44,C-7
5,3,45,C-7
5,4,47,C-7
6,1,48,Dm7b5
6,2,49,Dm7b5
6,3,50,G7
6,4,50,G7
7,1,43,C-7
7,2,40,C-7
7,3,41,C-7
7,4,44,C-7
8,1,51,Dm7b5
8,2,47,Dm7b5
8,3,50,G7
8,4,42,G7
9,1,43,C-7
9,2,44,C-7
9,3,45,C-7
9,4,47,C-7
10,1,48,Dm7b5
10,2,49,Dm7b5
10,3,50,G7
10,4,50,G7
11,1,43,C-7
11,2,48,C-7
11,3,50,C-7
11,4,50,C-7
12,1,51,Dm7b5
12,2,44,Dm7b5
12,3,50,G7
12,4,42,G7
13,1,43,C-7
13,2,44,C-7
13,3,45,C-7
13,4,47,C-7
14,1,48,Dm7b5
14,2,48,Dm7b5
14,3,50,G7
14,4,50,G7
15,1,43,C-7
15,2,43,C-7
15,3,50,C-7
15,4,47,C-7
16,1,47,F-7
16,2,51,F-7
16,3,41,Bb7
16,4,45,Bb7
17,1,45,Ebj7
17,2,47,Ebj7
17,3,41,Ebj7
17,4,51,Ebj7
18,1,50,Gm7b5
18,2,50,Gm7b5
18,3,44,Gm7b5
18,4,42,Gm7b5
19,1,43,C7
19,2,41,C7
19,3,50,C7
19,4,47,C7
20,1,47,C79b
20,2,50,C79b
20,3,43,C79b
20,4,43,C79b
21,1,48,F-
21,2,50,F-
21,3,43,F-
21,4,50,F-
22,1,43,C7
22,2,52,C7
22,3,44,Ab7911#
22,4,37,Ab7911#
23,1,50,D-/G
23,2,50,D-/G
23,3,48,D-/G
23,4,51,D-/G
24,1,45,G7
24,2,50,G7
24,3,45,G7
24,4,42,G7
25,1,43,C-7
25,2,45,C-7
25,3,45,C-7
25,4,47,C-7
26,1,48,Dm7b5
26,2,51,Dm7b5
26,3,50,G7
26,4,50,G7
27,1,44,C-7
27,2,49,C-7
27,3,50,C-7
27,4,41,C-7
28,1,51,Dm7b5
28,2,44,Dm7b5
28,3,50,G7
28,4,42,G7
29,1,43,C-7
29,2,45,C-7
29,3,45,C-7
29,4,47,C-7
30,1,48,Dm7b5
30,2,49,Dm7b5
30,3,50,G7
30,4,50,G7
31,1,50,C-7
31,2,43,C-7
31,3,41,C-7
31,4,41,C-7
32,1,51,G79
32,2,48,G79
32,3,50,G79
32,4,42,G79
33,1,43,C-7
33,2,45,C-7
33,3,45,C-7
33,4,47,C-7
34,1,48,Dm7b5
34,2,51,Dm7b5
34,3,50,G7
34,4,50,G7
35,1,43,C-7
35,2,49,C-7
35,3,50,C-7
35,4,41,C-7
36,1,51,Dm7b5
36,2,44,Dm7b5
36,3,50,G7
36,4,42,G7
37,1,43,C-7
37,2,45,C-7
37,3,45,C-7
37,4,47,C-7
38,1,48,Dm7b5
38,2,49,Dm7b5
38,3,50,G7
38,4,50,G7
39,1,43,C-7
39,2,50,C-7
39,3,41,C-7
39,4,43,C-7
40,1,50,Dm7b5
40,2,51,Dm7b5
40,3,50,G7
40,4,42,G7
41,1,43,C-7
41,2,45,C-7
41,3,34,C-7
41,4,47,C-7
42,1,48,Dm7b5
42,2,51,Dm7b5
42,3,50,G7
42,4,50,G7
43,1,43,C-7
43,2,48,C-7
43,3,50,C-7
43,4,50,C-7
44,1,51,Dm7b5
44,2,50,Dm7b5
44,3,50,G7
44,4,42,G7
45,1,43,C-7
45,2,45,C-7
45,3,45,C-7
45,4,47,C-7
46,1,48,Dm7b5
46,2,49,Dm7b5
46,3,50,G7
46,4,50,G7
47,1,50,C-7
47,2,43,C-7
47,3,41,C-7
47,4,41,C-7
48,1,48,F-7
48,2,51,F-7
48,3,41,Bb7
48,4,45,Bb7
49,1,34,Ebj7
49,2,48,Ebj7
49,3,41,Ebj7
49,4,51,Ebj7
50,1,50,Gm7b5
50,2,41,Gm7b5
50,3,44,Gm7b5
50,4,38,Gm7b5
51,1,43,C7
51,2,50,C7
51,3,41,C7
51,4,50,C7
52,1,43,C79b
52,2,50,C79b
52,3,42,C79b
52,4,43,C79b
53,1,47,F-
53,2,41,F-
53,3,44,F-
53,4,50,F-
54,1,44,C7
54,2,52,C7
54,3,44,Ab7911#
54,4,48,Ab7911#
55,1,50,G7
55,2,50,G7
55,3,47,G7
55,4,51,G7
56,1,34,Dm7b5
56,2,50,Dm7b5
56,3,45,G7
56,4,42,G7
57,1,43,C-7
57,2,45,C-7
57,3,45,C-7
57,4,47,C-7
58,1,47,Dm7b5
58,2,51,Dm7b5
58,3,50,G7
58,4,50,G7
59,1,43,C-7
59,2,49,C-7
59,3,50,C-7
59,4,41,C-7
60,1,51,Dm7b5
60,2,43,Dm7b5
60,3,50,G7
60,4,42,G7
61,1,43,C-7
61,2,45,C-7
61,3,45,C-7
61,4,47,C-7
62,1,48,Dm7b5
62,2,48,Dm7b5
62,3,50,G7
62,4,50,G7
63,1,44,C-7
63,2,43,C-7
63,3,41,C-7
63,4,41,C-7
64,1,51,Dm7b5
64,2,44,Dm7b5
64,3,50,G7
64,4,42,G7
65,1,43,C-7
65,2,45,C-7
65,3,45,C-7
65,4,47,C-7
66,1,48,Dm7b5
66,2,51,Dm7b5
66,3,50,G7
66,4,50,G7
67,1,44,C-7
67,2,48,C-7
67,3,50,C-7
67,4,41,C-7
68,1,51,Dm7b5
68,2,43,Dm7b5
68,3,50,G7
68,4,42,G7
69,1,43,C-7
69,2,45,C-7
69,3,45,C-7
69,4,47,C-7
70,1,48,Dm7b5
70,2,49,Dm7b5
70,3,50,G7
70,4,50,G7
71,1,44,C-7
71,2,43,C-7
71,3,41,C-7
71,4,41,C-7
72,1,51,Dm7b5
72,2,48,Dm7b5
72,3,50,G7
72,4,42,G7
73,1,43,C-7
73,2,45,C-7
73,3,45,C-7
73,4,47,C-7
74,1,48,Dm7b5
74,2,48,Dm7b5
74,3,50,G7
74,4,50,G7
75,1,44,C-7
75,2,48,C-7
75,3,50,C-7
75,4,41,C-7
76,1,51,Dm7b5
76,2,50,Dm7b5
76,3,50,G7
76,4,42,G7
77,1,43,C-7
77,2,44,C-7
77,3,45,C-7
77,4,47,C-7
78,1,48,Dm7b5
78,2,49,Dm7b5
78,3,50,G7
78,4,50,G7
79,1,44,C-7
79,2,43,C-7
79,3,41,C-7
79,4,41,C-7
80,1,48,F-7
80,2,51,F-7
80,3,41,Bb7
80,4,45,Bb7
81,1,34,Ebj7
81,2,48,Ebj7
81,3,41,Ebj7
81,4,51,Ebj7
82,1,50,Gm7b5
82,2,50,Gm7b5
82,3,43,Gm7b5
82,4,41,Gm7b5
83,1,43,C7
83,2,50,C7
83,3,37,C7
83,4,42,C7
84,1,43,C79b
84,2,47,C79b
84,3,52,C79b
84,4,50,C79b
85,1,48,F-
85,2,50,F-
85,3,44,F-
85,4,51,F-
86,1,44,C7
86,2,52,C7
86,3,44,Ab7911#
86,4,49,Ab7911#
87,1,50,G7
87,2,50,G7
87,3,48,G7
87,4,51,G7
88,1,45,Dm7b5
88,2,50,Dm7b5
88,3,45,G7
88,4,42,G7
89,1,44,C-7
89,2,45,C-7
89,3,45,C-7
89,4,47,C-7
90,1,48,Dm7b5
90,2,51,Dm7b5
90,3,50,G7
90,4,50,G7
91,1,44,C-7
91,2,48,C-7
91,3,50,C-7
91,4,41,C-7
92,1,51,Dm7b5
92,2,43,Dm7b5
92,3,50,G7
92,4,42,G7
93,1,43,C-7
93,2,44,C-7
93,3,45,C-7
93,4,47,C-7
94,1,48,Dm7b5
94,2,49,Dm7b5
94,3,50,G7
94,4,50,G7
95,1,43,C-7
95,2,50,C-7
95,3,41,C-7
95,4,44,C-7
96,1,51,Dm7b5
96,2,41,Dm7b5
96,3,50,G7
96,4,42,G7
97,1,43,C-7
97,2,44,C-7
97,3,45,C-7
97,4,47,C-7
98,1,48,Dm7b5
