bar,beat,note,chord
1,1,50,G7
1,2,45,G7
1,3,43,G7
1,4,42,G7
2,1,43,C7
2,2,43,C7
2,3,45,C#o7
2,4,45,C#o7
3,1,38,G7
3,2,40,G7
3,3,42,G7
3,4,43,G7
4,1,45,G7
4,2,38,G7
4,3,42,G7
4,4,45,G7
5,1,43,C7
5,2,45,C7
5,3,50,C7
5,4,51,C7
6,1,43,C7
6,2,47,C7
6,3,42,C7
6,4,47,C7
7,1,50,G7
7,2,50,G7
7,3,43,G7
7,4,43,G7
8,1,42,B-7
8,2,43,B-7
8,3,42,Bbo
8,4,38,Bbo
9,1,40,A-7
9,2,42,A-7
9,3,43,A-7
9,4,44,A-7
10,1,42,D7
10,2,45,D7
10,3,43,D7
10,4,45,D7
11,1,38,G7
11,2,50,G7
11,3,43,C7
11,4,45,C7
12,1,38,D7
12,2,37,D7
12,3,47,D7
12,4,40,D7
13,1,38,G7
13,2,40,G7
13,3,43,G7
13,4,50,G7
14,1,43,C7
14,2,43,C7
14,3,44,C#o7
14,4,43,C#o7
15,1,45,G7
15,2,43,G7
15,3,42,G7
15,4,45,G7
16,1,38,G7
16,2,42,G7
16,3,45,G7
16,4,50,G7
17,1,43,C7
17,2,50,C7
17,3,43,C7
17,4,50,C7
18,1,43,C7
18,2,50,C7
18,3,42,C7
18,4,50,C7
19,1,42,G7
19,2,40,G7
19,3,38,G7
19,4,37,G7
20,1,38,C7
20,2,40,C7
20,3,42,C#o7
20,4,48,C#o7
21,1,47,E-7
21,2,43,E-7
21,3,41,E-7
21,4,38,E-7
22,1,40,A-7
22,2,40,A-7
22,3,45,D7
22,4,45,D7
23,1,50,G7
23,2,50,G7
23,3,43,C7
23,4,43,C7
24,1,44,D7
24,2,45,D7
24,3,45,D7
24,4,45,D7
25,1,50,G7
25,2,50,G7
25,3,50,G7
