bar,beat,note,chord
1,1,43,C-7
1,2,40,C-7
1,3,51,F7
1,4,50,F7
2,1,43,C-7
2,2,47,C-7
2,3,45,F7
2,4,43,F7
3,1,41,Bb
3,2,45,Bb
3,3,50,Bb
3,4,48,Bb
4,1,42,Bb
4,2,45,Bb
4,3,50,Bb
4,4,50,Bb
5,1,43,C-7
5,2,45,C-7
5,3,42,F7
5,4,50,F7
6,1,48,C-7
6,2,49,C-7
6,3,50,F7
6,4,51,F7
7,1,41,Bb
7,2,43,Bb
7,3,42,Bb
7,4,42,Bb
8,1,40,Bo
8,2,42,Bo
8,3,42,Bo
8,4,42,Bo
9,1,43,C-7
9,2,42,C-7
9,3,38,F7
9,4,38,F7
10,1,40,C-7
10,2,40,C-7
10,3,38,F7
10,4,42,F7
11,1,42,Bb
11,2,42,Bb
11,3,42,Bb
11,4,43,Bb
12,1,38,Bb
12,2,40,Bb
12,3,40,Bb
12,4,42,Bb
13,1,42,C-7
13,2,40,C-7
13,3,37,F7
13,4,50,F7
14,1,37,C-7
14,2,42,C-7
14,3,45,F7
14,4,43,F7
15,1,41,Bb
15,2,45,Bb
15,3,50,Bb
15,4,48,Bb
16,1,43,Bb
16,2,42,Bb
16,3,41,Bb
16,4,41,Bb
17,1,42,D7
17,2,43,D7
17,3,42,D7
17,4,51,D7
18,1,40,D7
18,2,42,D7
18,3,40,D7
18,4,51,D7
19,1,50,G79
19,2,51,G79
19,3,42,G79
19,4,42,G79
20,1,42,G+7
20,2,45,G+7
20,3,50,G+7
20,4,42,G+7
21,1,43,C7
21,2,42,C7
21,3,50,C7
21,4,43,C7
22,1,50,C7
22,2,50,C7
22,3,37,C7
22,4,43,C7
23,1,43,F7
23,2,50,F7
23,3,40,F7
23,4,50,F7
24,1,42,F+7
24,2,47,F+7
24,3,45,F+7
24,4,44,F+7
25,1,43,C-7
25,2,41,C-7
25,3,40,F7
25,4,42,F7
26,1,37,C-7
26,2,51,C-7
26,3,50,F7
26,4,50,F7
27,1,43,Bb
27,2,42,Bb
27,3,42,Bb
27,4,50,Bb
28,1,48,Bb
28,2,42,Bb
28,3,45,Bb
28,4,50,Bb
29,1,43,C-7
29,2,45,C-7
29,3,42,F7
29,4,50,F7
30,1,48,C-7
30,2,49,C-7
30,3,50,F7
30,4,51,F7
31,1,38,Bb
31,2,43,Bb
31,3,42,Bb
31,4,38,Bb
32,1,38,Bb
32,2,38,Bb
32,3,43,Bb
32,4,42,Bb
33,1,38,C-7
33,2,40,C-7
33,3,42,F7
33,4,40,F7
34,1,43,C-7
34,2,40,C-7
34,3,42,F7
34,4,43,F7
35,1,42,Bb
35,2,40,Bb
35,3,38,Bb
35,4,50,Bb
36,1,48,Bb
36,2,42,Bb
36,3,45,Bb
36,4,50,Bb
37,1,43,C-7
37,2,45,C-7
37,3,42,F7
37,4,50,F7
38,1,37,C-7
38,2,50,C-7
38,3,38,F7
38,4,43,F7
39,1,41,Bb
39,2,43,Bb
39,3,42,Bb
39,4,42,Bb
40,1,38,Bo
40,2,50,Bo
40,3,45,Bo
40,4,50,Bo
41,1,43,C-7
41,2,45,C-7
41,3,42,F7
41,4,50,F7
42,1,48,C-7
42,2,48,C-7
42,3,50,F7
42,4,38,F7
43,1,40,Bb
43,2,42,Bb
43,3,43,Bb
43,4,42,Bb
44,1,42,Bb
44,2,42,Bb
44,3,42,Bb
44,4,44,Bb
45,1,43,C-7
45,2,50,C-7
45,3,43,F7
45,4,50,F7
46,1,48,C-7
46,2,42,C-7
46,3,45,F7
46,4,43,F7
47,1,41,Bb
47,2,45,Bb
47,3,50,Bb
47,4,48,Bb
48,1,43,Bb
48,2,42,Bb
48,3,40,Bb
48,4,50,Bb
49,1,38,D7
49,2,42,D7
49,3,42,D7
49,4,40,D7
50,1,44,D7
50,2,42,D7
50,3,44,D7
50,4,38,D7
51,1,50,G79
51,2,38,G79
51,3,42,G79
51,4,43,G79
52,1,42,G79
52,2,38,G79
52,3,50,G79
52,4,42,G79
53,1,42,C7
53,2,42,C7
53,3,50,C7
53,4,43,C7
54,1,45,C7
54,2,50,C7
54,3,43,C7
54,4,50,C7
55,1,43,F7
55,2,42,F7
55,3,38,F7
55,4,50,F7
56,1,42,F+7
56,2,42,F+7
56,3,45,F+7
56,4,44,F+7
57,1,43,C-7
57,2,41,C-7
57,3,40,F7
57,4,42,F7
58,1,42,C-7
58,2,40,C-7
58,3,40,F7
58,4,43,F7
59,1,40,Bb
59,2,40,Bb
59,3,38,Bb
59,4,40,Bb
60,1,40,Bb
60,2,45,Bb
60,3,50,Bb
60,4,44,Bb
61,1,43,C-7
61,2,45,C-7
61,3,42,F7
61,4,50,F7
62,1,48,C-7
62,2,50,C-7
62,3,38,F7
62,4,48,F7
63,1,41,Bb
63,2,45,Bb
63,3,50,Bb
63,4,48,Bb
64,1,42,Bb
64,2,45,Bb
64,3,50,Bb
64,4,50,Bb
65,1,43,C-7
65,2,45,C-7
65,3,42,C-7
65,4,50,C-7
