bar,beat,note,chord
1,1,38,G7
1,2,38,G7
1,3,40,G7
1,4,43,G7
2,1,43,C7
2,2,43,C7
2,3,47,C7
2,4,48,C7
3,1,50,G7
3,2,50,G7
3,3,40,G7
3,4,40,G7
4,1,43,C7
4,2,37,C7
4,3,44,C7
4,4,38,C7
5,1,38,G7
5,2,38,G7
5,3,44,G7
5,4,43,G7
6,1,43,C7
6,2,40,C7
6,3,48,C7
6,4,48,C7
7,1,38,G7
7,2,38,G7
7,3,42,G7
7,4,43,G7
8,1,43,C7
8,2,43,C7
8,3,35,C7
8,4,37,C7
9,1,38,G7
9,2,38,G7
9,3,42,G7
9,4,43,G7
10,1,43,C7
10,2,43,C7
10,3,47,C7
10,4,49,C7
11,1,38,G7
11,2,40,G7
11,3,38,G7
11,4,43,G7
12,1,43,C7
12,2,43,C7
12,3,47,C7
12,4,38,C7
13,1,38,G7
13,2,40,G7
13,3,44,G7
13,4,43,G7
14,1,43,C7
14,2,37,C7
14,3,38,C7
14,4,38,C7
15,1,38,G7
15,2,42,G7
15,3,42,G7
15,4,43,G7
16,1,43,C7
16,2,38,C7
16,3,37,C7
16,4,38,C7
17,1,38,G7
17,2,40,G7
17,3,40,G7
17,4,43,G7
18,1,43,C7
18,2,37,C7
18,3,41,C7
18,4,38,C7
19,1,38,G7
19,2,40,G7
19,3,42,G7
19,4,35,G7
20,1,35,C7
20,2,35,C7
20,3,47,C7
20,4,47,C7
21,1,38,C7
21,2,38,C7
21,3,42,C7
21,4,43,C7
22,1,43,C7
22,2,43,C7
22,3,47,C7
22,4,40,C7
23,1,38,G7
23,2,38,G7
23,3,38,G7
23,4,43,G7
24,1,43,C7
24,2,35,C7
24,3,48,C7
24,4,37,C7
25,1,38,G7
25,2,38,G7
25,3,42,G7
25,4,43,G7
26,1,43,C7
26,2,45,C7
26,3,47,C7
26,4,48,C7
27,1,38,G7
27,2,40,G7
27,3,41,G7
27,4,43,G7
28,1,43,C7
28,2,43,C7
28,3,40,C7
28,4,48,C7
29,1,38,G7
29,2,38,G7
29,3,40,G7
29,4,40,G7
30,1,47,C7
30,2,47,C7
30,3,48,C7
30,4,49,C7
31,1,38,G7
31,2,50,G7
31,3,44,G7
31,4,43,G7
32,1,43,C7
32,2,35,C7
32,3,47,C7
32,4,37,C7
33,1,38,G7
33,2,40,G7
33,3,42,G7
33,4,43,G7
34,1,43,C7
34,2,47,C7
34,3,47,C7
34,4,48,C7
35,1,38,G7
35,2,50,G7
35,3,42,G7
35,4,40,G7
36,1,43,C7
36,2,43,C7
36,3,45,C7
36,4,45,C7
37,1,38,NC
37,2,38,NC
