bar,beat,note,chord
1,1,43,C
1,2,43,C
1,3,47,C
1,4,47,C
2,1,47,F
2,2,47,F
2,3,45,F
2,4,33,F
3,1,50,G7
3,2,50,G7
3,3,42,G7
3,4,42,G7
4,1,43,C
4,2,43,C
4,3,42,C
4,4,42,C
5,1,40,A7
5,2,40,A7
5,3,44,A7
5,4,43,A7
6,1,45,D-7
6,2,45,D-7
6,3,45,D-7
6,4,33,D-7
7,1,50,G7
7,2,50,G7
7,3,50,G7
7,4,50,G7
8,1,43,C
8,2,43,C
8,3,38,C
8,4,42,C
9,1,43,C
9,2,43,C
9,3,47,C
9,4,47,C
10,1,48,F
10,2,47,F
10,3,47,F
10,4,49,F
11,1,50,G7
11,2,50,G7
11,3,50,G7
11,4,42,G7
12,1,50,C
12,2,42,C
12,3,37,C
12,4,44,C
13,1,51,A7
13,2,42,A7
13,3,42,A7
13,4,42,A7
14,1,47,D-7
14,2,45,D-7
14,3,45,D-7
14,4,37,D-7
15,1,50,G7
15,2,50,G7
15,3,47,G7
15,4,42,G7
16,1,37,C
16,2,42,C
16,3,38,C
16,4,38,C
17,1,47,C
17,2,47,C
17,3,47,C
17,4,37,C
18,1,37,F
18,2,47,F
18,3,47,F
18,4,49,F
19,1,50,G7
19,2,50,G7
19,3,42,G7
19,4,37,G7
20,1,43,C
20,2,44,C
20,3,37,C
20,4,42,C
21,1,42,A7
21,2,40,A7
21,3,40,A7
21,4,40,A7
22,1,45,D-7
22,2,45,D-7
22,3,45,D-7
22,4,33,D-7
23,1,50,G7
23,2,50,G7
23,3,42,G7
23,4,42,G7
24,1,43,C
24,2,43,C
24,3,38,C
24,4,37,C
25,1,43,C
25,2,43,C
25,3,35,C
25,4,35,C
26,1,37,F
26,2,37,F
26,3,37,F
26,4,37,F
27,1,38,G7
27,2,38,G7
27,3,42,G7
27,4,42,G7
28,1,43,C
28,2,43,C
28,3,38,C
28,4,42,C
29,1,40,A7
29,2,40,A7
29,3,44,A7
29,4,44,A7
30,1,45,D-7
30,2,45,D-7
30,3,33,D-7
30,4,33,D-7
31,1,50,G7
31,2,50,G7
31,3,50,G7
31,4,50,G7
32,1,43,C
32,2,38,C
32,3,40,C
32,4,40,C
33,1,43,C
33,2,43,C
33,3,35,C
33,4,35,C
34,1,42,F
34,2,42,F
34,3,37,F
34,4,37,F
35,1,37,G7
35,2,37,G7
35,3,50,G7
35,4,50,G7
36,1,43,C
36,2,44,C
36,3,47,C
36,4,47,C
37,1,40,A7
37,2,40,A7
37,3,39,A7
37,4,40,A7
38,1,45,D-7
38,2,45,D-7
38,3,45,D-7
38,4,33,D-7
39,1,50,G7
39,2,50,G7
39,3,50,G7
39,4,37,G7
40,1,42,C
40,2,50,C
40,3,47,C
40,4,50,C
41,1,43,C
41,2,43,C
41,3,47,C
41,4,47,C
42,1,47,F7
42,2,47,F7
42,3,45,F7
42,4,33,F7
43,1,50,G7
43,2,50,G7
43,3,42,G7
43,4,42,G7
44,1,43,C
44,2,43,C
44,3,39,C
44,4,44,C
45,1,40,A7
45,2,40,A7
45,3,44,A7
45,4,42,A7
46,1,42,D-7
46,2,42,D-7
46,3,42,D-7
46,4,37,D-7
47,1,37,G7
47,2,50,G7
47,3,50,G7
47,4,33,G7
48,1,45,C
48,2,38,C
48,3,40,C
48,4,42,C
49,1,43,C
49,2,43,C
49,3,35,C
49,4,35,C
50,1,47,F
50,2,47,F
50,3,37,F
50,4,37,F
51,1,38,G7
51,2,38,G7
51,3,42,G7
51,4,42,G7
52,1,43,C
52,2,43,C
52,3,35,C
52,4,35,C
53,1,40,A7
53,2,40,A7
53,3,44,A7
53,4,44,A7
54,1,45,D-7
54,2,45,D-7
54,3,47,D-7
54,4,48,D-7
55,1,50,G7
55,2,50,G7
55,3,42,G7
55,4,37,G7
56,1,47,C
56,2,42,C
56,3,40,C
56,4,50,C
57,1,42,C
57,2,42,C
57,3,50,C
57,4,49,C
58,1,48,F
58,2,48,F
58,3,42,F
58,4,47,F
59,1,50,G7
59,2,50,G7
59,3,42,G7
59,4,37,G7
60,1,42,C
60,2,42,C
60,3,50,C
60,4,50,C
61,1,50,A7
61,2,52,A7
61,3,52,A7
61,4,48,A7
62,1,47,D-7
62,2,45,D-7
62,3,45,D-7
62,4,42,D-7
63,1,50,G7
63,2,49,G7
63,3,42,G7
63,4,39,G7
64,1,37,C
64,2,37,C
64,3,47,C
64,4,49,C
65,1,37,C
65,2,44,C
65,3,38,C
65,4,37,C
66,1,37,F
66,2,47,F
66,3,42,F
66,4,42,F
67,1,50,G7
67,2,50,G7
67,3,48,G7
67,4,48,G7
68,1,47,C
68,2,47,C
68,3,42,C
68,4,42,C
69,1,40,A7
69,2,40,A7
69,3,40,A7
69,4,39,A7
70,1,45,D-7
70,2,45,D-7
70,3,33,D-7
70,4,33,D-7
71,1,50,G7
71,2,50,G7
71,3,50,G7
71,4,50,G7
72,1,43,C
72,2,38,C
72,3,40,C
72,4,42,C
73,1,43,C
73,2,43,C
73,3,35,C
73,4,35,C
74,1,47,F
74,2,42,F
74,3,37,F
74,4,37,F
75,1,38,G7
75,2,38,G7
75,3,42,G7
75,4,42,G7
76,1,43,C
76,2,43,C
76,3,47,C
76,4,47,C
77,1,40,A7
77,2,40,A7
77,3,44,A7
77,4,37,A7
78,1,45,D-7
78,2,45,D-7
78,3,45,D-7
78,4,33,D-7
79,1,50,G7
79,2,50,G7
79,3,50,G7
79,4,50,G7
80,1,43,C
80,2,43,C
80,3,50,C
80,4,38,C
81,1,43,C
81,2,43,C
81,3,47,C
81,4,47,C
82,1,47,F
82,2,47,F
82,3,33,F
82,4,33,F
83,1,50,G7
83,2,50,G7
83,3,38,G7
83,4,42,G7
84,1,42,C
84,2,50,C
84,3,47,C
84,4,42,C
85,1,40,A7
85,2,40,A7
85,3,39,A7
85,4,37,A7
86,1,45,D-7
86,2,45,D-7
86,3,33,D-7
86,4,33,D-7
87,1,50,G7
87,2,50,G7
87,3,42,G7
87,4,42,G7
88,1,43,C
88,2,38,C
88,3,40,C
88,4,40,C
89,1,43,C
89,2,43,C
89,3,35,C
89,4,35,C
90,1,42,F
90,2,37,F
90,3,37,F
90,4,37,F
91,1,38,G7
91,2,38,G7
91,3,42,G7
91,4,42,G7
92,1,43,C
92,2,43,C
92,3,35,C
92,4,35,C
93,1,40,A7
93,2,40,A7
93,3,40,A7
93,4,40,A7
94,1,33,D-7
94,2,45,D-7
94,3,45,D-7
94,4,33,D-7
95,1,50,G7
95,2,50,G7
95,3,50,G7
95,4,50,G7
96,1,37,C
96,2,37,C
96,3,38,C
96,4,38,C
97,1,50,C
97,2,50,C
97,3,37,C
97,4,49,C
98,1,47,F
98,2,48,F
98,3,45,F
98,4,33,F
99,1,50,G7
99,2,50,G7
99,3,42,G7
99,4,42,G7
100,1,43,C
100,2,43,C
100,3,35,C
100,4,35,C
101,1,40,A7
101,2,40,A7
101,3,44,A7
101,4,44,A7
102,1,33,D-7
102,2,33,D-7
102,3,43,D-7
102,4,42,D-7
103,1,42,G7
103,2,37,G7
103,3,37,G7
103,4,42,G7
104,1,43,C
104,2,37,C
104,3,40,C
104,4,42,C
105,1,43,NC
105,2,43,NC
105,3,47,NC
105,4,47,NC
106,1,47,NC
