bar,beat,note,chord
1,1,49,F7
1,2,48,F7
1,3,50,F7
1,4,50,F7
2,1,50,F7
2,2,50,F7
2,3,50,F7
2,4,50,F7
3,1,50,F7
3,2,50,F7
3,3,50,D-7
3,4,50,D-7
4,1,50,G-7
4,2,50,G-7
4,3,47,C7
4,4,50,C7
5,1,48,F7
5,2,50,F7
5,3,50,F7
5,4,50,F7
6,1,50,F7
6,2,50,F7
6,3,50,F7
6,4,42,F7
7,1,50,C7
7,2,50,C7
7,3,50,C7
7,4,50,C7
8,1,50,C7
8,2,50,C7
8,3,50,C7
8,4,50,C7
9,1,50,F7
9,2,50,F7
9,3,50,F7
9,4,50,F7
10,1,50,F7
10,2,50,F7
10,3,50,F7
10,4,50,F7
11,1,48,F7
11,2,48,F7
11,3,44,D-7
11,4,50,D-7
12,1,50,G-7
12,2,50,G-7
12,3,47,C7
12,4,44,C7
13,1,48,F7
13,2,48,F7
13,3,50,F7
13,4,50,F7
14,1,50,F7
14,2,50,F7
14,3,50,F7
14,4,50,F7
15,1,50,C7
15,2,50,C7
15,3,50,C7
15,4,50,C7
16,1,50,C7
16,2,47,C7
16,3,50,C7
16,4,38,C7
17,1,50,G-7
17,2,50,G-7
17,3,38,G-7
17,4,50,G-7
18,1,50,G-7
18,2,50,G-7
18,3,38,G-7
18,4,50,G-7
19,1,50,Bb7
19,2,44,Bb7
19,3,49,Eb7
19,4,50,Eb7
20,1,50,F7
20,2,50,F7
20,3,50,F7
20,4,50,F7
21,1,50,G-
21,2,50,G-
21,3,50,G-
21,4,50,G-
22,1,50,G-
22,2,50,G-
22,3,50,G-
22,4,51,G-
23,1,51,C7
23,2,50,C7
23,3,50,C7
23,4,51,C7
24,1,50,C7
24,2,50,C7
24,3,38,C7
24,4,50,C7
25,1,50,F7
25,2,50,F7
25,3,50,F7
25,4,50,F7
26,1,50,F7
26,2,50,F7
26,3,50,F7
26,4,50,F7
27,1,50,F7
27,2,50,F7
27,3,44,D-7
27,4,50,D-7
28,1,50,G-7
28,2,50,G-7
28,3,44,C7
28,4,47,C7
29,1,48,F7
29,2,50,F7
29,3,50,F7
29,4,48,F7
30,1,50,F7
30,2,50,F7
30,3,50,F7
30,4,50,F7
31,1,50,C7
31,2,50,C7
31,3,50,C7
31,4,50,C7
32,1,50,C7
32,2,48,C7
32,3,50,C7
32,4,38,NC
33,1,48,F7
