bar,beat,note,chord
1,1,44,NC
1,2,43,NC
1,3,43,NC
1,4,43,NC
2,1,42,NC
2,2,42,NC
2,3,43,NC
2,4,43,NC
3,1,43,NC
3,2,44,NC
3,3,44,NC
3,4,43,NC
4,1,33,NC
4,2,45,NC
4,3,42,NC
4,4,42,NC
5,1,47,NC
5,2,50,NC
5,3,47,NC
5,4,49,NC
6,1,44,NC
6,2,43,NC
6,3,42,NC
6,4,52,NC
7,1,51,NC
7,2,50,NC
7,3,43,NC
7,4,43,NC
8,1,35,NC
8,2,47,NC
8,3,37,NC
8,4,37,NC
9,1,38,NC
9,2,38,NC
9,3,43,NC
9,4,44,NC
10,1,50,NC
10,2,50,NC
10,3,45,NC
10,4,44,NC
11,1,43,NC
11,2,43,NC
11,3,37,NC
11,4,44,NC
12,1,43,NC
12,2,48,NC
12,3,43,NC
12,4,43,NC
13,1,42,NC
13,2,43,NC
13,3,44,NC
13,4,43,NC
14,1,45,NC
14,2,42,NC
14,3,43,NC
14,4,44,NC
15,1,43,NC
15,2,49,NC
15,3,42,NC
15,4,49,NC
16,1,43,NC
16,2,49,NC
16,3,47,NC
16,4,42,NC
17,1,51,NC
17,2,42,NC
17,3,45,NC
17,4,45,NC
18,1,43,NC
18,2,50,NC
18,3,43,NC
18,4,43,NC
19,1,35,NC
19,2,47,NC
19,3,43,NC
19,4,38,NC
20,1,38,NC
20,2,38,NC
20,3,45,NC
20,4,45,NC
21,1,50,NC
21,2,43,NC
21,3,43,NC
21,4,44,NC
22,1,51,NC
22,2,43,NC
22,3,50,NC
22,4,43,NC
23,1,43,NC
23,2,43,NC
23,3,50,NC
23,4,44,NC
24,1,43,NC
24,2,50,NC
24,3,43,NC
24,4,41,NC
25,1,50,NC
25,2,50,NC
25,3,43,NC
25,4,43,NC
26,1,48,NC
26,2,43,NC
26,3,42,NC
26,4,43,NC
27,1,43,NC
27,2,50,NC
27,3,43,NC
27,4,43,NC
28,1,44,NC
28,2,45,NC
28,3,50,NC
28,4,43,NC
29,1,43,NC
29,2,43,NC
29,3,43,NC
29,4,42,NC
30,1,43,NC
30,2,43,NC
30,3,43,NC
30,4,43,NC
31,1,43,NC
31,2,43,NC
31,3,43,NC
31,4,43,NC
32,1,43,NC
32,2,43,NC
32,3,43,NC
32,4,50,NC
33,1,44,NC
33,2,44,NC
33,3,49,NC
33,4,43,NC
34,1,48,NC
34,2,43,NC
34,3,44,NC
34,4,43,NC
35,1,43,NC
35,2,50,NC
35,3,45,NC
35,4,43,NC
36,1,51,NC
36,2,45,NC
36,3,50,NC
36,4,44,NC
37,1,35,NC
37,2,35,NC
37,3,44,NC
37,4,43,NC
38,1,37,NC
38,2,43,NC
38,3,38,NC
38,4,40,NC
39,1,50,NC
39,2,50,NC
39,3,44,NC
39,4,43,NC
40,1,49,NC
40,2,50,NC
40,3,49,NC
40,4,48,NC
41,1,40,NC
41,2,42,NC
41,3,43,NC
41,4,44,NC
42,1,44,NC
42,2,44,NC
42,3,47,NC
42,4,43,NC
43,1,43,NC
43,2,47,NC
43,3,48,NC
43,4,43,NC
44,1,43,NC
44,2,43,NC
44,3,43,NC
44,4,43,NC
45,1,43,NC
45,2,44,NC
45,3,44,NC
45,4,43,NC
46,1,43,NC
46,2,44,NC
46,3,51,NC
46,4,44,NC
47,1,50,NC
47,2,45,NC
47,3,42,NC
47,4,47,NC
48,1,35,NC
48,2,44,NC
48,3,37,NC
48,4,44,NC
49,1,44,NC
49,2,44,NC
49,3,45,NC
49,4,45,NC
50,1,50,NC
50,2,44,NC
50,3,44,NC
50,4,43,NC
51,1,44,NC
51,2,44,NC
51,3,44,NC
51,4,42,NC
52,1,42,NC
52,2,43,NC
52,3,44,NC
52,4,44,NC
53,1,34,NC
53,2,51,NC
53,3,50,NC
53,4,42,NC
54,1,43,NC
54,2,43,NC
54,3,50,NC
54,4,50,NC
55,1,50,NC
55,2,44,NC
55,3,43,NC
55,4,42,NC
56,1,43,NC
56,2,43,NC
56,3,43,NC
56,4,43,NC
57,1,44,NC
57,2,44,NC
57,3,47,NC
57,4,43,NC
58,1,43,NC
58,2,43,NC
58,3,44,NC
58,4,44,NC
59,1,50,NC
59,2,50,NC
59,3,45,NC
59,4,43,NC
60,1,43,NC
60,2,43,NC
60,3,43,NC
60,4,48,NC
61,1,43,NC
61,2,43,NC
61,3,43,NC
61,4,45,NC
62,1,51,NC
62,2,50,NC
62,3,42,NC
62,4,47,NC
63,1,47,NC
63,2,47,NC
63,3,37,NC
63,4,37,NC
64,1,44,NC
64,2,38,NC
64,3,43,NC
64,4,45,NC
65,1,50,NC
65,2,43,NC
65,3,44,NC
65,4,49,NC
66,1,50,NC
66,2,50,NC
66,3,43,NC
66,4,43,NC
67,1,45,NC
67,2,43,NC
67,3,42,NC
67,4,44,NC
68,1,43,NC
68,2,43,NC
68,3,43,NC
68,4,44,NC
69,1,43,NC
69,2,43,NC
69,3,42,NC
69,4,50,NC
70,1,43,NC
70,2,43,NC
70,3,43,NC
70,4,43,NC
71,1,44,NC
71,2,43,NC
71,3,43,NC
71,4,43,NC
72,1,51,NC
72,2,50,NC
72,3,42,NC
72,4,43,NC
73,1,35,NC
73,2,43,NC
73,3,37,NC
73,4,37,NC
74,1,38,NC
74,2,38,NC
74,3,40,NC
74,4,45,NC
75,1,50,NC
75,2,44,NC
75,3,43,NC
75,4,49,NC
76,1,50,NC
76,2,50,NC
76,3,43,NC
76,4,43,NC
77,1,43,NC
77,2,42,NC
77,3,44,NC
77,4,44,NC
78,1,44,NC
78,2,43,NC
78,3,43,NC
78,4,43,NC
79,1,44,NC
79,2,43,NC
79,3,42,NC
79,4,47,NC
80,1,42,NC
80,2,38,NC
80,3,44,NC
80,4,43,NC
81,1,43,NC
81,2,45,NC
81,3,43,NC
81,4,43,NC
82,1,48,NC
82,2,43,NC
82,3,44,NC
82,4,43,NC
83,1,43,NC
83,2,43,NC
83,3,43,NC
83,4,50,NC
84,1,45,NC
84,2,43,NC
84,3,43,NC
84,4,43,NC
85,1,44,NC
85,2,48,NC
85,3,44,NC
85,4,43,NC
86,1,44,NC
86,2,51,NC
86,3,52,NC
86,4,50,NC
87,1,42,NC
87,2,44,NC
87,3,47,NC
87,4,48,NC
88,1,37,NC
88,2,37,NC
88,3,38,NC
88,4,38,NC
89,1,40,NC
89,2,44,NC
89,3,50,NC
89,4,50,NC
90,1,43,NC
90,2,43,NC
90,3,49,NC
90,4,42,NC
91,1,49,NC
91,2,43,NC
91,3,44,NC
91,4,49,NC
92,1,43,NC
92,2,42,NC
92,3,43,NC
92,4,43,NC
93,1,43,NC
93,2,50,NC
93,3,42,NC
93,4,50,NC
94,1,50,NC
94,2,50,NC
94,3,42,NC
94,4,50,NC
95,1,42,NC
95,2,50,NC
95,3,42,NC
95,4,50,NC
96,1,42,NC
96,2,50,NC
96,3,50,NC
96,4,42,NC
97,1,43,NC
97,2,35,NC
97,3,43,NC
97,4,44,NC
98,1,37,NC
98,2,43,NC
98,3,44,NC
98,4,43,NC
99,1,43,NC
99,2,44,NC
99,3,44,NC
99,4,48,NC
100,1,49,NC
100,2,43,NC
100,3,50,NC
100,4,40,NC
101,1,42,NC
101,2,43,NC
101,3,43,NC
101,4,43,NC
102,1,43,NC
102,2,43,NC
102,3,43,NC
102,4,43,NC
103,1,43,NC
103,2,43,NC
103,3,43,NC
103,4,42,NC
104,1,50,NC
104,2,50,NC
104,3,44,NC
104,4,44,NC
105,1,44,NC
105,2,48,NC
105,3,43,NC
105,4,48,NC
106,1,43,NC
106,2,45,NC
106,3,50,NC
106,4,51,NC
107,1,50,NC
107,2,42,NC
107,3,47,NC
107,4,47,NC
108,1,43,NC
108,2,43,NC
108,3,43,NC
108,4,47,NC
109,1,48,NC
109,2,49,NC
109,3,43,NC
109,4,43,NC
110,1,52,NC
110,2,43,NC
110,3,43,NC
110,4,44,NC
111,1,44,NC
111,2,43,NC
111,3,43,NC
111,4,43,NC
112,1,44,NC
112,2,43,NC
112,3,43,NC
112,4,43,NC
113,1,43,NC
113,2,43,NC
113,3,42,NC
113,4,42,NC
114,1,43,NC
114,2,44,NC
114,3,43,NC
114,4,43,NC
115,1,44,NC
115,2,44,NC
115,3,44,NC
115,4,50,NC
116,1,44,NC
116,2,44,NC
116,3,44,NC
116,4,44,NC
117,1,48,NC
117,2,43,NC
117,3,43,NC
117,4,44,NC
118,1,44,NC
118,2,44,NC
118,3,42,NC
118,4,50,NC
119,1,42,NC
119,2,44,NC
119,3,44,NC
119,4,43,NC
120,1,44,NC
120,2,44,NC
120,3,44,NC
120,4,44,NC
121,1,40,NC
121,2,44,NC
121,3,50,NC
