bar,beat,note,chord
1,1,37,G-7
1,2,50,C7
1,3,49,F#-7
1,4,42,B7
2,1,43,F-7
2,2,49,Bb7
2,3,47,E-7
2,4,50,A7
3,1,47,Eb-7
3,2,47,Eb-7
3,3,51,Ab7
3,4,51,Ab7
4,1,48,B7
4,2,42,B7
4,3,41,Bb7
4,4,50,Bb7
5,1,42,Eb7
5,2,37,Eb7
5,3,45,D7
5,4,45,D7
6,1,44,Dbj7
6,2,44,Dbj7
6,3,48,Eb7
6,4,44,Eb7
7,1,47,Eb-7
7,2,47,Eb-7
7,3,51,Ab7
7,4,43,Ab7
8,1,42,F-7
8,2,37,E7
8,3,40,Eb-7
8,4,51,D7
9,1,50,G-7
9,2,43,C7
9,3,37,F#-7
9,4,42,B7
10,1,48,F-7
10,2,41,Bb7
10,3,47,E-7
10,4,40,A7
11,1,47,Eb-7
11,2,41,Eb-7
11,3,51,Ab7
11,4,51,Ab7
12,1,48,B7
12,2,48,B7
12,3,41,Bb7
12,4,41,Bb7
13,1,47,Eb7
13,2,47,Eb7
13,3,45,D7
13,4,45,D7
14,1,44,Dbj7
14,2,43,Dbj7
14,3,37,Eb7
14,4,42,Eb7
15,1,47,Eb-7
15,2,40,Eb-7
15,3,51,Ab7
15,4,43,Ab7
16,1,44,Db
16,2,50,Db
16,3,41,Db
16,4,50,Db
17,1,34,Eb-7
17,2,47,Eb-7
17,3,51,Ab
17,4,43,Ab
18,1,44,Dbj7
18,2,48,Dbj7
18,3,37,Dbj7
18,4,41,E-7
19,1,34,Eb-7
19,2,47,Eb-7
19,3,45,Ab7
19,4,45,Ab7
20,1,44,Dbj7
20,2,48,Dbj7
20,3,50,Dbj7
20,4,51,Dbj7
21,1,44,Bb-7
21,2,48,Bb-7
21,3,50,Eb7
21,4,44,Eb7
22,1,37,Eb7
22,2,37,Eb7
22,3,50,Bb-7
22,4,34,Bb-7
23,1,37,Eb-7
23,2,37,Eb-7
23,3,51,Ab7
23,4,51,Ab7
24,1,50,Db-7
24,2,43,Db-7
24,3,50,Gb7
24,4,50,Gb7
25,1,50,G-7
25,2,50,C7
25,3,49,F#-7
25,4,50,B7
26,1,48,F-7
26,2,41,Bb7
26,3,47,E-7
26,4,40,A7
27,1,47,Eb-7
27,2,50,Eb-7
27,3,51,Ab7
27,4,49,Ab7
28,1,48,B7
28,2,48,B7
28,3,41,Bb7
28,4,45,Bb7
29,1,47,Eb7
29,2,47,Eb7
29,3,45,D7
29,4,45,D7
30,1,44,Dbj7
30,2,43,Dbj7
30,3,41,Eb7
30,4,42,Eb7
31,1,47,Eb-7
31,2,47,Eb-7
31,3,34,Ab7
31,4,42,Ab7
32,1,42,Db
32,2,37,Db
32,3,37,Db
32,4,38,Db
