bar,beat,note,chord
1,1,49,Db7
1,2,48,Db7
1,3,47,Db7
1,4,48,Db7
2,1,51,Db7
2,2,49,Db7
2,3,47,Db7
2,4,49,Db7
3,1,50,Gb7
3,2,51,Gb7
3,3,49,Gb7
3,4,48,Gb7
4,1,49,Gb7
4,2,42,Gb7
4,3,50,Gb7
4,4,50,Gb7
5,1,50,F7
5,2,50,F7
5,3,51,E7
5,4,51,E7
6,1,50,Eb7
6,2,50,Eb7
6,3,47,Eb7
6,4,50,Eb7
7,1,50,D7
7,2,50,D7
7,3,45,D7
7,4,49,D7
8,1,50,D7
8,2,42,D7
8,3,48,D7
8,4,47,D7
9,1,48,Db7
9,2,51,Db7
9,3,48,Db7
9,4,47,Db7
10,1,48,Db7
10,2,51,Db7
10,3,50,Db7
10,4,42,Db7
11,1,50,Gb7
11,2,49,Gb7
11,3,47,Gb7
11,4,44,Gb7
12,1,49,Gb7
12,2,44,Gb7
12,3,48,Gb7
12,4,49,Gb7
13,1,48,F7
13,2,48,F7
13,3,47,E7
13,4,47,E7
14,1,47,Eb7
14,2,47,Eb7
14,3,42,Eb7
14,4,47,Eb7
15,1,45,D7
15,2,47,D7
15,3,49,D7
15,4,50,D7
16,1,50,D7
16,2,40,D7
16,3,45,D7
16,4,49,D7
17,1,50,D-7
17,2,43,D-7
17,3,42,G7
17,4,40,G7
18,1,50,G7
18,2,40,G7
18,3,41,G7
18,4,42,G7
19,1,43,C7
19,2,47,C7
19,3,48,C7
19,4,49,C7
20,1,50,C7
20,2,41,C7
20,3,43,C7
20,4,47,C7
21,1,50,C-7
21,2,51,C-7
21,3,50,C-7
21,4,50,C-7
22,1,50,F7
22,2,50,F7
22,3,48,F7
22,4,37,F7
23,1,50,E7
23,2,41,E7
23,3,37,A7913b
23,4,50,A7913b
24,1,51,Ab7alt
24,2,50,Ab7alt
24,3,50,Ab7alt
24,4,45,Ab7alt
25,1,44,Db7
25,2,44,Db7
25,3,49,Db7
25,4,48,Db7
26,1,50,Db7
26,2,50,Db7
26,3,50,Db7
26,4,50,Db7
27,1,51,Gb7
27,2,50,Gb7
27,3,49,Gb7
27,4,42,Gb7
28,1,44,Gb7
28,2,37,Gb7
28,3,49,Gb7
28,4,50,Gb7
29,1,50,F7
29,2,43,F7
29,3,48,E7
29,4,42,E7
30,1,47,Eb7
30,2,42,Eb7
30,3,42,Eb7
30,4,50,Eb7
31,1,47,D7
31,2,52,D7
31,3,45,D7
31,4,52,D7
32,1,50,D7
32,2,47,D7
32,3,45,D7
32,4,42,D7
33,1,44,Db7
33,2,48,Db7
33,3,49,Db7
33,4,50,Db7
34,1,50,Db7
34,2,50,Db7
34,3,42,Db7
34,4,43,Db7
35,1,44,Gb7
35,2,43,Gb7
35,3,39,Gb7
35,4,50,Gb7
36,1,49,Gb7
36,2,51,Gb7
36,3,50,Gb7
36,4,43,Gb7
37,1,50,F7
37,2,45,F7
37,3,48,E7
37,4,37,E7
38,1,41,Eb7
38,2,37,Eb7
38,3,47,Eb7
38,4,45,Eb7
39,1,50,D7
39,2,45,D7
39,3,47,D7
39,4,40,D7
40,1,45,D7
40,2,49,D7
40,3,37,D7
40,4,42,D7
41,1,50,Db7
41,2,48,Db7
41,3,47,Db7
41,4,45,Db7
42,1,44,Db7
42,2,42,Db7
42,3,42,Db7
42,4,50,Db7
43,1,37,Gb7
43,2,44,Gb7
43,3,48,Gb7
43,4,49,Gb7
44,1,50,Gb7
44,2,44,Gb7
44,3,43,Gb7
44,4,47,Gb7
45,1,48,F7
45,2,50,F7
45,3,52,E7
45,4,42,E7
46,1,50,Eb7
46,2,50,Eb7
46,3,37,Eb7
46,4,42,Eb7
47,1,45,D7
47,2,47,D7
47,3,49,D7
47,4,50,D7
48,1,37,D7
48,2,42,D7
48,3,37,D7
48,4,42,D7
49,1,37,D-7
49,2,42,D-7
49,3,50,G7
49,4,50,G7
50,1,42,G7
50,2,37,G7
50,3,50,G7
50,4,48,G7
51,1,47,C7
51,2,45,C7
51,3,43,C7
51,4,41,C7
52,1,50,C7
52,2,48,C7
52,3,47,C7
52,4,50,C7
53,1,41,C-7
53,2,45,C-7
53,3,47,C-7
53,4,43,C-7
54,1,45,F7
54,2,47,F7
54,3,47,F7
54,4,48,F7
55,1,41,E7
55,2,41,E7
55,3,37,A7913b
55,4,40,A7913b
56,1,40,Ab7alt
56,2,43,Ab7alt
56,3,48,Ab7alt
56,4,50,Ab7alt
57,1,50,Db7
57,2,48,Db7
57,3,47,Db7
57,4,48,Db7
58,1,51,Db7
58,2,50,Db7
58,3,42,Db7
58,4,43,Db7
59,1,42,Gb7
59,2,47,Gb7
59,3,48,Gb7
59,4,49,Gb7
60,1,50,Gb7
60,2,42,Gb7
60,3,43,Gb7
60,4,50,Gb7
61,1,49,F7
61,2,37,F7
61,3,42,E7
61,4,42,E7
62,1,47,Eb7
62,2,50,Eb7
62,3,50,Eb7
62,4,47,Eb7
63,1,52,D7
63,2,45,D7
63,3,50,D7
63,4,47,D7
64,1,45,D7
64,2,43,D7
64,3,42,D7
64,4,41,D7
65,1,40,Db7
65,2,51,Db7
65,3,49,Db7
65,4,50,Db7
