bar,beat,note,chord
1,1,50,G7
1,2,51,G7
1,3,51,G7
1,4,51,G7
2,1,50,G-7
2,2,47,G-7
2,3,47,C7
2,4,42,C7
3,1,47,Fj7
3,2,40,Fj7
3,3,41,Fj7
3,4,42,Fj7
4,1,43,Fj7
4,2,45,Fj7
4,3,50,Fj7
4,4,33,Fj7
5,1,33,Am7b5
5,2,37,Am7b5
5,3,38,Am7b5
5,4,40,Am7b5
6,1,44,D7
6,2,43,D7
6,3,40,D7
6,4,45,D7
7,1,38,G7
7,2,42,G7
7,3,45,G7
7,4,38,G7
8,1,50,G-7
8,2,42,G-7
8,3,43,C7
8,4,37,C7
9,1,38,F7
9,2,37,F7
9,3,38,F7
9,4,38,F7
10,1,40,Bb7
10,2,45,Bb7
10,3,37,Bb7
10,4,49,Bb7
11,1,48,F7
11,2,40,F7
11,3,45,F7
11,4,43,F7
12,1,41,A+7
12,2,35,A+7
12,3,40,A+7
12,4,40,A+7
13,1,45,D-7
13,2,47,D-7
13,3,47,D-7
13,4,41,D-7
14,1,42,B-7
14,2,48,B-7
14,3,47,E7
14,4,35,E7
15,1,40,Aj7
15,2,42,Aj7
15,3,44,E7
15,4,47,E7
16,1,38,Aj7
16,2,37,Aj7
16,3,49,D7
16,4,45,D7
17,1,50,G7
17,2,51,G7
17,3,51,G7
17,4,51,G7
18,1,50,G-7
18,2,47,G-7
18,3,47,C7
18,4,42,C7
19,1,48,Fj7
19,2,40,Fj7
19,3,41,Fj7
19,4,42,Fj7
20,1,43,Fj7
20,2,47,Fj7
20,3,48,Fj7
20,4,50,Fj7
21,1,52,Am7b5
21,2,40,Am7b5
21,3,40,Am7b5
21,4,40,Am7b5
22,1,45,D7
22,2,43,D7
22,3,40,D7
22,4,45,D7
23,1,38,G7
23,2,37,G7
23,3,37,G7
23,4,37,G7
24,1,38,G-7
24,2,40,G-7
24,3,41,C7
24,4,42,C7
25,1,43,F7
25,2,47,F7
25,3,48,F7
25,4,42,F7
26,1,41,Bb7
26,2,48,Bb7
26,3,48,Bo
26,4,42,Bo
27,1,43,F
27,2,45,F
27,3,50,E+7
27,4,37,E+7
28,1,40,Eb7
28,2,40,Eb7
28,3,45,D7
28,4,39,D7
29,1,38,G-7
29,2,37,G-7
29,3,37,G-7
29,4,37,G-7
30,1,38,C7
30,2,40,C7
30,3,41,C7
30,4,42,C7
31,1,43,F
31,2,45,F
31,3,50,F
31,4,40,F
32,1,40,D+7
32,2,44,D+7
32,3,33,D+7
32,4,33,D+7
33,1,33,G7
33,2,38,G7
33,3,33,G7
33,4,45,G7
34,1,37,G-7
34,2,37,G-7
34,3,37,C7
34,4,37,C7
35,1,43,Fj7
35,2,50,Fj7
35,3,38,Fj7
35,4,38,Fj7
36,1,40,Fj7
36,2,51,Fj7
36,3,38,Fj7
36,4,33,Fj7
37,1,52,Am7b5
37,2,50,Am7b5
37,3,45,Am7b5
37,4,40,Am7b5
38,1,45,D7
38,2,43,D7
38,3,40,D7
38,4,41,D7
39,1,42,G7
39,2,45,G7
39,3,38,G7
39,4,38,G7
40,1,38,G-7
40,2,50,G-7
40,3,42,C7
40,4,43,C7
41,1,40,F7
41,2,40,F7
41,3,45,F7
41,4,43,F7
42,1,41,Bb7
42,2,38,Bb7
42,3,43,Bb7
42,4,37,Bb7
43,1,37,F7
43,2,43,F7
43,3,48,F7
43,4,47,F7
44,1,47,A+7
44,2,45,A+7
44,3,44,A+7
44,4,40,A+7
45,1,45,D-7
45,2,42,D-7
45,3,42,D-7
45,4,40,D-7
46,1,39,B-7
46,2,42,B-7
46,3,47,E7
46,4,45,E7
47,1,44,Aj7
47,2,47,Aj7
47,3,38,E7
47,4,50,E7
48,1,49,Aj7
48,2,45,Aj7
48,3,43,D7
48,4,42,D7
49,1,42,G7
49,2,47,G7
49,3,52,G7
49,4,50,G7
50,1,47,G-7
50,2,43,G-7
50,3,45,C7
50,4,47,C7
51,1,48,Fj7
51,2,38,Fj7
51,3,40,Fj7
51,4,33,Fj7
52,1,37,Fj7
52,2,38,Fj7
52,3,38,Fj7
52,4,51,Fj7
53,1,40,Am7b5
53,2,40,Am7b5
53,3,40,Am7b5
53,4,40,Am7b5
54,1,38,D7
54,2,43,D7
54,3,40,D7
54,4,45,D7
55,1,44,G7
55,2,51,G7
55,3,37,G7
55,4,38,G7
56,1,37,G-7
56,2,37,G-7
56,3,38,C7
56,4,45,C7
57,1,45,F7
57,2,48,F7
57,3,37,F7
57,4,40,F7
58,1,37,Bb7
58,2,38,Bb7
58,3,41,Bo
58,4,37,Bo
59,1,43,F
59,2,38,F
59,3,38,E+7
59,4,51,E+7
60,1,40,Eb7
60,2,40,Eb7
60,3,45,D7
60,4,52,D7
61,1,50,G-7
61,2,50,G-7
61,3,42,G-7
61,4,42,G-7
62,1,41,C7
62,2,38,C7
62,3,43,C7
62,4,47,C7
63,1,48,F
63,2,43,F
63,3,43,F
63,4,43,F
64,1,43,D+7
64,2,43,D+7
64,3,43,D+7
64,4,43,D+7
65,1,38,D+7
