bar,beat,note,chord
1,1,45,G-7911
1,2,45,G-7911
1,3,37,G-7911
1,4,37,G-7911
2,1,38,G-7911
2,2,37,G-7911
2,3,42,G-7911
2,4,43,G-7911
3,1,44,G-7911
3,2,42,G-7911
3,3,51,G-7911
3,4,51,G-7911
4,1,52,G-7911
4,2,34,G-7911
4,3,47,G-7911
4,4,34,G-7911
5,1,45,C-7911
5,2,51,C-7911
5,3,52,C-7911
5,4,51,C-7911
6,1,50,C-7911
6,2,44,C-7911
6,3,42,C-7911
6,4,43,C-7911
7,1,41,G-7911
7,2,41,G-7911
7,3,43,G-7911
7,4,41,G-7911
8,1,40,G-7911
8,2,41,G-7911
8,3,40,G-7911
8,4,48,G-7911
9,1,40,A7
9,2,47,A7
9,3,47,A7
9,4,34,A7
10,1,45,D7
10,2,47,D7
10,3,48,D7
10,4,49,D7
11,1,50,G-7911
11,2,38,G-7911
11,3,41,G-7911
11,4,40,G-7911
12,1,45,G-7911
12,2,50,G-7911
12,3,37,G-7911
12,4,37,G-7911
13,1,38,G-7911
13,2,37,G-7911
13,3,37,G-7911
13,4,43,G-7911
14,1,44,G-7911
14,2,42,G-7911
14,3,51,G-7911
14,4,51,G-7911
15,1,40,G-7911
15,2,34,G-7911
15,3,47,G-7911
15,4,45,G-7911
16,1,45,G-7911
16,2,51,G-7911
16,3,52,G-7911
16,4,51,G-7911
17,1,50,C-7911
17,2,44,C-7911
17,3,44,C-7911
17,4,44,C-7911
18,1,43,C-7911
18,2,42,C-7911
18,3,43,C-7911
18,4,44,C-7911
19,1,44,G-7911
19,2,51,G-7911
19,3,38,G-7911
19,4,33,G-7911
20,1,33,G-7911
20,2,51,G-7911
20,3,51,G-7911
20,4,50,G-7911
21,1,42,A7
21,2,38,A7
21,3,37,A7
21,4,41,A7
22,1,40,D7
22,2,37,D7
22,3,42,D7
22,4,43,D7
23,1,42,G-7911
23,2,51,G-7911
23,3,52,G-7911
23,4,51,G-7911
24,1,50,G-7911
24,2,44,G-7911
24,3,42,G-7911
24,4,37,G-7911
25,1,50,G-7911
25,2,37,G-7911
25,3,37,G-7911
25,4,38,G-7911
26,1,37,G-7911
26,2,42,G-7911
26,3,43,G-7911
26,4,44,G-7911
27,1,44,G-7911
27,2,51,G-7911
27,3,52,G-7911
27,4,45,G-7911
28,1,50,G-7911
28,2,44,G-7911
28,3,42,G-7911
28,4,44,G-7911
29,1,42,C-7911
29,2,40,C-7911
29,3,41,C-7911
29,4,42,C-7911
30,1,48,C-7911
30,2,49,C-7911
30,3,49,C-7911
30,4,44,C-7911
31,1,44,G-7911
31,2,38,G-7911
31,3,44,G-7911
31,4,44,G-7911
32,1,43,G-7911
32,2,44,G-7911
32,3,45,G-7911
32,4,48,G-7911
33,1,40,A7
33,2,47,A7
33,3,47,A7
33,4,41,A7
34,1,52,D7
34,2,45,D7
34,3,51,D7
34,4,45,D7
35,1,50,G-7911
35,2,41,G-7911
35,3,40,G-7911
35,4,45,G-7911
36,1,50,G-7911
36,2,42,G-7911
36,3,42,G-7911
36,4,37,G-7911
37,1,37,G-7911
37,2,51,G-7911
37,3,50,G-7911
37,4,37,G-7911
38,1,43,G-7911
38,2,44,G-7911
38,3,42,G-7911
38,4,44,G-7911
39,1,43,G-7911
39,2,37,G-7911
39,3,50,G-7911
39,4,37,G-7911
40,1,45,G-7911
40,2,50,G-7911
40,3,45,G-7911
40,4,43,G-7911
41,1,43,C-7911
41,2,45,C-7911
41,3,45,C-7911
41,4,38,C-7911
42,1,41,C-7911
42,2,41,C-7911
42,3,43,C-7911
42,4,45,C-7911
43,1,50,G-7911
43,2,41,G-7911
43,3,42,G-7911
43,4,43,G-7911
44,1,37,G-7911
44,2,37,G-7911
44,3,39,G-7911
44,4,45,G-7911
45,1,45,A7
45,2,42,A7
45,3,33,A7
45,4,33,A7
46,1,33,D7
46,2,42,D7
46,3,33,D7
46,4,34,D7
47,1,45,G-7911
47,2,44,G-7911
47,3,38,G-7911
47,4,39,G-7911
48,1,47,G-7911
48,2,37,G-7911
48,3,38,G-7911
48,4,38,G-7911
49,1,37,G-7911
49,2,37,G-7911
49,3,44,G-7911
49,4,44,G-7911
50,1,38,G-7911
50,2,39,G-7911
50,3,49,G-7911
50,4,42,G-7911
51,1,40,G-7911
51,2,42,G-7911
51,3,38,G-7911
51,4,45,G-7911
52,1,45,G-7911
52,2,42,G-7911
52,3,37,G-7911
52,4,45,G-7911
53,1,38,C-7911
53,2,37,C-7911
53,3,37,C-7911
53,4,37,C-7911
54,1,37,C-7911
54,2,38,C-7911
54,3,43,C-7911
54,4,44,C-7911
55,1,42,G-7911
55,2,51,G-7911
55,3,51,G-7911
55,4,47,G-7911
56,1,37,G-7911
56,2,42,G-7911
56,3,42,G-7911
56,4,37,G-7911
57,1,40,A7
57,2,40,A7
57,3,47,A7
57,4,34,A7
58,1,45,D7
58,2,47,D7
58,3,48,D7
58,4,49,D7
59,1,50,G-7911
59,2,37,G-7911
59,3,37,G-7911
59,4,45,G-7911
60,1,38,G-7911
60,2,39,G-7911
60,3,43,G-7911
60,4,45,G-7911
61,1,51,G-7911
61,2,41,G-7911
61,3,52,G-7911
61,4,45,G-7911
62,1,50,G-7911
62,2,41,G-7911
62,3,40,G-7911
62,4,45,G-7911
63,1,50,G-7911
63,2,37,G-7911
63,3,38,G-7911
63,4,45,G-7911
64,1,50,G-7911
64,2,40,G-7911
64,3,52,G-7911
64,4,45,G-7911
65,1,50,C-7911
65,2,41,C-7911
65,3,42,C-7911
65,4,43,C-7911
66,1,48,C-7911
66,2,49,C-7911
66,3,49,C-7911
66,4,44,C-7911
67,1,44,G-7911
67,2,49,G-7911
67,3,50,G-7911
67,4,42,G-7911
68,1,42,G-7911
68,2,44,G-7911
68,3,44,G-7911
68,4,37,G-7911
69,1,37,A7
69,2,41,A7
69,3,40,A7
69,4,38,A7
70,1,37,D7
70,2,43,D7
70,3,37,D7
70,4,37,D7
71,1,49,G-7911
71,2,49,G-7911
71,3,37,G-7911
71,4,44,G-7911
72,1,37,G-7911
72,2,49,G-7911
72,3,42,G-7911
72,4,37,G-7911
73,1,37,G-7911
73,2,37,G-7911
73,3,50,G-7911
73,4,37,G-7911
74,1,50,G-7911
74,2,38,G-7911
