bar,beat,note,chord
1,1,42,Bj7
1,2,34,Bj7
1,3,47,Bj7
1,4,48,Bj7
2,1,49,Bj7
2,2,41,Bj7
2,3,40,Bj7
2,4,47,Bj7
3,1,48,F-7
3,2,42,F-7
3,3,41,Bb7
3,4,47,Bb7
4,1,34,Eb-7
4,2,52,Eb-7
4,3,51,Ab7
4,4,45,Ab7
5,1,44,Db-7
5,2,47,Db-7
5,3,51,Db-7
5,4,43,Db-7
6,1,44,Db-7
6,2,43,Db-7
6,3,44,Db-7
6,4,50,Db-7
7,1,49,Gb7
7,2,44,Gb7
7,3,49,Gb7
7,4,37,Gb7
8,1,51,E-
8,2,50,E-
8,3,49,E-
8,4,47,E-
9,1,34,Eb-7
9,2,44,Eb-7
9,3,42,Eb-7
9,4,41,Eb-7
10,1,45,D-7
10,2,52,D-7
10,3,50,G79
10,4,45,G79
11,1,44,D-7
11,2,43,D-7
11,3,44,D-7
11,4,48,D-7
12,1,49,Bb-7
12,2,49,Bb-7
12,3,34,Eb7
12,4,34,Eb7
13,1,51,Ab-7
13,2,52,Ab-7
13,3,41,Ab-7
13,4,51,Ab-7
14,1,44,Db79
14,2,43,Db79
14,3,44,Db79
14,4,43,Db79
15,1,44,Db-7
15,2,47,Db-7
15,3,51,Db-7
15,4,50,Db-7
16,1,49,Gb7
16,2,48,Gb7
16,3,47,Gb7
16,4,43,Gb7
17,1,42,Bj7
17,2,49,Bj7
17,3,47,Bj7
17,4,51,Bj7
18,1,49,Bj7
18,2,41,Bj7
18,3,42,Bj7
18,4,47,Bj7
19,1,48,F-7
19,2,43,F-7
19,3,51,Bb7
19,4,48,Bb7
20,1,41,Eb-7
20,2,34,Eb-7
20,3,51,Ab7
20,4,43,Ab7
21,1,44,Db-7
21,2,44,Db-7
21,3,43,Db-7
21,4,42,Db-7
22,1,41,Db-7
22,2,51,Db-7
22,3,49,Db-7
22,4,47,Db-7
23,1,48,Bbm7b5
23,2,48,Bbm7b5
23,3,51,Bbm7b5
23,4,48,Bbm7b5
24,1,41,Eb7
24,2,41,Eb7
24,3,34,Eb7
24,4,50,Eb7
25,1,51,Ab-7
25,2,42,Ab-7
25,3,34,G7913
25,4,51,G7913
26,1,48,Gb-7
26,2,48,Gb-7
26,3,47,B7
26,4,48,B7
27,1,42,Ej7
27,2,47,Ej7
27,3,47,Ej7
27,4,51,Ej7
28,1,52,A79
28,2,40,A79
28,3,44,A79
28,4,47,A79
29,1,34,Eb-7
29,2,49,Eb-7
29,3,51,D-7
29,4,45,D-7
30,1,44,Db-7
30,2,51,Db-7
30,3,49,Gb7
30,4,44,Gb7
31,1,43,Gj7
31,2,50,Gj7
31,3,47,Gj7
31,4,45,Gj7
32,1,50,Gj7
32,2,43,Gj7
32,3,47,Gj7
32,4,50,Gj7
33,1,47,Bj7
33,2,41,Bj7
33,3,42,Bj7
33,4,44,Bj7
34,1,41,Bj7
34,2,42,Bj7
34,3,51,Bj7
34,4,41,Bj7
